robot,uid,method,accepted_by_repeat,mean_accepted
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,relative,"[true,true,true]",1.0
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,gn,"[false,false,false]",0.0
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,tight,"[true,true,true]",1.0
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,clarabel,"[true,true,true]",1.0
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,range_loss_matched,"[true,true,true]",1.0
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,direct_sqp,"[true,true,true]",1.0
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,fixed_qp1,"[false,false,false]",0.0
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,fixed_qp2,"[false,false,false]",0.0
panda,232d4bfd818ccf44fdc110f8ae3168f95d187a2fa1dccefbccb9bac2e2ec8460,relative,"[true,true,true]",1.0
panda,232d4bfd818ccf44fdc110f8ae3168f95d187a2fa1dccefbccb9bac2e2ec8460,gn,"[false,false,false]",0.0
panda,232d4bfd818ccf44fdc110f8ae3168f95d187a2fa1dccefbccb9bac2e2ec8460,tight,"[true,true,true]",1.0
panda,232d4bfd818ccf44fdc110f8ae3168f95d187a2fa1dccefbccb9bac2e2ec8460,clarabel,"[true,true,true]",1.0
panda,232d4bfd818ccf44fdc110f8ae3168f95d187a2fa1dccefbccb9bac2e2ec8460,range_loss_matched,"[true,true,true]",1.0
panda,232d4bfd818ccf44fdc110f8ae3168f95d187a2fa1dccefbccb9bac2e2ec8460,direct_sqp,"[true,true,true]",1.0
panda,232d4bfd818ccf44fdc110f8ae3168f95d187a2fa1dccefbccb9bac2e2ec8460,fixed_qp1,"[false,false,false]",0.0
panda,232d4bfd818ccf44fdc110f8ae3168f95d187a2fa1dccefbccb9bac2e2ec8460,fixed_qp2,"[true,true,true]",1.0
panda,6053eba826b47af95688b606a803fa8d4dd7338acebc1e0734c8b42e80801b1c,relative,"[true,true,true]",1.0
panda,6053eba826b47af95688b606a803fa8d4dd7338acebc1e0734c8b42e80801b1c,gn,"[false,false,false]",0.0
panda,6053eba826b47af95688b606a803fa8d4dd7338acebc1e0734c8b42e80801b1c,tight,"[true,true,true]",1.0
panda,6053eba826b47af95688b606a803fa8d4dd7338acebc1e0734c8b42e80801b1c,clarabel,"[true,true,true]",1.0
panda,6053eba826b47af95688b606a803fa8d4dd7338acebc1e0734c8b42e80801b1c,range_loss_matched,"[true,true,true]",1.0
panda,6053eba826b47af95688b606a803fa8d4dd7338acebc1e0734c8b42e80801b1c,direct_sqp,"[true,true,true]",1.0
panda,6053eba826b47af95688b606a803fa8d4dd7338acebc1e0734c8b42e80801b1c,fixed_qp1,"[false,false,false]",0.0
panda,6053eba826b47af95688b606a803fa8d4dd7338acebc1e0734c8b42e80801b1c,fixed_qp2,"[true,true,true]",1.0
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,relative,"[true,true,true]",1.0
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,gn,"[false,false,false]",0.0
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,tight,"[true,true,true]",1.0
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,clarabel,"[true,true,true]",1.0
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,range_loss_matched,"[true,true,true]",1.0
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,direct_sqp,"[true,true,true]",1.0
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,fixed_qp1,"[false,false,false]",0.0
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,fixed_qp2,"[true,true,true]",1.0
panda,637d683b1102d33f4ba5165b32fcceff21d00db2b4c65f1f222b68393371bdb3,relative,"[true,true,true]",1.0
panda,637d683b1102d33f4ba5165b32fcceff21d00db2b4c65f1f222b68393371bdb3,gn,"[false,false,false]",0.0
panda,637d683b1102d33f4ba5165b32fcceff21d00db2b4c65f1f222b68393371bdb3,tight,"[true,true,true]",1.0
panda,637d683b1102d33f4ba5165b32fcceff21d00db2b4c65f1f222b68393371bdb3,clarabel,"[true,true,true]",1.0
panda,637d683b1102d33f4ba5165b32fcceff21d00db2b4c65f1f222b68393371bdb3,range_loss_matched,"[true,true,true]",1.0
panda,637d683b1102d33f4ba5165b32fcceff21d00db2b4c65f1f222b68393371bdb3,direct_sqp,"[true,true,true]",1.0
panda,637d683b1102d33f4ba5165b32fcceff21d00db2b4c65f1f222b68393371bdb3,fixed_qp1,"[false,false,false]",0.0
panda,637d683b1102d33f4ba5165b32fcceff21d00db2b4c65f1f222b68393371bdb3,fixed_qp2,"[true,true,true]",1.0
panda,73f79a4c1a01e9d7158753a40c3faeb64614a86a72058c894ba7a9eaba1da0ba,relative,"[true,true,true]",1.0
panda,73f79a4c1a01e9d7158753a40c3faeb64614a86a72058c894ba7a9eaba1da0ba,gn,"[false,false,false]",0.0
