robot,uid,method,anchor_uid,displacement,alpha,accepted,mean_ms,mean_total_local_qp_calls,max_qps_one_local_model,exit_reasons
panda,5672bd446b462d0bacad8c85afc67bece2f104d765185904c782c18168d07c5a,relative,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,regular,0.0,1.0,0.2780336666666667,1.0,1,{}
panda,5672bd446b462d0bacad8c85afc67bece2f104d765185904c782c18168d07c5a,fixed_qp1,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,regular,0.0,1.0,0.274313,1.0,1,{}
panda,5672bd446b462d0bacad8c85afc67bece2f104d765185904c782c18168d07c5a,fixed_qp2,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,regular,0.0,1.0,0.28295366666666666,1.0,1,{}
panda,5672bd446b462d0bacad8c85afc67bece2f104d765185904c782c18168d07c5a,tight,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,regular,0.0,1.0,0.286079,1.0,1,{}
panda,5672bd446b462d0bacad8c85afc67bece2f104d765185904c782c18168d07c5a,clarabel,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,regular,0.0,1.0,0.2963783333333333,1.0,1,{}
panda,41f73b9e9b1d6896f081deebf26ad6defdc65a43b55d49fad142d562f932ffae,relative,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,regular,0.5,1.0,0.2792546666666667,1.0,1,{}
panda,41f73b9e9b1d6896f081deebf26ad6defdc65a43b55d49fad142d562f932ffae,fixed_qp1,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,regular,0.5,1.0,0.2842993333333333,1.0,1,{}
panda,41f73b9e9b1d6896f081deebf26ad6defdc65a43b55d49fad142d562f932ffae,fixed_qp2,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,regular,0.5,1.0,0.2802286666666667,1.0,1,{}
panda,41f73b9e9b1d6896f081deebf26ad6defdc65a43b55d49fad142d562f932ffae,tight,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,regular,0.5,1.0,0.2741746666666667,1.0,1,{}
panda,41f73b9e9b1d6896f081deebf26ad6defdc65a43b55d49fad142d562f932ffae,clarabel,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,regular,0.5,1.0,0.2776616666666667,1.0,1,{}
panda,33ead20ab46cebe719a3cf1009af07db90470dc82c13f3635c98fc2962f463ca,relative,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,regular,0.95,1.0,0.30450166666666667,1.0,1,{}
panda,33ead20ab46cebe719a3cf1009af07db90470dc82c13f3635c98fc2962f463ca,fixed_qp1,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,regular,0.95,1.0,0.3256296666666667,1.0,1,{}
panda,33ead20ab46cebe719a3cf1009af07db90470dc82c13f3635c98fc2962f463ca,fixed_qp2,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,regular,0.95,1.0,0.3150256666666667,1.0,1,{}
panda,33ead20ab46cebe719a3cf1009af07db90470dc82c13f3635c98fc2962f463ca,tight,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,regular,0.95,1.0,0.3128376666666667,1.0,1,{}
panda,33ead20ab46cebe719a3cf1009af07db90470dc82c13f3635c98fc2962f463ca,clarabel,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,regular,0.95,1.0,0.32345,1.0,1,{}
panda,fc95a5d8cf97225d928b6f768d03ac89983a1c8daea0c56c6dd80840118e2bae,relative,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.0,1.0,0.580466,2.0,1,"{""relative_progress"":3}"
panda,fc95a5d8cf97225d928b6f768d03ac89983a1c8daea0c56c6dd80840118e2bae,fixed_qp1,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.0,1.0,0.541672,2.0,1,"{""fixed_budget"":3}"
panda,fc95a5d8cf97225d928b6f768d03ac89983a1c8daea0c56c6dd80840118e2bae,fixed_qp2,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.0,1.0,0.7713643333333333,3.0,2,"{""fixed_budget"":3}"
panda,fc95a5d8cf97225d928b6f768d03ac89983a1c8daea0c56c6dd80840118e2bae,tight,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.0,1.0,1.6572573333333334,7.0,6,"{""tight_gap"":3}"
panda,fc95a5d8cf97225d928b6f768d03ac89983a1c8daea0c56c6dd80840118e2bae,clarabel,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.0,1.0,0.7145616666666667,3.0,2,"{""conic_solved"":3}"
panda,814e752ae1b98171bc854266ea34ff88a181061860aa7f93ec048ce8114138de,relative,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.5,1.0,0.48244133333333333,2.0,1,"{""relative_progress"":3}"
panda,814e752ae1b98171bc854266ea34ff88a181061860aa7f93ec048ce8114138de,fixed_qp1,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.5,1.0,0.462276,2.0,1,"{""fixed_budget"":3}"
panda,814e752ae1b98171bc854266ea34ff88a181061860aa7f93ec048ce8114138de,fixed_qp2,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.5,1.0,0.6361953333333333,3.0,2,"{""fixed_budget"":3}"
panda,814e752ae1b98171bc854266ea34ff88a181061860aa7f93ec048ce8114138de,tight,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.5,1.0,1.2409856666666668,7.0,6,"{""tight_gap"":3}"
panda,814e752ae1b98171bc854266ea34ff88a181061860aa7f93ec048ce8114138de,clarabel,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.5,1.0,0.704669,3.0,2,"{""conic_solved"":3}"
panda,e7f259653547d1afded9e905c38f7ae579e852767648993b64f82ca9734f73eb,relative,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.95,1.0,0.4948363333333333,2.0,1,"{""relative_progress"":3}"
panda,e7f259653547d1afded9e905c38f7ae579e852767648993b64f82ca9734f73eb,fixed_qp1,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.95,1.0,0.45366666666666666,2.0,1,"{""fixed_budget"":3}"
panda,e7f259653547d1afded9e905c38f7ae579e852767648993b64f82ca9734f73eb,fixed_qp2,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.95,1.0,0.6329856666666667,3.0,2,"{""fixed_budget"":3}"
panda,e7f259653547d1afded9e905c38f7ae579e852767648993b64f82ca9734f73eb,tight,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.95,1.0,1.245257,7.0,6,"{""tight_gap"":3}"
panda,e7f259653547d1afded9e905c38f7ae579e852767648993b64f82ca9734f73eb,clarabel,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.95,1.0,0.700089,3.0,2,"{""conic_solved"":3}"
panda,b45ab3b9c740cd929ca65abaf3b0b5a21d93c008c7d875ecb212b165f4eac4cf,relative,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.0,1.0,0.6098286666666666,2.0,1,"{""relative_progress"":3}"
panda,b45ab3b9c740cd929ca65abaf3b0b5a21d93c008c7d875ecb212b165f4eac4cf,fixed_qp1,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.0,1.0,0.5980396666666666,2.0,1,"{""fixed_budget"":3}"
panda,b45ab3b9c740cd929ca65abaf3b0b5a21d93c008c7d875ecb212b165f4eac4cf,fixed_qp2,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.0,1.0,0.8138126666666666,3.0,2,"{""fixed_budget"":3}"
