group,method,queries,repeats,success_by_repeat,within20_by_repeat,verified_success,within20_success,mean_ms,p50_ms,p95_ms,p99_ms,total_ms_per_repeat,late_calls,witness_queries,witness_success_by_repeat,witness_confirmed_missed_uids,accepted_position_p50_p95_max_m,accepted_orientation_p50_p95_max_rad,edge_fraction,command_step_utilization_p50_p95_max,mean_local_qps,first_half_accepted_fraction,no_qp_fraction,continued_after_first_fraction,extra_weighted_qp_fraction,relative_stop_fraction,mean_iterations,failure_counts,native_status_counts,robot,condition
regular/alpha=0.0,relative,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,0.28820773333333327,0.284424,0.31802415,0.32472331,8.646232,0,30,"[30,30,30]",[],"[6.25541433083686e-05,0.00027196705506614486,0.0004761490676410546]","[0.00012993569854295243,0.0004228697036868143,0.0005784677368464176]",0.0,"[0.29175143974032336,0.5231499833254537,0.5466082548730792]",1.0,1.0,0.0,0.0,0.0,0.0,1.0,{},"{""native_task_candidate"":90}",panda,nominal
regular/alpha=0.0,eta010,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,0.28900075555555554,0.2816775,0.3166877,0.33204589999999995,8.670022666666666,0,30,"[30,30,30]",[],"[6.25541433083686e-05,0.00027196705506614486,0.0004761490676410546]","[0.00012993569854295243,0.0004228697036868143,0.0005784677368464176]",0.0,"[0.29175143974032336,0.5231499833254537,0.5466082548730792]",1.0,1.0,,0.0,0.0,0.0,1.0,{},"{""native_task_candidate"":90}",panda,nominal
regular/alpha=0.0,eta050,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,0.28500484444444446,0.281903,0.30947644999999996,0.31510056000000003,8.550145333333333,0,30,"[30,30,30]",[],"[6.25541433083686e-05,0.00027196705506614486,0.0004761490676410546]","[0.00012993569854295243,0.0004228697036868143,0.0005784677368464176]",0.0,"[0.29175143974032336,0.5231499833254537,0.5466082548730792]",1.0,1.0,,0.0,0.0,0.0,1.0,{},"{""native_task_candidate"":90}",panda,nominal
regular/alpha=0.0,gn,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,0.31067201111111115,0.30746300000000004,0.33467235,0.33971601,9.320160333333334,0,30,"[30,30,30]",[],"[6.25541433083686e-05,0.00027196705506614486,0.0004761490676410546]","[0.00012993569854295243,0.0004228697036868143,0.0005784677368464176]",0.0,"[0.29175143974032336,0.5231499833254537,0.5466082548730792]",,,,,,,2.0,{},"{""task_candidate"":90}",panda,nominal
regular/alpha=0.0,direct_sqp,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,1.402363088888889,1.402078,1.93448225,2.0655555999999997,42.07089266666667,0,30,"[30,30,30]",[],"[0.0009999999538007841,0.0009999999914841586,0.0009999999975686443]","[0.008726645829694516,0.008726645991784299,0.00872664622724922]",1.0,"[0.19559082003819223,0.47326580883490066,0.4770838854035588]",,,,,,,9.433333333333334,{},"{""task_accepted_early"":90}",panda,nominal
regular/alpha=0.5,relative,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,0.28863632222222224,0.285325,0.31634285,0.32784252,8.659089666666667,0,30,"[30,30,30]",[],"[0.00012260121198822164,0.0004889196355087866,0.0009540554271214108]","[0.00017768983399846732,0.0020913753570367993,0.003045328946554761]",0.03333333333333333,"[0.47974605638119094,0.9999999999989999,0.9999999999990011]",1.0,1.0,0.0,0.0,0.0,0.0,1.0,{},"{""native_task_candidate"":90}",panda,nominal
regular/alpha=0.5,eta010,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,0.2905072,0.2862405,0.3191407,0.36955242000000005,8.715216,0,30,"[30,30,30]",[],"[0.00012260121198822164,0.0004889196355087866,0.0009540554271214108]","[0.00017768983399846732,0.0020913753570367993,0.003045328946554761]",0.03333333333333333,"[0.47974605638119094,0.9999999999989999,0.9999999999990011]",1.0,1.0,,0.0,0.0,0.0,1.0,{},"{""native_task_candidate"":90}",panda,nominal
regular/alpha=0.5,eta050,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,0.28950306666666664,0.283746,0.3196084,0.32508271,8.685092,0,30,"[30,30,30]",[],"[0.00012260121198822164,0.0004889196355087866,0.0009540554271214108]","[0.00017768983399846732,0.0020913753570367993,0.003045328946554761]",0.03333333333333333,"[0.47974605638119094,0.9999999999989999,0.9999999999990011]",1.0,1.0,,0.0,0.0,0.0,1.0,{},"{""native_task_candidate"":90}",panda,nominal
regular/alpha=0.5,gn,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,0.3156508,0.31189900000000004,0.34153415000000004,0.35141361,9.469524000000002,0,30,"[30,30,30]",[],"[0.00012260121198822164,0.0004889196355087866,0.0009540554271214108]","[0.00017768983399846732,0.0020913753570367993,0.003045328946554761]",0.03333333333333333,"[0.47974605638119094,0.9999999999989999,0.9999999999990011]",,,,,,,2.0,{},"{""task_candidate"":90}",panda,nominal
regular/alpha=0.5,direct_sqp,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,1.4976550111111113,1.485781,2.1215359499999997,2.473373059999999,44.92965033333334,0,30,"[30,30,30]",[],"[0.0009999999508828361,0.0009999999719748562,0.000999999993466744]","[0.008726645825082601,0.008726645986546268,0.008726646076105467]",1.0,"[0.19602855653076584,0.47012024650085943,0.47389650593364735]",,,,,,,10.066666666666666,{},"{""task_accepted_early"":90}",panda,nominal
