kind,uid,baseline,main_success,baseline_success,change,unit
panda:nominal,e510005c9092f6216e924aa90a3e64c697cdd0763b835bc622a30d119b63c10f,gn,1.0,0.0,gained,239a811ea9a51de2d6eaec7cac81eee502b20cf4e2352a91b5db64b6e6210b77
panda:nominal,b368f33acd6b82664dbacfe6a38dcaed0c271d5457465e73fa237282a5e7f88f,gn,1.0,0.0,gained,a1b6580b2774a40ff6f2596067a6c281becb75ec597dddb3bba15cd2d93e91d2
panda:position_half,5695516474081e307ced5c6ef9970058481789bc3fd27d27a67ad33e1f9ba7a1,gn,1.0,0.0,gained,239a811ea9a51de2d6eaec7cac81eee502b20cf4e2352a91b5db64b6e6210b77
panda:orientation_half,b1dde73560c050923dfdaa43493693ce06ced2c33ce1abe6cdc78d3bec847364,gn,1.0,0.0,gained,a1b6580b2774a40ff6f2596067a6c281becb75ec597dddb3bba15cd2d93e91d2
ur5e:nominal,713807f26963b9a2552d2a9f06712c4f88095bcf52a5975dab0478bbb9cd157f,gn,1.0,0.0,gained,acfc0c065813474bf4b3ce55cac68f87aeaf6d13199f20a1eb899af83defffeb
ur5e:nominal,3e205b6c83634834e337acb8ea1cfc1a3bd85a17084b579e50d867ceb96383c1,gn,1.0,0.0,gained,27f386f452decee8e99dc64fd1e26c3a2470fd69a14100c10a946e95b6736972
ur5e:nominal,0e5e9deb4853b458c0acffc6cdbc270c521ef1bd8893ee4b94dbdcb768f00946,gn,1.0,0.0,gained,27f386f452decee8e99dc64fd1e26c3a2470fd69a14100c10a946e95b6736972
ur5e:position_half,9dbf96fd0d4dbe8fb83a8ad477462ad0fe49adc22352ef6d4113f007d737bde5,gn,1.0,0.0,gained,acfc0c065813474bf4b3ce55cac68f87aeaf6d13199f20a1eb899af83defffeb
ur5e:orientation_half,a1a676be4801300c25c0ef7ed33c41178613162d560c5a81548f284ba0f6090d,gn,1.0,0.0,gained,9e0f15259ed38ede1db669e44166d0b809773eee03ede636e33f6b54ee48cca7
ur5e:orientation_half,8a4fe1e3735fc16705acab38104ac3f51b7abaf1726cde591b4a4ba318c7961f,gn,1.0,0.0,gained,27f386f452decee8e99dc64fd1e26c3a2470fd69a14100c10a946e95b6736972
ur5e:orientation_half,313eff7fa1950cd9b5bfbe599e6c82e5e5514d3b007cedaa08cf6a08467afc21,gn,1.0,0.0,gained,0b29b5423086619aeedcb524d96f47d62f03f27812e4b204aca7c0b795ecff55
ur5e:orientation_half,f473e10da4bda5700869e0fa1ed4c9f1a51b172f56ba2328e170babc64368ff7,gn,1.0,0.0,gained,aef02c694a724e79c4518980ad776400ad6006b1521e1434109a2adc340ddd0f
ur5e:orientation_half,b497a0c9cfb45978a404c903c25dbb1dc4db0224cc12b932050c7bd8dedf27f7,gn,1.0,0.0,gained,535fd58d9eeae4aa871f2d4a71d348c77d7f80807bf2f4a5d18caeb94614d08d
