robot,uid,condition,method,repeat,accepted,reason,latency_ns,line,raw_file
panda,b1dde73560c050923dfdaa43493693ce06ced2c33ce1abe6cdc78d3bec847364,orientation_half,gn,1,False,orientation_tolerance,3988600,3104,outputs/task_balance_final_evidence/sensitivity/run_panda/records.jsonl.gz
panda,b368f33acd6b82664dbacfe6a38dcaed0c271d5457465e73fa237282a5e7f88f,nominal,gn,2,False,orientation_tolerance,3952243,3107,outputs/task_balance_final_evidence/sensitivity/run_panda/records.jsonl.gz
panda,b1dde73560c050923dfdaa43493693ce06ced2c33ce1abe6cdc78d3bec847364,orientation_half,gn,2,False,orientation_tolerance,3975574,3110,outputs/task_balance_final_evidence/sensitivity/run_panda/records.jsonl.gz
panda,b1dde73560c050923dfdaa43493693ce06ced2c33ce1abe6cdc78d3bec847364,orientation_half,gn,0,False,orientation_tolerance,3916810,3112,outputs/task_balance_final_evidence/sensitivity/run_panda/records.jsonl.gz
panda,b368f33acd6b82664dbacfe6a38dcaed0c271d5457465e73fa237282a5e7f88f,nominal,gn,0,False,orientation_tolerance,3952310,3115,outputs/task_balance_final_evidence/sensitivity/run_panda/records.jsonl.gz
panda,b368f33acd6b82664dbacfe6a38dcaed0c271d5457465e73fa237282a5e7f88f,nominal,gn,1,False,orientation_tolerance,3951899,3132,outputs/task_balance_final_evidence/sensitivity/run_panda/records.jsonl.gz
panda,e510005c9092f6216e924aa90a3e64c697cdd0763b835bc622a30d119b63c10f,nominal,gn,0,False,orientation_tolerance,3959967,6639,outputs/task_balance_final_evidence/sensitivity/run_panda/records.jsonl.gz
panda,5695516474081e307ced5c6ef9970058481789bc3fd27d27a67ad33e1f9ba7a1,position_half,gn,0,False,orientation_tolerance,2318990,6647,outputs/task_balance_final_evidence/sensitivity/run_panda/records.jsonl.gz
panda,5695516474081e307ced5c6ef9970058481789bc3fd27d27a67ad33e1f9ba7a1,position_half,gn,1,False,orientation_tolerance,2363699,6651,outputs/task_balance_final_evidence/sensitivity/run_panda/records.jsonl.gz
panda,e510005c9092f6216e924aa90a3e64c697cdd0763b835bc622a30d119b63c10f,nominal,gn,1,False,orientation_tolerance,3911551,6655,outputs/task_balance_final_evidence/sensitivity/run_panda/records.jsonl.gz
panda,5695516474081e307ced5c6ef9970058481789bc3fd27d27a67ad33e1f9ba7a1,position_half,gn,2,False,orientation_tolerance,2333530,6660,outputs/task_balance_final_evidence/sensitivity/run_panda/records.jsonl.gz
panda,e510005c9092f6216e924aa90a3e64c697cdd0763b835bc622a30d119b63c10f,nominal,gn,2,False,orientation_tolerance,3928732,6666,outputs/task_balance_final_evidence/sensitivity/run_panda/records.jsonl.gz
ur5e,b497a0c9cfb45978a404c903c25dbb1dc4db0224cc12b932050c7bd8dedf27f7,orientation_half,gn,2,False,orientation_tolerance,4017521,1627,outputs/task_balance_final_evidence/sensitivity/run_ur5e/records.jsonl.gz
ur5e,b497a0c9cfb45978a404c903c25dbb1dc4db0224cc12b932050c7bd8dedf27f7,orientation_half,gn,0,False,orientation_tolerance,3923461,1633,outputs/task_balance_final_evidence/sensitivity/run_ur5e/records.jsonl.gz
ur5e,b497a0c9cfb45978a404c903c25dbb1dc4db0224cc12b932050c7bd8dedf27f7,orientation_half,gn,1,False,orientation_tolerance,3954837,1640,outputs/task_balance_final_evidence/sensitivity/run_ur5e/records.jsonl.gz
