group,method,queries,repeats,success_by_repeat,within20_by_repeat,verified_success,within20_success,mean_ms,p50_ms,p95_ms,p99_ms,total_ms_per_repeat,late_calls,witness_queries,witness_success_by_repeat,witness_confirmed_missed_uids,accepted_position_p50_p95_max_m,accepted_orientation_p50_p95_max_rad,edge_fraction,command_step_utilization_p50_p95_max,mean_local_qps,first_half_accepted_fraction,no_qp_fraction,continued_after_first_fraction,extra_weighted_qp_fraction,relative_stop_fraction,mean_iterations,failure_counts,native_status_counts,robot,condition
all,relative,270,3,"[270,270,270]","[270,270,270]",1.0,1.0,0.3964211395061728,0.33372749999999995,0.58074965,0.6507690599999998,107.03370766666666,0,270,"[270,270,270]",[],"[0.0001977128937244899,0.0009416138640306847,0.0009948825479941699]","[0.000678505059982597,0.006845766920277396,0.008283850278359355]",0.08148148148148149,"[0.9999999999989987,0.9999999999990037,0.9999999999990037]",1.4296296296296296,0.5851851851851851,0.0,0.4148148148148148,0.007407407407407408,0.4148148148148148,1.4185185185185185,{},"{""native_task_candidate"":810}",panda,nominal
all,eta010,270,3,"[270,270,270]","[270,270,270]",1.0,1.0,0.3964219345679012,0.33180849999999995,0.58525185,0.6639739099999994,107.03392233333334,0,270,"[270,270,270]",[],"[0.0001977128937244899,0.0009416138640306847,0.0009948825479941699]","[0.000678505059982597,0.006845766920277396,0.008283850278359355]",0.08148148148148149,"[0.9999999999989987,0.9999999999990037,0.9999999999990037]",1.4296296296296296,0.5851851851851851,,0.4148148148148148,0.007407407407407408,0.4148148148148148,1.4185185185185185,{},"{""native_task_candidate"":810}",panda,nominal
all,eta050,270,3,"[270,270,270]","[270,270,270]",1.0,1.0,0.3953879160493827,0.33104900000000004,0.5830305,0.6571020399999999,106.75473733333332,0,270,"[270,270,270]",[],"[0.0001977128937244899,0.0009416138640306847,0.0009948825479941699]","[0.000678505059982597,0.006845766920277396,0.008283850278359355]",0.08148148148148149,"[0.9999999999989987,0.9999999999990037,0.9999999999990037]",1.4296296296296296,0.5851851851851851,,0.4148148148148148,0.007407407407407408,0.4148148148148148,1.4185185185185185,{},"{""native_task_candidate"":810}",panda,nominal
all,gn,270,3,"[268,268,268]","[268,268,268]",0.9925925925925926,0.9925925925925926,0.4292207345679012,0.35954050000000004,0.5737694,0.6383034199999997,115.88959833333332,0,270,"[268,268,268]","[""b368f33acd6b82664dbacfe6a38dcaed0c271d5457465e73fa237282a5e7f88f"",""e510005c9092f6216e924aa90a3e64c697cdd0763b835bc622a30d119b63c10f""]","[0.00019196094657865224,0.0009337966956323808,0.0009948825479941699]","[0.000626992002894137,0.00667801462266572,0.008217289448036843]",0.07462686567164178,"[0.9999999999989987,0.9999999999990037,0.9999999999990037]",,,,,,,2.4962962962962965,"{""orientation_tolerance"":6}","{""task_candidate"":804,""no_descent"":6}",panda,nominal
all,direct_sqp,270,3,"[270,270,270]","[270,270,270]",1.0,1.0,2.0647407851851853,2.2201955,2.7335525,2.9245987099999997,557.480012,0,270,"[270,270,270]",[],"[0.0009999999546531223,0.0009999999899074857,0.0009999999985076434]","[0.008726645835848427,0.008726646038598643,0.008726646254519592]",1.0,"[0.9076347215319753,0.9999999999990026,0.9999999999990037]",,,,,,,14.9,{},"{""task_accepted_early"":810}",panda,nominal
all,relative,270,3,"[270,270,270]","[270,270,270]",1.0,1.0,0.4381752061728395,0.46127450000000003,0.60051715,0.6777947099999997,118.30730566666666,0,270,"[270,270,270]",[],"[6.181685738352615e-05,0.0004163028289023498,0.0004932247756254232]","[0.00022824259091389526,0.007023562507847823,0.008637225226593688]",0.04814814814814815,"[0.9999999999989987,0.9999999999990037,0.9999999999990037]",1.6592592592592592,0.3814814814814815,0.0,0.6185185185185185,0.003703703703703704,0.6185185185185185,1.6222222222222222,{},"{""native_task_candidate"":810}",panda,position_half
all,gn,270,3,"[269,269,269]","[269,269,269]",0.9962962962962963,0.9962962962962963,0.44142945925925925,0.44839850000000003,0.5894809499999999,0.6604802399999998,119.185954,0,270,"[269,269,269]","[""5695516474081e307ced5c6ef9970058481789bc3fd27d27a67ad33e1f9ba7a1""]","[6.147123112130833e-05,0.00041141235959144104,0.0004932247756254232]","[0.00022571034349900225,0.00690395268606488,0.008637225226593688]",0.04460966542750929,"[0.9999999999989987,0.9999999999990037,0.9999999999990037]",,,,,,,2.6481481481481484,"{""orientation_tolerance"":3}","{""task_candidate"":807,""stationary"":3}",panda,position_half
all,direct_sqp,270,3,"[270,270,270]","[270,270,270]",1.0,1.0,2.333063287654321,2.4878435,3.043725,3.2358924699999996,629.9270876666666,0,270,"[270,270,270]",[],"[0.000499999976941834,0.0004999999938390263,0.000499999999831819]","[0.008726645827588957,0.008726646005319878,0.008726646258341011]",1.0,"[0.9070221575392569,0.9999999999990037,0.9999999999990037]",,,,,,,17.192592592592593,{},"{""task_accepted_early"":810}",panda,position_half
all,relative,270,3,"[270,270,270]","[270,270,270]",1.0,1.0,0.3955657703703704,0.340258,0.57798855,0.6148980499999999,106.802758,0,270,"[270,270,270]",[],"[0.00024651847223910013,0.0008999352371672312,0.0009763022970909713]","[0.00038866218445099117,0.0034837937449151007,0.004224438980173245]",0.05925925925925926,"[0.9999999999989987,0.9999999999990037,0.9999999999990037]",1.4296296296296296,0.5777777777777777,0.0,0.4222222222222222,0.003703703703703704,0.4222222222222222,1.4259259259259258,{},"{""native_task_candidate"":810}",panda,orientation_half
all,gn,270,3,"[269,269,269]","[269,269,269]",0.9962962962962963,0.9962962962962963,0.41895495555555556,0.364286,0.57049725,0.6103239299999998,113.117838,0,270,"[269,269,269]","[""b1dde73560c050923dfdaa43493693ce06ced2c33ce1abe6cdc78d3bec847364""]","[0.00024598342143699524,0.0008999352371672312,0.0009763022970909713]","[0.00037821430651718683,0.003454350601992303,0.004224438980173245]",0.05947955390334572,"[0.9999999999989987,0.9999999999990037,0.9999999999990037]",,,,,,,2.462962962962963,"{""orientation_tolerance"":3}","{""task_candidate"":807,""no_descent"":3}",panda,orientation_half
all,direct_sqp,270,3,"[270,270,270]","[270,270,270]",1.0,1.0,2.21523777654321,2.368411,2.9299021499999998,3.0397151200000003,598.1141996666667,0,270,"[270,270,270]",[],"[0.0009999999523048514,0.0009999999857527137,0.0009999999985778841]","[0.004363322920706475,0.0043633230486637585,0.004363323120932101]",1.0,"[0.9246803218237143,0.9999999999990026,0.9999999999990037]",,,,,,,16.07037037037037,{},"{""task_accepted_early"":810}",panda,orientation_half
