robot,group,method,baseline,queries,anchors,success_difference,success_difference_ci,timely_difference,timely_difference_ci,latency_ratio,latency_ratio_ci,gained_query_units,lost_query_units,net_mean_success_count,stable_gains,stable_losses,interval,condition
panda,all,relative,eta010,270,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9999979944053065,"[0.9965170293910787,1.0032112037982972]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,all,relative,eta050,270,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0026131892626204,"[0.9980049871498147,1.0071076952448341]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,all,relative,gn,270,30,0.007407407407407418,"[0.0,0.01851851851851849]",0.007407407407407418,"[0.0,0.01851851851851849]",0.9235833863088,"[0.8539657343194225,0.9798803342800672]",2,0,2.0,2,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,all,relative,direct_sqp,270,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.19199559690521545,"[0.18318799667675834,0.20020280173430263]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,all,eta010,gn,270,30,0.007407407407407418,"[0.0,0.01851851851851849]",0.007407407407407418,"[0.0,0.01851851851851849]",0.9235852386464537,"[0.8531721928012759,0.9801332096869848]",2,0,2.0,2,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,all,eta050,gn,270,30,0.007407407407407418,"[0.0,0.01851851851851849]",0.007407407407407418,"[0.0,0.01851851851851849]",0.9211761786098751,"[0.8498914539052393,0.9786639937819552]",2,0,2.0,2,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,regular/alpha=0.0,relative,eta010,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9972559856437132,"[0.9817967636443996,1.012252994715161]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,regular/alpha=0.0,relative,eta050,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0112380156033214,"[0.9991729471327621,1.0240311109193423]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,regular/alpha=0.0,relative,gn,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9276913369265714,"[0.9189443785586439,0.93734099329905]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,regular/alpha=0.0,relative,direct_sqp,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.20551577235370921,"[0.19068849788896697,0.22299779202181755]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,regular/alpha=0.5,relative,eta010,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9935599607246299,"[0.9787691098310659,1.0078701843187456]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,regular/alpha=0.5,relative,eta050,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9970060958095399,"[0.9802718621274047,1.013064064534839]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,regular/alpha=0.5,relative,gn,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9144165711673227,"[0.9051408682980238,0.9235014456451641]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,regular/alpha=0.5,relative,direct_sqp,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.19272550759742918,"[0.17732547752801048,0.2122331718256777]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,regular/alpha=0.95,relative,eta010,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9957365178918803,"[0.9830985497169682,1.008606397730325]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,regular/alpha=0.95,relative,eta050,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0074048375161984,"[0.9948753881214547,1.0199735574417932]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,regular/alpha=0.95,relative,gn,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9347102984923847,"[0.9223152463136516,0.9472626016814757]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,regular/alpha=0.95,relative,direct_sqp,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.19178399959679807,"[0.1783972730537419,0.20763539650482027]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
