uid,method,robot,anchor_uid,anchor_family,displacement,alpha,accepted,timely,latency_ns,success_by_repeat,condition
02dc306ba4b148a52ed3cec782154de095f1488922819a8792f02cb67cd06f50,direct_sqp,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,multijoint_boundary,0.5,1.0,1.0,2128109.0,"[true,true,true]",nominal
02dc306ba4b148a52ed3cec782154de095f1488922819a8792f02cb67cd06f50,eta010,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,multijoint_boundary,0.5,1.0,1.0,568175.6666666666,"[true,true,true]",nominal
02dc306ba4b148a52ed3cec782154de095f1488922819a8792f02cb67cd06f50,eta050,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,multijoint_boundary,0.5,1.0,1.0,545530.0,"[true,true,true]",nominal
02dc306ba4b148a52ed3cec782154de095f1488922819a8792f02cb67cd06f50,gn,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,multijoint_boundary,0.5,1.0,1.0,534668.6666666666,"[true,true,true]",nominal
02dc306ba4b148a52ed3cec782154de095f1488922819a8792f02cb67cd06f50,relative,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,multijoint_boundary,0.5,1.0,1.0,536465.3333333334,"[true,true,true]",nominal
02e3c7eaad6979b926033773c2b5d2afdb27f1e4180edc148903f2557ffd5090,direct_sqp,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.5,1.0,1.0,1769426.0,"[true,true,true]",nominal
02e3c7eaad6979b926033773c2b5d2afdb27f1e4180edc148903f2557ffd5090,eta010,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.5,1.0,1.0,295800.6666666667,"[true,true,true]",nominal
02e3c7eaad6979b926033773c2b5d2afdb27f1e4180edc148903f2557ffd5090,eta050,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.5,1.0,1.0,282045.0,"[true,true,true]",nominal
02e3c7eaad6979b926033773c2b5d2afdb27f1e4180edc148903f2557ffd5090,gn,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.5,1.0,1.0,303843.6666666667,"[true,true,true]",nominal
02e3c7eaad6979b926033773c2b5d2afdb27f1e4180edc148903f2557ffd5090,relative,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.5,1.0,1.0,282904.0,"[true,true,true]",nominal
02f9654b9cd176c681e91c816b4606b088f72388b6df5e0a78297551d2a48b00,direct_sqp,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,high_utilization,0.0,1.0,1.0,2029968.3333333333,"[true,true,true]",nominal
02f9654b9cd176c681e91c816b4606b088f72388b6df5e0a78297551d2a48b00,eta010,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,high_utilization,0.0,1.0,1.0,312088.0,"[true,true,true]",nominal
02f9654b9cd176c681e91c816b4606b088f72388b6df5e0a78297551d2a48b00,eta050,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,high_utilization,0.0,1.0,1.0,294770.6666666667,"[true,true,true]",nominal
02f9654b9cd176c681e91c816b4606b088f72388b6df5e0a78297551d2a48b00,gn,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,high_utilization,0.0,1.0,1.0,334167.3333333333,"[true,true,true]",nominal
02f9654b9cd176c681e91c816b4606b088f72388b6df5e0a78297551d2a48b00,relative,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,high_utilization,0.0,1.0,1.0,302595.6666666667,"[true,true,true]",nominal
036233493dd6e40d76e60d0ec969d58cf83219258f0acab282e786b28a9d0a73,direct_sqp,panda,02aa575800827e0631698ef6a344c7e5d81c6a856c469d6047ee9061de329cf8,near_limit,high_utilization,0.95,1.0,1.0,2323796.0,"[true,true,true]",nominal
036233493dd6e40d76e60d0ec969d58cf83219258f0acab282e786b28a9d0a73,eta010,panda,02aa575800827e0631698ef6a344c7e5d81c6a856c469d6047ee9061de329cf8,near_limit,high_utilization,0.95,1.0,1.0,514415.3333333333,"[true,true,true]",nominal
036233493dd6e40d76e60d0ec969d58cf83219258f0acab282e786b28a9d0a73,eta050,panda,02aa575800827e0631698ef6a344c7e5d81c6a856c469d6047ee9061de329cf8,near_limit,high_utilization,0.95,1.0,1.0,530514.0,"[true,true,true]",nominal
036233493dd6e40d76e60d0ec969d58cf83219258f0acab282e786b28a9d0a73,gn,panda,02aa575800827e0631698ef6a344c7e5d81c6a856c469d6047ee9061de329cf8,near_limit,high_utilization,0.95,1.0,1.0,524139.0,"[true,true,true]",nominal
036233493dd6e40d76e60d0ec969d58cf83219258f0acab282e786b28a9d0a73,relative,panda,02aa575800827e0631698ef6a344c7e5d81c6a856c469d6047ee9061de329cf8,near_limit,high_utilization,0.95,1.0,1.0,510363.6666666667,"[true,true,true]",nominal
0382995a3f9a3695de20665a412993e9fb6f314576aff3bb1d79165b2450984e,direct_sqp,panda,4aa2a8b4c68ead365259663eee4d990ac53ebf8fa8e5c922056156e880f2567d,near_singular,regular,0.0,1.0,1.0,1030650.6666666666,"[true,true,true]",nominal
0382995a3f9a3695de20665a412993e9fb6f314576aff3bb1d79165b2450984e,eta010,panda,4aa2a8b4c68ead365259663eee4d990ac53ebf8fa8e5c922056156e880f2567d,near_singular,regular,0.0,1.0,1.0,291095.6666666667,"[true,true,true]",nominal
