kind,uid,baseline,main_success,baseline_success,change,unit
DROID offline,e91159391fd738a379201a50432871a48fe8337d3360ff3cc73d698efad08ec3,gn,1.0,0.0,gained,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55
DROID offline,85f73cf1bbf43efc31c9fd22e2fb425051ebe33c592f6799304524be9385a637,gn,1.0,0.0,gained,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55
DROID offline,ad299dfd0d5917a8a5f5ebc671e5e06fd86ad1c8383125de59319442edb65eb7,gn,1.0,0.0,gained,29b673f05a46e28dac78a26d41c0c08331fd3bf4e4b137958935e1b5bc5f4a7f
DROID offline,4d9e4a18f615ef5177e27387bbb49a67887b0bf10e72d90f083eedfad77aa341,gn,1.0,0.0,gained,2a4e8a5af58719045d196a0f9a34a8f71a894ca5aaab2bdddb4860e71b515eb4
DROID offline,51abfc2e30c7025214500557101ac041a3c1458247a2857452eab656324dcc71,gn,1.0,0.0,gained,382176c900bb38d8d6b0c2c75ec91a34e200c07278394cd81aca582941b160ba
DROID offline,8ad6ab884a04115511b1c580d08536a1761781459e0b21458af9e19dba3d41e8,gn,1.0,0.0,gained,3b31f8b4f72b398ee1e8dba64cb4c6d42935542fe25ea2d5105f7e7b275abebe
DROID offline,8ad6ab884a04115511b1c580d08536a1761781459e0b21458af9e19dba3d41e8,fixed_qp2,1.0,0.0,gained,3b31f8b4f72b398ee1e8dba64cb4c6d42935542fe25ea2d5105f7e7b275abebe
DROID offline,410c02181e482f58b66edab11f58cfad3b8f66165f0f53b84bcdf1161c99a9f9,gn,1.0,0.0,gained,3c6e0403a1246a9be67c6ba6a34ab37bbd4eac6ad2525fc5b5b95bbff4975368
DROID offline,1653c8d92e81aa7d069ef671c3c2b4363f8d5675dc67e1c5dae789d0e6d46356,gn,1.0,0.0,gained,41e654eabce69701782e25dbab6b3239bf57c9801ffeff0fa2868debc0e7966c
DROID offline,1653c8d92e81aa7d069ef671c3c2b4363f8d5675dc67e1c5dae789d0e6d46356,fixed_qp2,1.0,0.0,gained,41e654eabce69701782e25dbab6b3239bf57c9801ffeff0fa2868debc0e7966c
DROID offline,96d1ccfb9d3991210b562bb43a41657e47624448e461645aadcaca5bb17e8151,gn,1.0,0.0,gained,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83
DROID offline,c5c4bfcb9954f2dece09f906bda5adb0e69f907c85c5d07b41915c97f7c9fcaa,direct_sqp,0.0,1.0,lost,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83
DROID offline,daee902a32913b72fc609b633c400e59a88543667c31db34f4d237987d49ffb3,gn,1.0,0.0,gained,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83
DROID offline,5195786599feac53ee4f9d2f427192abdf84c6babe2f5e1de3c0eb58eacfb213,gn,1.0,0.0,gained,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83
DROID offline,3e55fe778eb9f57a54a8431d02298332c0ab5c2f299981ba63d64abbdc8920c6,clarabel,0.0,1.0,lost,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83
DROID offline,3e55fe778eb9f57a54a8431d02298332c0ab5c2f299981ba63d64abbdc8920c6,direct_sqp,0.0,1.0,lost,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83
DROID offline,07dc169745e559db0816419c8aab6b772992ab7beddfaf07f19a13cb4c151e24,gn,1.0,0.0,gained,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83
DROID offline,07dc169745e559db0816419c8aab6b772992ab7beddfaf07f19a13cb4c151e24,fixed_qp2,1.0,0.0,gained,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83
DROID offline,e0c19b9e6399a5e450a76dc51aa11eca553c21b2c1f6ff5b63c4a05cb6bf8dba,direct_sqp,0.0,1.0,lost,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83
DROID offline,add938c2ab6e5daa738dfd8c0a6f6546c2dbabce1bbee31f06b8acee9dff1abe,direct_sqp,0.0,1.0,lost,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83
DROID offline,6ac0120a613838512a0aef9d85b179204a56963bfdc9a179313e25c14db3dc95,gn,1.0,0.0,gained,4ddc09e3df4e3d0e20b610173570bcf03ac648af37a502a807aaf01f8f8ea192
DROID offline,9282965b68964b53be21bf79021d5d3d5d6db0c71d8779b16386cda7227d73bf,gn,1.0,0.0,gained,4ddc09e3df4e3d0e20b610173570bcf03ac648af37a502a807aaf01f8f8ea192
DROID offline,5c01dc86fefb0095a0ee81286afa6af8c99978b82bc52f8ec937f6379e6d49c4,gn,1.0,0.0,gained,55cbd22b550dbf3706b996359a8a6952d1ca0de422e7cc0c639f216d844089ad
DROID offline,5c01dc86fefb0095a0ee81286afa6af8c99978b82bc52f8ec937f6379e6d49c4,fixed_qp2,1.0,0.0,gained,55cbd22b550dbf3706b996359a8a6952d1ca0de422e7cc0c639f216d844089ad
