group,method,queries,repeats,success_by_repeat,within20_by_repeat,verified_success,within20_success,mean_ms,p50_ms,p95_ms,p99_ms,total_ms_per_repeat,late_calls,witness_queries,witness_success_by_repeat,witness_confirmed_missed_uids,accepted_position_p50_p95_max_m,accepted_orientation_p50_p95_max_rad,edge_fraction,command_step_utilization_p50_p95_max,mean_local_qps,first_half_accepted_fraction,no_qp_fraction,continued_after_first_fraction,extra_weighted_qp_fraction,relative_stop_fraction,mean_iterations,failure_counts,native_status_counts,episode_uid,session
24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,relative,1121,3,"[967,967,967]","[967,967,967]",0.8626226583407671,0.8626226583407671,2.6085072212310436,0.299199,20.1496746,20.20159952,2924.136595,238,141,"[141,141,141]",[],"[0.0001240642425771646,0.0008475017110336978,0.00099821083463131]","[0.00043785043705755604,0.003464365363536165,0.008651246978897478]",0.03516028955532575,"[0.4342443753188745,0.9978166656868998,0.999999999999001]",17.104668450787987,0.5066904549509367,0.07850133809099019,0.41480820695807313,0.1391614629794826,0.41480820695807313,3.6196848052334225,"{""position_tolerance+orientation_tolerance"":462}","{""native_task_candidate"":2901,""no_descent"":102,""stationary"":110,""deadline"":235,""iteration_limit"":15}",24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,AUTOLab/2023-08-12
24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,gn,1121,3,"[965,965,965]","[965,965,965]",0.8608385370205174,0.8608385370205174,1.0068752355040143,0.324121,5.140082699999994,7.430569420000003,1128.707139,0,141,"[141,141,141]",[],"[0.0001226332679980178,0.0008404970052576911,0.00099821083463131]","[0.00043608322387715437,0.0034186622893924807,0.008604923798831607]",0.03316062176165803,"[0.4336401704048439,0.9950816266368031,0.999999999999001]",,,,,,,4.7484388938447815,"{""position_tolerance+orientation_tolerance"":306,""orientation_tolerance"":117,""position_tolerance"":45}","{""task_candidate"":2895,""no_descent"":366,""stationary"":48,""iteration_limit"":54}",24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,AUTOLab/2023-08-12
24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,fixed_qp2,1121,3,"[967,967,967]","[967,967,967]",0.8626226583407671,0.8626226583407671,1.6995114347308948,0.297227,11.0427146,13.18352784,1905.1523183333331,0,141,"[141,141,141]",[],"[0.00012397296966204713,0.0008431135675053193,0.00099821083463131]","[0.00043785043705755604,0.003464365363536165,0.008723331594499397]",0.03516028955532575,"[0.4342443753188745,0.9978154615786662,0.999999999999001]",8.760035682426405,0.5066904549509367,,0.41480820695807313,0.41480820695807313,,4.849241748438894,"{""position_tolerance+orientation_tolerance"":435,""position_tolerance"":21,""orientation_tolerance"":6}","{""native_task_candidate"":2901,""iteration_limit"":312,""no_descent"":75,""stationary"":75}",24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,AUTOLab/2023-08-12
24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,clarabel,1121,3,"[967,967,967]","[967,967,967]",0.8626226583407671,0.8626226583407671,1.988345848944395,0.295793,12.106581499999994,15.830608980000004,2228.935696666667,1,141,"[141,141,141]",[],"[0.0001239532006827556,0.0008475017110336978,0.00099821083463131]","[0.00043785043705755604,0.003464365363536165,0.008659452539320453]",0.03516028955532575,"[0.4342443753188745,0.9952123042822102,0.999999999999001]",7.493904252155813,0.5066904549509367,,0.41480820695807313,,,4.216473386856973,"{""position_tolerance+orientation_tolerance"":462}","{""native_task_candidate"":2901,""no_descent"":357,""stationary"":45,""iteration_limit"":59,""deadline"":1}",24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,AUTOLab/2023-08-12
24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,direct_sqp,1121,3,"[967,967,967]","[967,967,967]",0.8626226583407671,0.8626226583407671,4.4515464686292,2.738631,20.152790699999997,20.18040466,4990.183591333333,266,141,"[141,141,141]",[],"[0.0009999999534004086,0.0009999999836891877,0.0009999999996475925]","[0.008726645834117098,0.008726646042432635,0.008726646230112205]",0.9089968976215098,"[0.38192415638042054,0.9328027960185498,0.999999999999001]",,,,,,,23.816532857567648,"{""position_tolerance+orientation_tolerance"":459,""orientation_tolerance"":3}","{""task_accepted_early"":2901,""optimizer:Positive directional derivative for linesearch"":188,""deadline"":262,""optimizer:Iteration limit reached"":12}",24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,AUTOLab/2023-08-12
26f2fa47519ddfcba06a541a3d1cb06e3761e43dfdd9579b62b066fa04cb4643,relative,226,3,"[109,109,109]","[109,109,109]",0.4823008849557522,0.4823008849557522,9.065042376106195,8.218225499999999,20.19080105,20.23153935,2048.699577,120,41,"[41,41,41]",[],"[6.6236786084977124e-06,0.0009107602770778727,0.0009818628485937734]","[5.55451698251666e-06,0.0013854376299561714,0.00694544832792792]",0.05504587155963303,"[0.3090018673774304,0.9907787051061488,0.9999999999990001]",60.39675516224189,0.06637168141592921,0.22566371681415928,0.7079646017699115,0.5176991150442478,0.7079646017699115,12.051622418879056,"{""position_tolerance+orientation_tolerance"":351}","{""native_task_candidate"":327,""no_descent"":109,""iteration_limit"":84,""deadline"":119,""stationary"":39}",26f2fa47519ddfcba06a541a3d1cb06e3761e43dfdd9579b62b066fa04cb4643,TRI/2024-02-08
26f2fa47519ddfcba06a541a3d1cb06e3761e43dfdd9579b62b066fa04cb4643,gn,226,3,"[109,109,109]","[109,109,109]",0.4823008849557522,0.4823008849557522,2.9837041563421836,3.911977,6.98566975,8.03308666,674.3171393333334,0,41,"[41,41,41]",[],"[6.6236786084977124e-06,0.0009107602770778727,0.0009818628485937734]","[5.55451698251666e-06,0.0013854376299561714,0.00694544832792792]",0.05504587155963303,"[0.3090018673774304,0.9815574102132969,0.9999999999990001]",,,,,,,12.836283185840708,"{""position_tolerance+orientation_tolerance"":330,""position_tolerance"":21}","{""task_candidate"":327,""no_descent"":177,""iteration_limit"":114,""stationary"":60}",26f2fa47519ddfcba06a541a3d1cb06e3761e43dfdd9579b62b066fa04cb4643,TRI/2024-02-08
26f2fa47519ddfcba06a541a3d1cb06e3761e43dfdd9579b62b066fa04cb4643,fixed_qp2,226,3,"[109,109,109]","[109,109,109]",0.4823008849557522,0.4823008849557522,5.6199830162241895,4.9713845,11.85705215,14.37940306,1270.1161616666668,0,41,"[41,41,41]",[],"[6.622635486484474e-06,0.0009107602770778727,0.0009818628485937734]","[5.5572692435207225e-06,0.0013850626090723848,0.006960986844960725]",0.05504587155963303,"[0.3090018673774304,0.9907800280373322,0.9999999999990001]",29.154867256637168,0.06637168141592921,,0.7079646017699115,0.7079646017699115,,14.929203539823009,"{""position_tolerance+orientation_tolerance"":345,""position_tolerance"":6}","{""native_task_candidate"":327,""iteration_limit"":246,""no_descent"":84,""stationary"":21}",26f2fa47519ddfcba06a541a3d1cb06e3761e43dfdd9579b62b066fa04cb4643,TRI/2024-02-08
26f2fa47519ddfcba06a541a3d1cb06e3761e43dfdd9579b62b066fa04cb4643,clarabel,226,3,"[109,109,109]","[109,109,109]",0.4823008849557522,0.4823008849557522,6.795548470501475,10.1487915,15.840204499999999,18.22348742,1535.7939543333334,0,41,"[41,41,41]",[],"[6.622655104344994e-06,0.0009107602770778727,0.0009818628485937734]","[5.5575222612040756e-06,0.0014106528961157934,0.006960522566176196]",0.05504587155963303,"[0.3090018673774304,0.9907799123301687,0.9999999999990001]",26.18141592920354,0.06637168141592921,,0.7079646017699115,,,13.442477876106194,"{""position_tolerance+orientation_tolerance"":351}","{""native_task_candidate"":327,""no_descent"":216,""iteration_limit"":120,""stationary"":15}",26f2fa47519ddfcba06a541a3d1cb06e3761e43dfdd9579b62b066fa04cb4643,TRI/2024-02-08
26f2fa47519ddfcba06a541a3d1cb06e3761e43dfdd9579b62b066fa04cb4643,direct_sqp,226,3,"[109,109,109]","[109,109,109]",0.4823008849557522,0.4823008849557522,9.412760312684366,5.7911835,20.1719043,20.18793137,2127.2838306666667,177,41,"[41,41,41]",[],"[0.0009999999500084863,0.0009999999698211345,0.0009999999886368155]","[0.008726645823859807,0.0087266460532577,0.008726646210544118]",0.5321100917431193,"[0.2526492160873644,0.8773124823718512,0.9999999999989994]",,,,,,,41.00589970501475,"{""position_tolerance+orientation_tolerance"":351}","{""task_accepted_early"":327,""optimizer:Positive directional derivative for linesearch"":151,""deadline"":176,""optimizer:Iteration limit reached"":24}",26f2fa47519ddfcba06a541a3d1cb06e3761e43dfdd9579b62b066fa04cb4643,TRI/2024-02-08
