episode_uid,session,queries,witness_count,target_position_utilization_p50_p95_max,target_orientation_utilization_p50_p95_max,both_tasks_already_legal,position_excess,orientation_excess,physical_joint_margin_min_p05_median_rad,commanded_step_utilization_p50_p95_max,logged_states_outside_project_bounds,observation_action_joint_difference_max_rad
24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,AUTOLab/2023-08-12,1121,141,"[19.665715241203664,67.71741470093215,75.00002251257109]","[5.893509198873659,17.10012779045798,17.419576025967892]",88,1033,1021,"[0.28625536613464364,0.3335697715759278,0.7679891651153565]","[0.42377147847109325,1.1772250077545356,1.3783597518952448]",0,0.08451655507087708
26f2fa47519ddfcba06a541a3d1cb06e3761e43dfdd9579b62b066fa04cb4643,TRI/2024-02-08,226,41,"[41.0571819942877,74.99999470349175,75.00002555080648]","[5.295158671855292,17.26849999833323,17.334106997951448]",51,175,172,"[0.42994036464691154,0.4311274805545806,0.5932556012153625]","[0.6832421630501131,1.324442857754469,1.3783566915602787]",0,0.0635526180267334
28005d3e15d6e7c6626cd8e81978d6dc615e6d6e76864f57048db1fb997b20ab,TRI/2023-12-13,265,46,"[27.05134922762717,54.02334190590299,64.00493558938513]","[7.73337884577787,17.176859943566125,17.34417973896904]",54,211,211,"[0.5004892414093018,0.5084583824157716,0.9442891075134278]","[0.5890310478237839,1.1399827801314861,1.2930500597727046]",0,0.08135950565338135
29b673f05a46e28dac78a26d41c0c08331fd3bf4e4b137958935e1b5bc5f4a7f,TRI/2024-02-01,337,74,"[15.23960493531794,55.42658172370097,73.71239344320617]","[4.411587577467521,17.155345977686277,17.247795154387493]",31,306,302,"[0.3161377971649171,0.3193614070892335,0.8686916893005372]","[0.2563816927203962,0.898339927484051,1.103702719502413]",0,0.06339430809020996
2a4e8a5af58719045d196a0f9a34a8f71a894ca5aaab2bdddb4860e71b515eb4,RAIL/2023-04-17,167,25,"[15.396704588320691,42.10333045072222,51.80292066945792]","[4.8067267069635164,10.858895211009957,13.589479808208695]",13,154,153,"[0.5267469947814942,0.5317796056747437,0.6749994819641114]","[0.35661379893346956,0.8606701006573848,0.9965412909207388]",0,0.05422082543373108
2bb186f04cf0634c7221cf49f6f6e388a73c530ef5b0cb1cefc3386a37cf4505,CLVR/2023-05-09,168,49,"[15.997420346963057,74.99999251046613,75.00002015042107]","[3.4420508401066847,15.030652962747018,16.616183210885563]",45,123,122,"[0.28189445190429696,0.28191019945144663,0.8949960389614104]","[0.33710578098369426,1.3718519085115768,1.3783597518952448]",0,0.06356126815080643
2dc6d9a8e0897c65215f40c1df598a72d3512039fc66345c5c2a18a664f5bde7,RPL/2023-06-05,206,49,"[23.533611641399727,46.97126589067645,52.28834867348226]","[3.0427868742366884,11.108841121966305,17.149333488762252]",13,193,193,"[0.5079162185668946,0.5147626464843751,0.8895202939987183]","[0.30692353546824813,0.8106838621656128,0.8764067121738406]",0,0.031708478927612305
3538da01c5587383dcf933c7120ba60d1a5c16b6af60cb97ae2ca8954b96c6db,RAIL/2023-10-03,130,50,"[11.296998988254131,74.9999852562983,75.00001573435037]","[6.267891734021312,12.546884326463768,17.08701241888259]",14,116,108,"[0.45942879371643075,0.49132310800552376,0.8617432182312013]","[0.368520607215466,1.3780388839897169,1.3783597518952448]",0,0.05864447355270386
36907fcd85c3ea5210aecb4875ca49df775bae853acf28c83e983a0829e09017,TRI/2023-10-31,827,62,"[26.26049195812625,62.95197428462249,73.04972337874133]","[5.187212144218206,13.591190458336897,17.2879804472956]",75,751,750,"[0.3660470141887665,0.37692002494335175,0.38551159639358523]","[0.2624629531376614,0.8416990630795919,1.1530696195540637]",0,0.057813405990600586
382176c900bb38d8d6b0c2c75ec91a34e200c07278394cd81aca582941b160ba,RAIL/2023-07-21,149,27,"[16.784898904116446,52.20561424873581,54.86051310727989]","[3.24410696647618,10.352342358496065,16.571198336160165]",17,132,132,"[0.4127576416015626,0.4284094398498536,0.8555540466308593]","[0.2757713794297469,1.0651573898215527,1.1322343867043643]",0,0.06076240539550781
3b31f8b4f72b398ee1e8dba64cb4c6d42935542fe25ea2d5105f7e7b275abebe,IRIS/2023-06-05,190,25,"[24.1152999164324,63.38055745549601,73.52404819344717]","[5.437442117963776,11.199893090164801,15.39081358097229]",25,165,165,"[0.5401806896209718,0.5416855876922608,0.7354106524467467]","[0.5438920667432521,1.2034580861182973,1.3783597518952448]",0,0.07391858100891113
3bf56ef7eec39b8204687f66a29e4f8bb413bb4034e7f44ed806094a19114234,IRIS/2023-03-07,127,4,"[25.700177548611062,47.15804260391068,54.71567359859126]","[8.435525022928008,17.186852971534027,17.20917338052704]",4,123,122,"[0.5628643100738526,0.5640423839569093,0.8068854430198669]","[0.6509079841151064,1.0762060085704175,1.1155312257138976]",0,0.0752713680267334
3c6e0403a1246a9be67c6ba6a34ab37bbd4eac6ad2525fc5b5b95bbff4975368,TRI/2023-10-18,143,20,"[18.064666915533813,51.252599753509124,58.20607031396386]","[4.929847844147412,17.105388066598014,17.427107573566264]",16,127,127,"[0.3348019187927247,0.3658937280654908,0.5683815544128419]","[0.34264288200829296,0.9492675367509146,1.0502976150368102]",0,0.06810140609741211
3f69928cdd40062e3e43171049c2ae497ad4080219b377074fac600721199636,RAIL/2023-09-29,125,23,"[20.03110567661772,52.96366538194881,64.40380966912731]","[4.504978237122692,9.40757085231052,11.306612576162928]",19,106,106,"[0.8922352855682374,0.8929952686309816,1.1239839857101441]","[0.346497851433547,0.9458156432224748,1.139845686234909]",0,0.04446148872375488
41e654eabce69701782e25dbab6b3239bf57c9801ffeff0fa2868debc0e7966c,REAL/2023-06-07,212,21,"[21.53643049873316,74.99999079463149,75.00002221735903]","[5.430289543640146,17.228704735027094,17.331178884098314]",18,194,194,"[0.34742785148620614,0.37550129346847544,0.9518424489974975]","[0.4505712942038628,1.3532003992430348,1.370036072109914]",0,0.053212881088256836
4667ba21320e3a1a89e687e07c722d97f7ce312d150865ccdb25e29e0ad94fe1,ILIAD/2023-04-21,130,9,"[10.431746585790897,36.03844114798119,75.00000728436241]","[6.388348767269182,14.579135973534987,16.924600766952835]",8,122,121,"[0.7890994613647462,0.7897704666137696,0.9896827363967895]","[0.405557906965611,0.8935866292217284,1.2141149837670042]",0,0.06654712551971897
46e834d55af2b58a30e6857c1a341b03f852cfa23010b4dc34edbf2617ca7a8c,RPL/2023-06-05,239,24,"[27.424854430863068,60.914066978483106,64.38010774302974]","[3.9288800914255315,11.662268210299281,12.972767095903627]",13,226,224,"[0.6872107579231262,0.698776717376709,0.8955342834472657]","[0.4949572680326761,1.3433635789390108,1.3783597518952446]",0,0.05344748497009277
4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83,AUTOLab/2023-11-30,1067,20,"[35.1444397331389,74.99999193818219,75.00002867774683]","[7.429001879997572,16.52003147184226,17.3967773566815]",15,1052,1038,"[-0.3722606277465821,-0.2754298782348633,0.549802682685852]","[0.8223196048723428,1.361895252473596,1.3783597518952462]",215,0.0782926082611084
4d80502abaea286ed3f42e7c3afc11d0e08fef02bed743ab178d231d269983ae,TRI/2023-12-05,332,35,"[18.44399877369885,36.47286899013539,46.55978391940902]","[5.852409050267818,17.023751400215605,17.388562637781714]",26,304,305,"[0.5600636070251466,0.5602782671928407,0.7475134351730346]","[0.46122270182984404,0.7137559010274324,0.9728900527625438]",0,0.06146109104156494
4ddc09e3df4e3d0e20b610173570bcf03ac648af37a502a807aaf01f8f8ea192,AUTOLab/2023-08-12,172,42,"[17.405733772031056,47.675486809410145,51.84514889757431]","[5.428136583431901,11.456664426731946,13.206508315301056]",21,151,151,"[0.5194816654205323,0.5196755474090577,0.9206737344741822]","[0.2846037481317151,0.8515897605489,0.9829777425769937]",0,0.05185496807098389
4f36ab87714840d324777682efdfef96e7e8c48e6a03d0e7c243f19e93b00d3a,ILIAD/2023-05-17,284,29,"[15.757795596730455,34.00429640865086,40.337262332427244]","[5.831915938436422,16.47456684649982,17.253571023686373]",30,254,254,"[0.49134970359802255,0.5913603251457216,0.9731386964797974]","[0.33799731527523813,0.8175683297144131,1.0302174132422153]",0,0.06488704681396484
512906a4b1ca563b43ef0be21e64b363223252a17434c8e498d338bff85fa0d4,AUTOLab/2023-10-13,115,26,"[19.26608002945314,50.026590841773434,53.34614377332966]","[5.2241239297441755,10.249778652194859,11.200187590463132]",22,93,93,"[0.35470605545043954,0.3550115888595582,0.8642416065216065]","[0.2759395951570765,0.7479894446718701,0.848759204498412]",0,0.03638853877782822
5546f34f3c7f577f6998e61147e4f6adca236c13525e02687283fc2bb5c0431e,RPL/2023-11-30,208,39,"[22.100095786309716,48.732284613797454,52.93412261166229]","[4.904714846418502,11.088437866478733,12.660270227880517]",20,188,187,"[0.3220648830413819,0.33425267391204844,0.7182073657989503]","[0.3854913496888965,0.9359555623187918,1.0347321146853952]",0,0.03909468650817871
55cbd22b550dbf3706b996359a8a6952d1ca0de422e7cc0c639f216d844089ad,RAD/2023-12-18,361,21,"[17.525282568989738,50.171195004316836,60.37205107509632]","[5.362320857594819,13.397383929163416,17.352250097993647]",16,345,333,"[0.42959523849487313,0.46741200141906747,0.6408405368804933]","[0.43028369674321093,0.9571194525507712,1.1487650775416427]",0,0.0755610466003418
