robot,scale,method,witness_feasible,family,calls,units,verified_success,internal_success,accepted_within_20ms,returned_within_5ms,returned_within_20ms,total_latency_ns,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,latency_max_ms,internal_failure__task_reject,internal_failure__task_accept,internal_success__task_reject,internal_success__task_accept,accepted_position,accepted_orientation,all_returned_position,all_returned_orientation,joint_rejections,velocity_rejections,native_failure_task_accept,missed_calls,misses_per_sweep,any_repeat_missed_uids,all_repeats_missed_uids,false_acceptances
panda,1.0,trac_position_5ms,True,hard_feasible,1500,500,1.0,1.0,1.0,1.0,1.0,456155526,0.2317435,0.6532102499999994,1.0168452599999998,0.304103684,2.356808,0,0,0,1500,"{'p50': 1.7028625546479139e-06, 'p95': 0.0007128498226382081, 'p99': 0.0009006189975771633, 'mean': 0.00013961062667823383, 'max': 0.0009651246997892557}","{'p50': 1.7523102868109845e-06, 'p95': 1.1256675486931552e-05, 'p99': 1.3301797868455065e-05, 'mean': 3.4133338526662494e-06, 'max': 1.4922810422575852e-05}","{'p50': 1.7028625546479139e-06, 'p95': 0.0007128498226382081, 'p99': 0.0009006189975771633, 'mean': 0.00013961062667823383, 'max': 0.0009651246997892557}","{'p50': 1.7523102868109845e-06, 'p95': 1.1256675486931552e-05, 'p99': 1.3301797868455065e-05, 'mean': 3.4133338526662494e-06, 'max': 1.4922810422575852e-05}",0,0,0,0,0.0,0,0,0
panda,1.0,trac_position_5ms,True,local,3000,1000,1.0,1.0,1.0,1.0,1.0,665905387,0.20585350000000002,0.31853135,0.4430200899999998,0.22196846233333334,0.614283,0,0,0,3000,"{'p50': 3.185772773306146e-08, 'p95': 7.327855402015644e-06, 'p99': 0.00028112115639224275, 'mean': 6.759697353760305e-06, 'max': 0.0008387163285336933}","{'p50': 6.046201479820645e-08, 'p95': 7.342195969933402e-06, 'p99': 1.0421129770691035e-05, 'mean': 1.0040821206583815e-06, 'max': 1.5081273110218428e-05}","{'p50': 3.185772773306146e-08, 'p95': 7.327855402015644e-06, 'p99': 0.00028112115639224275, 'mean': 6.759697353760305e-06, 'max': 0.0008387163285336933}","{'p50': 6.046201479820645e-08, 'p95': 7.342195969933402e-06, 'p99': 1.0421129770691035e-05, 'mean': 1.0040821206583815e-06, 'max': 1.5081273110218428e-05}",0,0,0,0,0.0,0,0,0
panda,1.0,trac_position_5ms,True,near_limit,1500,500,1.0,1.0,1.0,1.0,1.0,339521475,0.205755,0.321202,0.4835584799999998,0.22634765,1.69207,0,0,0,1500,"{'p50': 3.324549387254017e-08, 'p95': 1.643473810185437e-05, 'p99': 0.0007210661601779158, 'mean': 2.0373037088302945e-05, 'max': 0.0009279170954315007}","{'p50': 5.205604025609855e-08, 'p95': 7.836263923274154e-06, 'p99': 1.1689867686535966e-05, 'mean': 1.1578950222520113e-06, 'max': 1.5349286254498487e-05}","{'p50': 3.324549387254017e-08, 'p95': 1.643473810185437e-05, 'p99': 0.0007210661601779158, 'mean': 2.0373037088302945e-05, 'max': 0.0009279170954315007}","{'p50': 5.205604025609855e-08, 'p95': 7.836263923274154e-06, 'p99': 1.1689867686535966e-05, 'mean': 1.1578950222520113e-06, 'max': 1.5349286254498487e-05}",0,0,0,0,0.0,0,0,0
panda,1.0,trac_position_5ms,True,near_singular,1500,500,1.0,1.0,1.0,1.0,1.0,349270004,0.21629749999999998,0.33460029999999996,0.4255337899999999,0.23284666933333334,0.586381,0,0,0,1500,"{'p50': 1.0678346166710523e-06, 'p95': 0.00016620176049113097, 'p99': 0.0006381536111816986, 'mean': 2.649773023659526e-05, 'max': 0.000853841406401912}","{'p50': 1.5803964260395138e-06, 'p95': 1.0261008296588294e-05, 'p99': 1.2881621005070515e-05, 'mean': 3.060842725786999e-06, 'max': 1.5342909732308917e-05}","{'p50': 1.0678346166710523e-06, 'p95': 0.00016620176049113097, 'p99': 0.0006381536111816986, 'mean': 2.649773023659526e-05, 'max': 0.000853841406401912}","{'p50': 1.5803964260395138e-06, 'p95': 1.0261008296588294e-05, 'p99': 1.2881621005070515e-05, 'mean': 3.060842725786999e-06, 'max': 1.5342909732308917e-05}",0,0,0,0,0.0,0,0,0
panda,1.0,dls_strict,True,hard_feasible,500,500,0.974,0.692,0.974,0.614,1.0,1988127863,1.3624305,9.056547499999999,9.345116819999998,3.976255726,14.45718,13,141,0,346,"{'p50': 2.377336819322016e-06, 'p95': 0.0002614462517757745, 'p99': 0.0006605451320393369, 'mean': 4.3140915850153715e-05, 'max': 0.0008801252000587586}","{'p50': 6.0450061789087155e-06, 'p95': 0.000753082496245537, 'p99': 0.002762081501043804, 'mean': 0.00012592175507149378, 'max': 0.004151069326036726}","{'p50': 2.51299401623891e-06, 'p95': 0.00045650019023639796, 'p99': 0.0021822390696821744, 'mean': 0.00010421396491432933, 'max': 0.004571275782450809}","{'p50': 6.312534778098125e-06, 'p95': 0.0012398874259103101, 'p99': 0.004163910147520541, 'mean': 0.00023057772731738046, 'max': 0.008439478140775409}",0,0,141,13,13.0,13,13,0
panda,1.0,dls_strict,True,local,1000,1000,1.0,0.917,1.0,0.89,1.0,1886463057,0.978503,8.80299655,9.01847397,1.886463057,11.17623,0,83,0,917,"{'p50': 4.347077622415544e-08, 'p95': 2.5363621221414212e-05, 'p99': 6.556911034135915e-05, 'mean': 4.227713860334385e-06, 'max': 0.00019255612892846177}","{'p50': 9.084939090379486e-08, 'p95': 1.543879769086897e-05, 'p99': 5.2158923595162804e-05, 'mean': 3.570339853490796e-06, 'max': 0.0002193064907784372}","{'p50': 4.347077622415544e-08, 'p95': 2.5363621221414212e-05, 'p99': 6.556911034135915e-05, 'mean': 4.227713860334385e-06, 'max': 0.00019255612892846177}","{'p50': 9.084939090379486e-08, 'p95': 1.543879769086897e-05, 'p99': 5.2158923595162804e-05, 'mean': 3.570339853490796e-06, 'max': 0.0002193064907784372}",0,0,83,0,0.0,0,0,0
panda,1.0,dls_strict,True,near_limit,500,500,1.0,0.898,1.0,0.882,1.0,997867736,0.981481,8.870725049999999,9.09737129,1.9957354719999998,10.074847,0,51,0,449,"{'p50': 5.060416591036867e-08, 'p95': 2.5954171987478708e-05, 'p99': 9.341325498825497e-05, 'mean': 6.13161004439141e-06, 'max': 0.0005482657693299569}","{'p50': 6.954664475065977e-08, 'p95': 2.750521798484448e-05, 'p99': 0.0003291748859612211, 'mean': 1.4967140763568012e-05, 'max': 0.001652855638815636}","{'p50': 5.060416591036867e-08, 'p95': 2.5954171987478708e-05, 'p99': 9.341325498825497e-05, 'mean': 6.13161004439141e-06, 'max': 0.0005482657693299569}","{'p50': 6.954664475065977e-08, 'p95': 2.750521798484448e-05, 'p99': 0.0003291748859612211, 'mean': 1.4967140763568012e-05, 'max': 0.001652855638815636}",0,0,51,0,0.0,0,0,0
panda,1.0,dls_strict,True,near_singular,500,500,1.0,0.454,1.0,0.436,1.0,2664456791,6.1121075000000005,9.08409655,9.796428639999997,5.328913582,14.287096,0,273,0,227,"{'p50': 1.1536715019326388e-05, 'p95': 5.61363436777285e-05, 'p99': 0.00010546203616697819, 'mean': 1.7905792293783988e-05, 'max': 0.00013386419422557833}","{'p50': 8.240712760317756e-06, 'p95': 4.917956580346974e-05, 'p99': 7.510311663621592e-05, 'mean': 1.411749013325473e-05, 'max': 0.00010909545224961268}","{'p50': 1.1536715019326388e-05, 'p95': 5.61363436777285e-05, 'p99': 0.00010546203616697819, 'mean': 1.7905792293783988e-05, 'max': 0.00013386419422557833}","{'p50': 8.240712760317756e-06, 'p95': 4.917956580346974e-05, 'p99': 7.510311663621592e-05, 'mean': 1.411749013325473e-05, 'max': 0.00010909545224961268}",0,0,273,0,0.0,0,0,0
panda,1.0,trac_task_5ms,True,hard_feasible,1500,500,1.0,1.0,1.0,1.0,1.0,381121955,0.213517,0.43609319999999996,0.6467398199999997,0.2540813033333333,3.377897,0,0,0,1500,"{'p50': 0.0001070317329503559, 'p95': 0.0007273693683042053, 'p99': 0.0008096785619464136, 'mean': 0.0002503222989557948, 'max': 0.0008799494318185507}","{'p50': 0.0003586989584787421, 'p95': 0.0045767047633308855, 'p99': 0.005564278004290131, 'mean': 0.0010868773717491252, 'max': 0.006483603669559971}","{'p50': 0.0001070317329503559, 'p95': 0.0007273693683042053, 'p99': 0.0008096785619464136, 'mean': 0.0002503222989557948, 'max': 0.0008799494318185507}","{'p50': 0.0003586989584787421, 'p95': 0.0045767047633308855, 'p99': 0.005564278004290131, 'mean': 0.0010868773717491252, 'max': 0.006483603669559971}",0,0,0,0,0.0,0,0,0
panda,1.0,trac_task_5ms,True,local,3000,1000,1.0,1.0,1.0,1.0,1.0,632795267,0.19548949999999998,0.31194889999999986,0.40435953999999735,0.21093175566666666,0.564026,0,0,0,3000,"{'p50': 6.61486830790178e-05, 'p95': 0.00035799751097618675, 'p99': 0.0005855355551732683, 'mean': 0.00010883043042520763, 'max': 0.0008331712616227915}","{'p50': 0.0001072972661555209, 'p95': 0.0005806334211240901, 'p99': 0.0029287721360145807, 'mean': 0.00021978952100107759, 'max': 0.006682793811329026}","{'p50': 6.61486830790178e-05, 'p95': 0.00035799751097618675, 'p99': 0.0005855355551732683, 'mean': 0.00010883043042520763, 'max': 0.0008331712616227915}","{'p50': 0.0001072972661555209, 'p95': 0.0005806334211240901, 'p99': 0.0029287721360145807, 'mean': 0.00021978952100107759, 'max': 0.006682793811329026}",0,0,0,0,0.0,0,0,0
