robot,scale,method,witness_feasible,calls,units,verified_success,internal_success,accepted_within_20ms,returned_within_5ms,returned_within_20ms,total_latency_ns,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,latency_max_ms,internal_failure__task_reject,internal_failure__task_accept,internal_success__task_reject,internal_success__task_accept,accepted_position,accepted_orientation,all_returned_position,all_returned_orientation,joint_rejections,velocity_rejections,native_failure_task_accept,missed_calls,misses_per_sweep,any_repeat_missed_uids,all_repeats_missed_uids,false_acceptances
panda,1.0,trac_position_5ms,True,7500,2500,1.0,1.0,1.0,1.0,1.0,1810852392,0.211111,0.3785840499999998,0.6811145900000006,0.2414469856,2.356808,0,0,0,7500,"{'p50': 1.2322163505686578e-07, 'p95': 0.0004487248721866504, 'p99': 0.0007651315690732908, 'mean': 4.0000157742130525e-05, 'max': 0.0009651246997892557}","{'p50': 2.0843430674832515e-07, 'p95': 9.579512820480231e-06, 'p99': 1.2338392268666337e-05, 'mean': 1.9280471684044045e-06, 'max': 1.5349286254498487e-05}","{'p50': 1.2322163505686578e-07, 'p95': 0.0004487248721866504, 'p99': 0.0007651315690732908, 'mean': 4.0000157742130525e-05, 'max': 0.0009651246997892557}","{'p50': 2.0843430674832515e-07, 'p95': 9.579512820480231e-06, 'p99': 1.2338392268666337e-05, 'mean': 1.9280471684044045e-06, 'max': 1.5349286254498487e-05}",0,0,0,0,0.0,0,0,0
panda,1.0,dls_strict,True,2500,2500,0.9948,0.7756,0.9948,0.7424,1.0,7536915447,1.0377735000000001,8.9439048,9.22965639,3.0147661788,14.45718,13,548,0,1939,"{'p50': 7.286099977068084e-07, 'p95': 5.717643495943699e-05, 'p99': 0.0002693384599590136, 'mean': 1.4980314052451524e-05, 'max': 0.0008801252000587586}","{'p50': 1.3416396770306755e-06, 'p95': 6.348265426008049e-05, 'p99': 0.0008278535050241976, 'mean': 3.1940711709577654e-05, 'max': 0.004151069326036726}","{'p50': 7.502185560055288e-07, 'p95': 6.303725199452422e-05, 'p99': 0.0004903177810252135, 'mean': 2.7341358994634697e-05, 'max': 0.004571275782450809}","{'p50': 1.4218371136673831e-06, 'p95': 7.513936952678597e-05, 'p99': 0.001273153549223863, 'mean': 5.3360607584236955e-05, 'max': 0.008439478140775409}",0,0,548,13,13.0,13,13,0
panda,1.0,trac_task_5ms,True,7500,2500,1.0,1.0,1.0,1.0,1.0,1659043002,0.199347,0.3318035,0.47797837000000026,0.22120573359999998,3.377897,0,0,0,7500,"{'p50': 6.775449438567484e-05, 'p95': 0.000575996384415035, 'p99': 0.000744522252415598, 'mean': 0.0001406270960420863, 'max': 0.0008799494318185507}","{'p50': 0.00011276402425011116, 'p95': 0.0024382608842211536, 'p99': 0.005033057538456138, 'mean': 0.0004384355994053022, 'max': 0.007735802772964108}","{'p50': 6.775449438567484e-05, 'p95': 0.000575996384415035, 'p99': 0.000744522252415598, 'mean': 0.0001406270960420863, 'max': 0.0008799494318185507}","{'p50': 0.00011276402425011116, 'p95': 0.0024382608842211536, 'p99': 0.005033057538456138, 'mean': 0.0004384355994053022, 'max': 0.007735802772964108}",0,0,0,0,0.0,0,0,0
panda,1.0,trac_strict_5ms,True,7500,2500,1.0,1.0,1.0,1.0,1.0,1772579689,0.211487,0.36711904999999995,0.48650603,0.23634395853333331,0.801375,0,0,0,7500,"{'p50': 9.676247543758109e-08, 'p95': 7.327855402015644e-06, 'p99': 1.0899703454075086e-05, 'mean': 1.3519473395122934e-06, 'max': 1.528793314073256e-05}","{'p50': 1.767325804414648e-07, 'p95': 8.696340974630103e-06, 'p99': 1.1755888401172513e-05, 'mean': 1.6893368893600842e-06, 'max': 1.5342909732308917e-05}","{'p50': 9.676247543758109e-08, 'p95': 7.327855402015644e-06, 'p99': 1.0899703454075086e-05, 'mean': 1.3519473395122934e-06, 'max': 1.528793314073256e-05}","{'p50': 1.767325804414648e-07, 'p95': 8.696340974630103e-06, 'p99': 1.1755888401172513e-05, 'mean': 1.6893368893600842e-06, 'max': 1.5342909732308917e-05}",0,0,0,0,0.0,0,0,0
panda,1.0,trac_task_20ms,True,7500,2500,1.0,1.0,1.0,1.0,1.0,1653630001,0.199257,0.3311476,0.46737010000000007,0.22048400013333333,1.48433,0,0,0,7500,"{'p50': 6.749343498149802e-05, 'p95': 0.0005697624430747179, 'p99': 0.0007402589750138759, 'mean': 0.0001401185831267369, 'max': 0.0009833976845261163}","{'p50': 0.0001124026436226165, 'p95': 0.002438151958663809, 'p99': 0.00503313317550488, 'mean': 0.0004372848127651204, 'max': 0.007735802772964108}","{'p50': 6.749343498149802e-05, 'p95': 0.0005697624430747179, 'p99': 0.0007402589750138759, 'mean': 0.0001401185831267369, 'max': 0.0009833976845261163}","{'p50': 0.0001124026436226165, 'p95': 0.002438151958663809, 'p99': 0.00503313317550488, 'mean': 0.0004372848127651204, 'max': 0.007735802772964108}",0,0,0,0,0.0,0,0,0
panda,1.0,trac_strict_20ms,True,7500,2500,1.0,1.0,1.0,1.0,1.0,1767803218,0.2113535,0.36202134999999996,0.48459164000000005,0.23570709573333334,1.106017,0,0,0,7500,"{'p50': 9.74670489260881e-08, 'p95': 7.329581415906716e-06, 'p99': 1.0899782185851013e-05, 'mean': 1.3611912719729296e-06, 'max': 1.6102102797965537e-05}","{'p50': 1.7922359145982707e-07, 'p95': 8.696340974630103e-06, 'p99': 1.1752103648123986e-05, 'mean': 1.691560090939538e-06, 'max': 1.5342909732308917e-05}","{'p50': 9.74670489260881e-08, 'p95': 7.329581415906716e-06, 'p99': 1.0899782185851013e-05, 'mean': 1.3611912719729296e-06, 'max': 1.6102102797965537e-05}","{'p50': 1.7922359145982707e-07, 'p95': 8.696340974630103e-06, 'p99': 1.1752103648123986e-05, 'mean': 1.691560090939538e-06, 'max': 1.5342909732308917e-05}",0,0,0,0,0.0,0,0,0
panda,1.0,trac_orientation_5ms,True,7500,2500,1.0,1.0,1.0,1.0,1.0,1848845419,0.210335,0.3818319,0.7987748400000015,0.24651272253333337,4.94281,0,0,0,7500,"{'p50': 2.8673618253151715e-07, 'p95': 1.030571756671747e-05, 'p99': 1.2925006301991978e-05, 'mean': 2.3215506545278695e-06, 'max': 1.570425037805662e-05}","{'p50': 5.295350337378952e-07, 'p95': 5.457330886014135e-05, 'p99': 0.004654307023529325, 'mean': 0.0001177231086068107, 'max': 0.006565367242626188}","{'p50': 2.8673618253151715e-07, 'p95': 1.030571756671747e-05, 'p99': 1.2925006301991978e-05, 'mean': 2.3215506545278695e-06, 'max': 1.570425037805662e-05}","{'p50': 5.295350337378952e-07, 'p95': 5.457330886014135e-05, 'p99': 0.004654307023529325, 'mean': 0.0001177231086068107, 'max': 0.006565367242626188}",0,0,0,0,0.0,0,0,0
panda,1.0,dls_task,True,2500,2500,0.9948,0.9948,0.9948,0.9908,1.0,1905508380,0.6245455,1.0420298000000001,4.479280149999943,0.7622033520000001,8.758086,13,0,0,2487,"{'p50': 0.00011261351542857217, 'p95': 0.0008004338045557581, 'p99': 0.0009639237953452454, 'mean': 0.00020101006302621408, 'max': 0.0009957991298363664}","{'p50': 0.00026842134213686314, 'p95': 0.0025253847877315994, 'p99': 0.005510175047491545, 'mean': 0.000664758120695813, 'max': 0.008706102492531358}","{'p50': 0.00011432697968277611, 'p95': 0.0008220440510808829, 'p99': 0.0009757813913347144, 'mean': 0.00021240375327373373, 'max': 0.004571275782450809}","{'p50': 0.00027171920322485173, 'p95': 0.0025535470106678, 'p99': 0.0062184986260588465, 'mean': 0.000682887366043744, 'max': 0.008706102492531358}",0,0,0,13,13.0,13,13,0
panda,1.0,dls_task,False,500,500,0.0,0.0,0.0,0.088,1.0,2750708983,5.3896745,6.176577399999999,8.734350449999999,5.501417966000001,14.198517,500,0,0,0,"{'p50': None, 'p95': None, 'p99': None, 'mean': None, 'max': None}","{'p50': None, 'p95': None, 'p99': None, 'mean': None, 'max': None}","{'p50': 2.6574122909202886, 'p95': 3.4750252283232297, 'p99': 3.6842126215744453, 'mean': 2.639423612921164, 'max': 3.743631500401548}","{'p50': 0.03931829113834251, 'p95': 0.08925633340677691, 'p99': 0.11023998725795776, 'mean': 0.04249816532710348, 'max': 0.14064580388102915}",0,0,0,0,0.0,0,0,0
panda,1.0,trac_task_20ms,False,1500,500,0.0,0.0,0.0,0.0,0.0,30495450743,20.3185075,20.453865750000002,20.567509530000002,20.330300495333333,20.704259,1500,0,0,0,"{'p50': None, 'p95': None, 'p99': None, 'mean': None, 'max': None}","{'p50': None, 'p95': None, 'p99': None, 'mean': None, 'max': None}","{'p50': 2.6763275590275555, 'p95': 3.496581743957905, 'p99': 3.684218642476776, 'mean': 2.6562975330838583, 'max': 3.743631500401548}","{'p50': 0.01957991637666518, 'p95': 0.05080095447674463, 'p99': 0.060114148526586364, 'mean': 0.023305258672176796, 'max': 0.06621680087818324}",0,0,0,0,0.0,0,0,0
