robot,scale,method,witness_feasible,uid,family,success,time
panda,1.0,trac_position_5ms,True,4507a8978dacfa42215820bc59a5221334fa1f90c28811f05c9356160c674198,near_limit,1.0,311373.3333333333
panda,1.0,trac_position_5ms,True,a295ea766f467f91dbab9c877ca2130e15353c006c198db963f83ffd81f8dc14,near_singular,1.0,268849.6666666667
panda,1.0,trac_position_5ms,True,a1928e98b07a4c3e085470e9e94715f77d66bc6c394d17a9efc389c272c5bd34,near_singular,1.0,221941.0
panda,1.0,trac_position_5ms,True,7ff2232221b03b4a4d786a90ad9ed8ec3f017b6eadfdb82c8e4641eadc6aa6be,local,1.0,217742.66666666666
panda,1.0,trac_position_5ms,True,0cf9f6d83e01ee260e0a7bfe8220d8b0cf88ad59204a2abd933033d35428c9f7,local,1.0,198459.66666666666
panda,1.0,trac_position_5ms,True,0fe91a4363f8ca2be17091221fed0a3b7a079fa9263bdde971f823be560b6c65,hard_feasible,1.0,221023.66666666666
panda,1.0,trac_position_5ms,True,2ba57f7150a741586ce13e6d180f4e2b7c8791be6246f3ac093435320dd95d9f,near_singular,1.0,217304.66666666666
panda,1.0,trac_position_5ms,True,9a9b95b9bfcd5efa13437997c1713e46e73cc2395f0d320ea09a83f6f0ecfdfd,near_singular,1.0,245713.0
panda,1.0,trac_position_5ms,True,6d0fcefdf6ef342cae7cd8f484e4880a020f922f452308fdd9f1f65eeae6c455,near_singular,1.0,222434.0
panda,1.0,trac_position_5ms,True,d8ef70980a99cd4216f948310e90a4ffb33fd639f54cedd17c63847035f1e205,local,1.0,202153.33333333334
panda,1.0,trac_position_5ms,True,416aaa812f5ecf32245ee201d5cf41f107401c783aca06bdc762bea507d7f33a,local,1.0,202613.33333333334
panda,1.0,trac_position_5ms,True,984e0990ad3335e9222c6ede4fb66e2ce9735985df8d69578779a7a2f072345a,near_limit,1.0,199502.0
panda,1.0,trac_position_5ms,True,cc271c2d3b8a65c0590b1bd0511a8998d07788afa65762d0ff861c7c5ace925a,near_singular,1.0,243200.66666666666
panda,1.0,trac_position_5ms,True,a3f79911323e6a36aea3047bc3b3de10a32c7c8b913b390034b3cbee5c6a281f,local,1.0,219401.33333333334
panda,1.0,trac_position_5ms,True,df9a5dab142f36b7bfe9cee1ed257a45b64cb7406ef39cd4b7be7eea639a7dd5,local,1.0,205310.0
panda,1.0,trac_position_5ms,True,64dd905898c112e1a4196aeebf23bd3e3f3885cebc14ead59d223cf2cd9de020,near_singular,1.0,191511.33333333334
panda,1.0,trac_position_5ms,True,0870d56ce0ffb204d98604014c04a44f3c5d4fa25b5a8e8e5eda7fe68028e0da,local,1.0,208520.33333333334
panda,1.0,trac_position_5ms,True,b1c68621359232dbd22c0ba067cea7bd35fee2a912e98e395611cf8a82b59900,local,1.0,244620.33333333334
panda,1.0,trac_position_5ms,True,bca62fbfe7727d2356b63714bd26e6e3f20171c94d9bacac8f6960ba31dbbd11,hard_feasible,1.0,222585.66666666666
panda,1.0,trac_position_5ms,True,468cdcc24886505d5c2399e909a2a6ddb9985fcc8a3d7540e0f7206a5ad730fe,local,1.0,254339.33333333334
panda,1.0,trac_position_5ms,True,3cc4505f61d77064b74cc212e17c4b99b43915473634ad29f5fd0a1dce02c3e3,local,1.0,218717.66666666666
panda,1.0,trac_position_5ms,True,bc06cd5783b39ced011b00644a79b46a2972579f72cca8bb575f4e8f0610c726,local,1.0,214557.33333333334
panda,1.0,trac_position_5ms,True,4cd9828091148ce7baa11cb442b033c4d4f99cbd153b7ce96633eed94c634213,local,1.0,215540.0
panda,1.0,trac_position_5ms,True,5422f1ea8d525ac0a12eb0869552c026eb41edba572cdd3fb08f7c040911311c,near_limit,1.0,196265.0
panda,1.0,trac_position_5ms,True,d024a2e2dcaf2f0bd8870ce0af259ccbf0fdd9dd0681648f9a093e4c744932a1,near_singular,1.0,218371.66666666666
panda,1.0,trac_position_5ms,True,0f7d3fc3ee09dd455e8a070f317542144b69b7dbc4e0ce273ffba1c6b5bfeb07,near_limit,1.0,205413.33333333334
panda,1.0,trac_position_5ms,True,f2753440f0186a263ab5c9f7e44e463fe2e3aea4510ae57a4c65d859e056ed11,near_limit,1.0,218002.33333333334
panda,1.0,trac_position_5ms,True,292d2400df09d9057edecbc8b7c4fc6927c141a7f80e809bbb85b4f8dbcbbb27,local,1.0,204305.33333333334
panda,1.0,trac_position_5ms,True,befef51d173240a9a59ce8844950aef933848eed088c16e40f9896b420f43df3,near_singular,1.0,267973.3333333333
panda,1.0,trac_position_5ms,True,af11ec6b53ed5e9e4b1aa3c725f2c762325a02cac22d120645ffdf8cc0317d4c,hard_feasible,1.0,200774.66666666666
panda,1.0,trac_position_5ms,True,b01ef2e39e928219a58829a3fef30ce35f91891aee37e5c9af01418d77f68e68,hard_feasible,1.0,225818.66666666666
panda,1.0,trac_position_5ms,True,00e3e445caca50c6db68a11ccf4716dcae12fc93d794c6c36913cc018dc83f88,local,1.0,238003.0
panda,1.0,trac_position_5ms,True,dad17861422f9f81af2eba74caab1373641a06053171b47b7c396d3f13a0321c,hard_feasible,1.0,336262.3333333333
panda,1.0,trac_position_5ms,True,6efaf4df1497d1f05a05471747d865ea19a2be74cbef12d91ee1fa2826a5a204,near_limit,1.0,203922.33333333334
panda,1.0,trac_position_5ms,True,f9b73851f317ce44728ce7deb083f84cf09dce8e18f74a426d77a8576224e7b7,near_singular,1.0,203526.66666666666
panda,1.0,trac_position_5ms,True,441ae5b74e62c6cffb14f33f21ad60a613bb5d6d4617e08119cd3621c6ed7b08,local,1.0,217982.0
panda,1.0,trac_position_5ms,True,7dd5e50e62d01b34c8c17ef8248b340d6ccc1589cb3aceb0e9596d3ad5ab6849,hard_feasible,1.0,219028.33333333334
panda,1.0,trac_position_5ms,True,2875238ec13cb7169667e89eb9e48beb1f8aceaa631298cebb9dc875cde53158,near_singular,1.0,253699.66666666666
panda,1.0,trac_position_5ms,True,9ace518274df38265da81a0c5a2bb74184be52446c7fa5561b7b5f38911ba343,near_singular,1.0,201105.66666666666
panda,1.0,trac_position_5ms,True,e4bcef472508d6dd7a1e047cb10dffbbe045c1b9ad9510925a29f2cb94d37ee2,local,1.0,221714.0
panda,1.0,trac_position_5ms,True,619f13a9d391a60b373c3620a9523445d937f1bda5414d78a8f3a89d6fdd2a55,near_limit,1.0,202242.0
panda,1.0,trac_position_5ms,True,bebd985833dcf88429eef89d42b848ecba16c64e94293f7df43185d1cfe2860d,hard_feasible,1.0,199485.0
panda,1.0,trac_position_5ms,True,ab93df93e9353ce14b727bac329e955fb63ae5eaf216970f627e72dce3579016,near_singular,1.0,212460.0
panda,1.0,trac_position_5ms,True,1eeccc986a127997401a00865ce8686a17c89f2af3676a761b8ecc4e6f2ffdd5,hard_feasible,1.0,206521.66666666666
panda,1.0,trac_position_5ms,True,1c364867b6897f0369f916baf489c4639af72248de9ae577b4be14b7f9d09979,near_limit,1.0,217201.33333333334
panda,1.0,trac_position_5ms,True,b627191601b92116b37d33a8ade55383167c2727ace1da9aeeeb1daef1fc8680,near_singular,1.0,207134.66666666666
panda,1.0,trac_position_5ms,True,c4f7e8acafad92165c1666000fde42ffa25c852578f62b13e5be61d1eab0e8aa,local,1.0,197648.33333333334
panda,1.0,trac_position_5ms,True,ac6001f414383d634bc049a11e55cbeedb0bf66db32cfc6dc11a53c3d5d2cfbf,local,1.0,202971.66666666666
