robot,run_id,uid,family,method,repeat,complete,complete_within_20ms,total_latency_ns,source
panda,trajectory_00_dls_strict_r0,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,dls_strict,0,True,True,145805373,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_00_dls_strict_r0.jsonl.gz
panda,trajectory_00_dls_task_r0,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,dls_task,0,True,True,89404583,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_00_dls_task_r0.jsonl.gz
panda,trajectory_00_trac_strict_20ms_r0,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,trac_strict_20ms,0,True,True,37170293,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_00_trac_strict_20ms_r0.jsonl.gz
panda,trajectory_00_trac_strict_20ms_r1,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,trac_strict_20ms,1,True,True,27431617,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_00_trac_strict_20ms_r1.jsonl.gz
panda,trajectory_00_trac_strict_20ms_r2,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,trac_strict_20ms,2,True,True,37068192,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_00_trac_strict_20ms_r2.jsonl.gz
panda,trajectory_00_trac_strict_5ms_r0,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,trac_strict_5ms,0,True,True,33005046,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_00_trac_strict_5ms_r0.jsonl.gz
panda,trajectory_00_trac_strict_5ms_r1,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,trac_strict_5ms,1,True,True,39042977,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_00_trac_strict_5ms_r1.jsonl.gz
panda,trajectory_00_trac_strict_5ms_r2,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,trac_strict_5ms,2,True,True,27432407,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_00_trac_strict_5ms_r2.jsonl.gz
panda,trajectory_00_trac_task_20ms_r0,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,trac_task_20ms,0,True,True,26170268,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_00_trac_task_20ms_r0.jsonl.gz
panda,trajectory_00_trac_task_20ms_r1,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,trac_task_20ms,1,True,True,33254066,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_00_trac_task_20ms_r1.jsonl.gz
