robot,baseline,metric,value,low,high
panda,tar_fixed,completion,-4.166666666666667,-9.166666666666668,0.0
panda,tar_nominal,completion,-4.166666666666667,-10.0,0.8333333333333331
panda,trac_task_5ms,completion,-4.166666666666667,-10.0,0.8333333333333331
panda,trac_task_20ms,completion,-5.833333333333333,-11.666666666666666,-2.7755575615628914e-16
panda,pink_qp,completion,-5.0,-14.166666666666666,3.3333333333333335
panda,tar_fixed,deadline_completion,-4.166666666666667,-10.833333333333336,2.5
panda,tar_nominal,deadline_completion,-5.833333333333333,-12.5,0.8333333333333328
panda,trac_task_5ms,deadline_completion,-5.833333333333333,-12.5,0.8333333333333331
panda,trac_task_20ms,deadline_completion,-8.333333333333334,-15.833333333333336,-1.666666666666667
panda,pink_qp,deadline_completion,-8.333333333333334,-18.333333333333336,0.8333333333333328
panda,tar_fixed,total_latency_ns,1.0431952939433404,1.0155256382210955,1.0724710465112877
panda,tar_nominal,total_latency_ns,2.3607631271938447,2.2146795530447387,2.502509858613334
panda,trac_task_5ms,total_latency_ns,13.578948597659974,9.368489163139621,21.033250540789076
panda,trac_task_20ms,total_latency_ns,7.5610296992578006,4.290709014804105,23.22191004827762
panda,pink_qp,total_latency_ns,4.775034288235174,4.62024293398568,4.942977773067615
ur5e,tar_fixed,completion,2.5000000000000004,-5.0,10.0
ur5e,tar_nominal,completion,2.7755575615628914e-16,-8.333333333333332,8.333333333333334
ur5e,trac_task_5ms,completion,-1.6666666666666667,-7.5,2.5
ur5e,trac_task_20ms,completion,-1.6666666666666667,-7.5,2.5
ur5e,pink_qp,completion,0.0,-10.0,10.0
ur5e,tar_fixed,deadline_completion,0.8333333333333331,-6.666666666666668,9.166666666666668
ur5e,tar_nominal,deadline_completion,-0.8333333333333335,-10.0,8.333333333333334
ur5e,trac_task_5ms,deadline_completion,-3.333333333333334,-10.0,2.5
ur5e,trac_task_20ms,deadline_completion,-4.166666666666667,-10.833333333333336,1.6666666666666667
ur5e,pink_qp,deadline_completion,-2.5000000000000013,-12.5,8.333333333333332
ur5e,tar_fixed,total_latency_ns,1.051964498102751,1.0024398532540202,1.104400991258245
ur5e,tar_nominal,total_latency_ns,2.2861721356683455,2.0544097886562045,2.474713125676199
ur5e,trac_task_5ms,total_latency_ns,20.01346451574669,16.445641790284995,23.60170213086897
ur5e,trac_task_20ms,total_latency_ns,10.563267729278012,5.637572380121223,24.24076147247425
ur5e,pink_qp,total_latency_ns,6.371561014652284,6.218911329123676,6.5392639523786436
