robot,uid,site_id,method,repeat,family,frame,previous_q,target_position,target_rotation,q,position_error,orientation_error,failure_kind,total_latency_ns,backup,native_status
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,pink_qp,1,near_singular,122,"[-2.580960908165891,0.045225535505242616,2.8972999999999995,-0.5738462902928353,-2.8972999999999995,2.0299278701804253,-1.7646994928786397]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.578042024040462,0.036008619969428904,2.8972999999999995,-0.5589157909530367,-2.8972999999999995,2.0324139277175353,-1.7685271154541125]",0.0012992839328331773,0.004631253155571994,position_tolerance,825123,,solved
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,tar_corrected,0,near_singular,115,"[-2.1438080350350557,0.05329899431860638,2.45049230073697,-0.5585506551483025,-2.897299999758884,2.0671755660802966,-1.752459466423062]","[0.20861375575358249,0.026903607247617728,1.1614330491751486]","[[0.34229102437705455,0.8425791812818971,-0.41580906423650105],[-0.9074290555980031,0.18164137962248073,-0.3789180891239665],[-0.24374036121952192,0.507017487350456,0.8267550446374108]]",,,,non_finite_or_wrong_shape,8440345,"{""internal_ok"":false,""internal_status"":""native_no_solution"",""native_return_code"":-3,""iterations"":null,""solver_function_evaluations"":null,""native_conversion_ns"":545,""native_setup_ns"":7422,""native_solve_ns"":5015923,""native_bounds"":[0.0005773502691896257,0.0005773502691896257,0.0005773502691896257,0.00503833156733364,0.00503833156733364,0.00503833156733364],""method"":""trac_task_5ms"",""q"":[-2.1438080350350557,0.05329899431860638,2.45049230073697,-0.5585506551483025,-2.897299999758884,2.0671755660802966,-1.752459466423062],""finite"":true,""accepted"":false,""joint_limit_ok"":true,""velocity_ok"":true,""verification_reasons"":[""position_tolerance""],""position_error"":0.0034535995934168867,""orientation_error"":0.007814299369663286,""total_latency_ns"":5230287,""conversion_ns"":3560,""bounds_setup_ns"":21314,""solve_ns"":5015923,""verification_ns"":161956,""accounting_remainder_ns"":27534,""returned_within_5ms"":false,""returned_within_20ms"":true,""accepted_within_20ms"":false,""lower"":[-2.1874080350350553,0.009698994318606382,2.4068923007369705,-0.6021506551483023,-2.8972999999999995,2.0148755660802973,-1.8047594664230617],""upper"":[-2.100208035035056,0.09689899431860637,2.4940923007369697,-0.5149506551483026,-2.8449999997588846,2.119475566080296,-1.7001594664230621],""seed_q"":[-2.1438080350350557,0.05329899431860638,2.45049230073697,-0.5585506551483025,-2.897299999758884,2.0671755660802966,-1.752459466423062],""budget_ms"":5,""taxonomy"":""internal_failure__task_reject"",""trace_instrumented"":false,""failure_kind"":""internal_nonconvergence+position_tolerance"",""velocity_utilization"":0.0}","[{""outer"":0,""phase"":""joint"",""phase_update"":0,""status"":""Solved"",""iterations"":13,""native_seconds"":0.001256363,""primal_residual"":9.623965767717541e-11,""dual_residual"":2.822519340384394e-11,""build_ns"":204600,""solve_ns"":949296,""affine_tau"":5.068624383567804,""variables"":99,""sparse_nonzeros"":1175,""updates"":232}]"
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,trac_task_5ms,1,near_singular,115,"[-2.271496215287015,0.05635762476489381,2.5662068857508156,-0.5700076469642632,-2.896034749633398,2.0642965613790434,-1.7430298825193924]","[0.20861375575358249,0.026903607247617728,1.1614330491751486]","[[0.34229102437705455,0.8425791812818971,-0.41580906423650105],[-0.9074290555980031,0.18164137962248073,-0.3789180891239665],[-0.24374036121952192,0.507017487350456,0.8267550446374108]]","[-2.271496215287015,0.05635762476489381,2.5662068857508156,-0.5700076469642632,-2.896034749633398,2.0642965613790434,-1.7430298825193924]",0.0032967721333230274,0.006124485041746941,internal_nonconvergence+position_tolerance,5194101,,
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,trajectory_26,tar_corrected,1,joint_limit_return,72,"[-1.1639954548486624,0.5353856535970403,0.24494794116457477,-0.9575487106914551,2.8909076134262737,2.7952076472041076,0.5137465510857151]","[0.37719423030748733,-0.6378831642217682,0.6422111927532251]","[[0.5275670504201451,0.6604035474662989,0.534359580998522],[-0.10416908689423132,0.6745619459455053,-0.7308317059472961],[-0.8431024900014291,0.3298989778343376,0.424670290669419]]",,,,non_finite_or_wrong_shape,8038952,"{""internal_ok"":false,""internal_status"":""native_no_solution"",""native_return_code"":-3,""iterations"":null,""solver_function_evaluations"":null,""native_conversion_ns"":535,""native_setup_ns"":8065,""native_solve_ns"":5012048,""native_bounds"":[0.0005773502691896257,0.0005773502691896257,0.0005773502691896257,0.00503833156733364,0.00503833156733364,0.00503833156733364],""method"":""trac_task_5ms"",""q"":[-1.1639954548486624,0.5353856535970403,0.24494794116457477,-0.9575487106914551,2.8909076134262737,2.7952076472041076,0.5137465510857151],""finite"":true,""accepted"":false,""joint_limit_ok"":true,""velocity_ok"":true,""verification_reasons"":[""position_tolerance"",""orientation_tolerance""],""position_error"":0.012542362744525656,""orientation_error"":0.024533186881132853,""total_latency_ns"":5232877,""conversion_ns"":3400,""bounds_setup_ns"":22425,""solve_ns"":5012048,""verification_ns"":166611,""accounting_remainder_ns"":28393,""returned_within_5ms"":false,""returned_within_20ms"":true,""accepted_within_20ms"":false,""lower"":[-1.2075954548486623,0.49178565359704035,0.2013479411645748,-1.001148710691455,2.8386076134262743,2.7429076472041083,0.46144655108571514],""upper"":[-1.1203954548486625,0.5789856535970401,0.2885479411645747,-0.9139487106914552,2.8972999999999995,2.847507647204107,0.566046551085715],""seed_q"":[-1.1639954548486624,0.5353856535970403,0.24494794116457477,-0.9575487106914551,2.8909076134262737,2.7952076472041076,0.5137465510857151],""budget_ms"":5,""taxonomy"":""internal_failure__task_reject"",""trace_instrumented"":false,""failure_kind"":""internal_nonconvergence+position_tolerance+orientation_tolerance"",""velocity_utilization"":0.0}","[{""outer"":0,""phase"":""joint"",""phase_update"":0,""status"":""Solved"",""iterations"":8,""native_seconds"":0.000987388,""primal_residual"":6.61515707537358e-11,""dual_residual"":1.3479898085994557e-10,""build_ns"":200128,""solve_ns"":562534,""affine_tau"":0.3912825303438672,""variables"":99,""sparse_nonzeros"":1175,""updates"":400}]"
panda,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,trajectory_12,tar_corrected,0,near_singular,88,"[1.0553777074897555,-0.06954642181667957,1.250238389752356,-0.27990444430191647,1.2944146799097758,2.887950844810127,1.9241793077097602]","[-0.07726759269901129,0.07668869761084363,1.1698773132063292]","[[-0.6556085626488005,-0.6131555357539996,-0.44070137457897657],[0.675307884141976,-0.7372338854612545,0.021105917260096793],[-0.3378411967141688,-0.28377189272711234,0.8974056154832164]]",,,,non_finite_or_wrong_shape,8647388,"{""internal_ok"":false,""internal_status"":""native_no_solution"",""native_return_code"":-3,""iterations"":null,""solver_function_evaluations"":null,""native_conversion_ns"":574,""native_setup_ns"":8606,""native_solve_ns"":5012444,""native_bounds"":[0.0005773502691896257,0.0005773502691896257,0.0005773502691896257,0.00503833156733364,0.00503833156733364,0.00503833156733364],""method"":""trac_task_5ms"",""q"":[1.0553777074897555,-0.06954642181667957,1.250238389752356,-0.27990444430191647,1.2944146799097758,2.887950844810127,1.9241793077097602],""finite"":true,""accepted"":false,""joint_limit_ok"":true,""velocity_ok"":true,""verification_reasons"":[""position_tolerance"",""orientation_tolerance""],""position_error"":0.0071159456362062746,""orientation_error"":0.015926583070896755,""total_latency_ns"":5220615,""conversion_ns"":3565,""bounds_setup_ns"":22607,""solve_ns"":5012444,""verification_ns"":152322,""accounting_remainder_ns"":29677,""returned_within_5ms"":false,""returned_within_20ms"":true,""accepted_within_20ms"":false,""lower"":[1.0117777074897556,-0.11314642181667955,1.206638389752356,-0.32350444430191644,1.242114679909776,2.835650844810128,1.8718793077097604],""upper"":[1.0989777074897553,-0.025946421816679572,1.2938383897523558,-0.2363044443019165,1.3467146799097756,2.9402508448101266,1.97647930770976],""seed_q"":[1.0553777074897555,-0.06954642181667957,1.250238389752356,-0.27990444430191647,1.2944146799097758,2.887950844810127,1.9241793077097602],""budget_ms"":5,""taxonomy"":""internal_failure__task_reject"",""trace_instrumented"":false,""failure_kind"":""internal_nonconvergence+position_tolerance+orientation_tolerance"",""velocity_utilization"":0.0}","[{""outer"":0,""phase"":""joint"",""phase_update"":0,""status"":""Solved"",""iterations"":14,""native_seconds"":0.001708919,""primal_residual"":1.3008453468319357e-10,""dual_residual"":2.433944220316862e-11,""build_ns"":204014,""solve_ns"":1090781,""affine_tau"":4.567597058146806,""variables"":99,""sparse_nonzeros"":1175,""updates"":688}]"
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,trajectory_17,tar_old,1,near_singular,102,"[2.0360563419994255,-0.06539686027627456,1.7754951483643535,-0.5368952952152504,1.4186730111785946,0.17447711050817122,-0.09478676477992756]","[-0.05604202970298775,-0.22751560872190718,0.9250271404969971]","[[0.5110467357904374,-0.7292783656147628,0.4549552717402005],[-0.8581530407395744,-0.4630815448243769,0.22165026846925157],[0.04903664453611699,-0.5036948960326373,-0.8624887588851864]]",,,,non_finite_or_wrong_shape,7086738,"{""internal_ok"":false,""internal_status"":""native_no_solution"",""native_return_code"":-3,""iterations"":null,""solver_function_evaluations"":null,""native_conversion_ns"":566,""native_setup_ns"":8273,""native_solve_ns"":5012622,""native_bounds"":[0.0005773502691896257,0.0005773502691896257,0.0005773502691896257,0.00503833156733364,0.00503833156733364,0.00503833156733364],""method"":""trac_task_5ms"",""q"":[2.0360563419994255,-0.06539686027627456,1.7754951483643535,-0.5368952952152504,1.4186730111785946,0.17447711050817122,-0.09478676477992756],""finite"":true,""accepted"":false,""joint_limit_ok"":true,""velocity_ok"":true,""verification_reasons"":[""position_tolerance""],""position_error"":0.002068793711908207,""orientation_error"":0.007892408495224263,""total_latency_ns"":5219078,""conversion_ns"":3490,""bounds_setup_ns"":22516,""solve_ns"":5012622,""verification_ns"":154581,""accounting_remainder_ns"":25869,""returned_within_5ms"":false,""returned_within_20ms"":true,""accepted_within_20ms"":false,""lower"":[1.9924563419994257,-0.10899686027627455,1.7318951483643537,-0.5804952952152502,1.3663730111785948,0.12217711050817123,-0.14708676477992752],""upper"":[2.079656341999425,-0.021796860276274563,1.8190951483643534,-0.49329529521525045,1.4709730111785944,0.2267771105081712,-0.04248676477992757],""seed_q"":[2.0360563419994255,-0.06539686027627456,1.7754951483643535,-0.5368952952152504,1.4186730111785946,0.17447711050817122,-0.09478676477992756],""budget_ms"":5,""taxonomy"":""internal_failure__task_reject"",""trace_instrumented"":false,""failure_kind"":""internal_nonconvergence+position_tolerance"",""velocity_utilization"":0.0}","[{""outer"":0,""status"":""MaxTime"",""iterations"":0,""native_seconds"":0.002613041,""primal_residual"":0.5666557598430402,""dual_residual"":0.3787123185519799,""build_ns"":200904,""solve_ns"":59915,""affine_tau"":-0.7793441776112291,""variables"":99,""sparse_nonzeros"":1175,""updates"":3422}]"
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,trac_task_5ms,0,near_singular,113,"[-2.1887592239281872,0.04364049138942872,2.4510796673340107,-0.5460816312138562,-2.863272681138199,2.076102613663043,-1.7423405843345712]","[0.2101951828709031,0.021021791875536586,1.1614518861885486]","[[0.34178788900162776,0.8454662657569564,-0.4103264948779187],[-0.9067247437488449,0.1818961380037802,-0.3804786906686123],[-0.24704509306076639,0.5020961944152706,0.8287750801926298]]","[-2.1887592239281872,0.04364049138942872,2.4510796673340107,-0.5460816312138562,-2.863272681138199,2.076102613663043,-1.7423405843345712]",0.002913050780156618,0.004231480639826318,internal_nonconvergence+position_tolerance,5253918,,
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,tar_old,1,near_singular,112,"[-2.0775161805982183,0.060979301408322674,2.3757648011532666,-0.5613201347152601,-2.8941260897377505,2.0740087540516594,-1.744947216985779]","[0.21099924818866234,0.017992557794831096,1.1614408546079218]","[[0.34156137241689644,0.8469392471770006,-0.40746747166361774],[-0.9063431108539755,0.18207095540760465,-0.3813034652406142],[-0.24875287793355155,0.4995438707343101,0.829805957397004]]",,,,non_finite_or_wrong_shape,7127363,"{""internal_ok"":false,""internal_status"":""native_no_solution"",""native_return_code"":-3,""iterations"":null,""solver_function_evaluations"":null,""native_conversion_ns"":581,""native_setup_ns"":8973,""native_solve_ns"":5011692,""native_bounds"":[0.0005773502691896257,0.0005773502691896257,0.0005773502691896257,0.00503833156733364,0.00503833156733364,0.00503833156733364],""method"":""trac_task_5ms"",""q"":[-2.0775161805982183,0.060979301408322674,2.3757648011532666,-0.5613201347152601,-2.8941260897377505,2.0740087540516594,-1.744947216985779],""finite"":true,""accepted"":false,""joint_limit_ok"":true,""velocity_ok"":true,""verification_reasons"":[""position_tolerance""],""position_error"":0.0027110353066351887,""orientation_error"":0.006437599616415411,""total_latency_ns"":5226246,""conversion_ns"":3593,""bounds_setup_ns"":23086,""solve_ns"":5011692,""verification_ns"":158307,""accounting_remainder_ns"":29568,""returned_within_5ms"":false,""returned_within_20ms"":true,""accepted_within_20ms"":false,""lower"":[-2.121116180598218,0.017379301408322678,2.332164801153267,-0.60492013471526,-2.8972999999999995,2.02170875405166,-1.7972472169857787],""upper"":[-2.0339161805982187,0.10457930140832265,2.4193648011532662,-0.5177201347152602,-2.841826089737751,2.1263087540516588,-1.6926472169857791],""seed_q"":[-2.0775161805982183,0.060979301408322674,2.3757648011532666,-0.5613201347152601,-2.8941260897377505,2.0740087540516594,-1.744947216985779],""budget_ms"":5,""taxonomy"":""internal_failure__task_reject"",""trace_instrumented"":false,""failure_kind"":""internal_nonconvergence+position_tolerance"",""velocity_utilization"":0.0}","[{""outer"":0,""status"":""MaxTime"",""iterations"":0,""native_seconds"":0.003404078,""primal_residual"":0.5817687787208806,""dual_residual"":0.3754422607075384,""build_ns"":212217,""solve_ns"":62454,""affine_tau"":-0.7793441776112291,""variables"":99,""sparse_nonzeros"":1175,""updates"":4579}]"
panda,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,trajectory_38,pink_qp,1,high_curvature,105,"[-0.29890812302948927,0.6501893171993048,0.15842787091403504,-0.06980000000000001,0.37630819867383475,1.0383314852110515,0.27493358057509076]","[0.5386324067017476,-0.0890863944736938,0.8244160345204308]","[[0.91949543392027,-0.13962573615186571,0.36746809494679145],[-0.27315610011680863,-0.8991820107761838,0.34184419911046454],[0.28269045256030595,-0.4147003319272225,-0.86493337473513]]","[-0.29677849720720634,0.6322722729599511,0.11482787091403505,-0.06980000000000001,0.4139754548757427,1.03909267198161,0.2798914939718913]",0.001411975557762603,0.014032338823747612,position_tolerance+orientation_tolerance,853840,,solved
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,trajectory_17,pink_qp,0,near_singular,122,"[2.8972999999999995,0.2208501889085296,1.71267687290282,-0.6933050514508895,0.8237396789143764,0.3642165226420566,0.10348506575471131]","[-0.06365257251620854,-0.26256401938349483,0.9061759282087597]","[[0.5560616649394297,-0.6796655486174742,0.47838286633960614],[-0.8306996908455809,-0.4357232051395866,0.3465303913539789],[-0.02708225274687437,-0.5900847655425395,-0.8068869320175911]]","[2.8972999999999995,0.24092726647793833,1.7562768729028198,-0.7068710601948309,0.7938662328714136,0.37838831385312666,0.11901884516860067]",0.0010549523841012337,0.008031829089156796,position_tolerance,805037,,solved
