robot,method,subset,frames,initialization_mean_ms,initialization_median_ms,fixed_current_mean_ms,fixed_current_median_ms,joint_update_mean_ms,joint_update_median_ms,fk_check_mean_ms,fk_check_median_ms,backup_mean_ms,outer_mean_ms,outer_median_ms,fixed_updates_mean,joint_updates_mean
panda,tar_corrected,all,18000,0.21453162172222223,0.210419,0.12640432144444444,0.0,0.03019327511111111,0.0,3.0530936202777776,2.991049,0.3887643186111111,3.9822921677222225,3.5925865,0.16027777777777777,0.03861111111111111
panda,tar_corrected,exact_zero_return,17329,0.2140667550926193,0.210172,0.1252621291476715,0.0,0.0,0.0,3.0949750327197183,2.992264,0.2369757985457903,3.8400343065958795,3.589389,0.1562698366899417,0.0
panda,tar_corrected,not_exact_zero_return,671,0.22653709687034276,0.223991,0.1559021609538003,0.0,0.8099537287630403,0.828839,1.9714796169895679,1.460308,4.3087989895678085,7.656191535022355,7.890024,0.2637853949329359,1.0357675111773472
panda,tar_old,all,18000,,,0.0,0.0,0.7114045075555555,0.7424125,3.0036898879444447,2.947962,0.3812092749444444,4.290636085666667,4.3919105,0.0,1.639888888888889
panda,tar_old,not_exact_zero_return,18000,,,0.0,0.0,0.7114045075555555,0.7424125,3.0036898879444447,2.947962,0.3812092749444444,4.290636085666667,4.3919105,0.0,1.639888888888889
ur5e,tar_corrected,all,18000,0.20666870122222222,0.204426,0.18786150438888888,0.0,0.014357080333333333,0.0,2.8510874893333336,2.743643,0.30836598322222225,3.7348907625,3.3304595,0.31166666666666665,0.034388888888888886
ur5e,tar_corrected,exact_zero_return,17421,0.2064156517421503,0.204319,0.18421726835428506,0.0,0.0,0.0,2.859291110728431,2.743646,0.22442407588542565,3.640177201538373,3.326285,0.2956202284599047,0.0
ur5e,tar_corrected,not_exact_zero_return,579,0.21428247495682212,0.210813,0.2975095803108809,0.0,0.44633410362694304,0.363425,2.604256248704663,1.712613,2.8340170500863557,6.584640236614853,7.18511,0.7944732297063903,1.069084628670121
ur5e,tar_old,all,18000,,,0.0,0.0,0.7202403680555555,0.7047075,2.800548084722222,2.737032,0.2754098955555555,3.983695400611111,4.0833905,0.0,1.7381111111111112
ur5e,tar_old,not_exact_zero_return,18000,,,0.0,0.0,0.7202403680555555,0.7047075,2.800548084722222,2.737032,0.2754098955555555,3.983695400611111,4.0833905,0.0,1.7381111111111112
