robot,method,baseline,metric,difference,difference_ci,ratio,ratio_ci
panda,tar_corrected,tar_old,completion,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,tar_corrected,tar_old,deadline_completion,-2.7755575615628915e-18,"[-0.04166666666666667,0.04166666666666667]",1.0,"[0.9494949494949495,1.0510335577529981]"
panda,tar_corrected,tar_old,total_latency_ns,-46251587.69166668,"[-64250345.28083335,-28744379.592083324]",0.9281356163076845,"[0.90091358238068,0.9548537444367731]"
panda,tar_corrected,tar_old,frame_success,-0.001555555555555553,"[-0.004277777777777774,0.00038888888888888724]",0.9983994512404254,"[0.9955703848587699,1.0003989058582174]"
panda,tar_corrected,tar_old,acceleration_rms,-0.5135771678902403,"[-1.3911088956562772,0.2462858740992687]",0.9049939968266627,"[0.7644247520821091,1.0463972775197687]"
panda,tar_corrected,tar_old,successful_prefix,-0.2083333333333332,"[-0.6166666666666671,0.058750000000002446]",0.998570611778159,"[0.9957414973815961,1.0004096017534494]"
panda,tar_corrected,trac_task_5ms,completion,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,tar_corrected,trac_task_5ms,deadline_completion,-0.025,"[-0.05833333333333335,0.008333333333333335]",0.9724770642201834,"[0.9306930693069306,1.009259259259259]"
panda,tar_corrected,trac_task_5ms,total_latency_ns,548912690.925,"[541213493.2422917,557211108.953125]",12.333880562871558,"[8.55689496490784,18.967341470419672]"
panda,tar_corrected,trac_task_5ms,frame_success,-0.0021111111111111053,"[-0.006390277777777772,0.00027777777777777957]",0.9978290676416819,"[0.9933899367485327,1.0002869769844458]"
panda,tar_corrected,trac_task_5ms,acceleration_rms,0.8512139255861069,"[0.5655938487883877,1.1587194921813795]",1.2106473601783787,"[1.132923756224813,1.309546691176565]"
panda,tar_corrected,trac_task_5ms,successful_prefix,-0.31666666666666676,"[-0.9833333333333336,0.05000000000000036]",0.9978289436096669,"[0.9932265656391712,1.0003470819708304]"
panda,tar_corrected,pink_qp,completion,-0.008333333333333335,"[-0.075,0.05833333333333333]",0.9909909909909911,"[0.918918918918919,1.0666666666666664]"
panda,tar_corrected,pink_qp,deadline_completion,-0.04166666666666667,"[-0.11666666666666667,0.03333333333333333]",0.9549549549549549,"[0.8761904761904761,1.038095238095238]"
panda,tar_corrected,pink_qp,total_latency_ns,458865173.4,"[439421860.4972917,480821067.50374997]",4.313616702455991,"[4.137245357527087,4.520698886623336]"
panda,tar_corrected,pink_qp,frame_success,-0.012833333333333325,"[-0.04427777777777777,0.01311111111111112]",0.986946940159349,"[0.9550623057868176,1.0135995868479943]"
panda,tar_corrected,pink_qp,acceleration_rms,0.6877079448038109,"[-0.6535425441000439,2.0823566494153094]",1.1635667329460366,"[0.8727885957356655,1.6245844309685578]"
panda,tar_corrected,pink_qp,successful_prefix,-1.9333333333333331,"[-6.658333333333334,1.9416666666666664]",0.9868904334067922,"[0.9550043618492619,1.0135002027927458]"
ur5e,tar_corrected,tar_old,completion,-0.008333333333333331,"[-0.03333333333333333,0.01666666666666667]",0.9914529914529916,"[0.9649122807017543,1.017241379310345]"
ur5e,tar_corrected,tar_old,deadline_completion,-0.03333333333333334,"[-0.075,0.008333333333333335]",0.9655172413793103,"[0.9217391304347824,1.0086206896551724]"
ur5e,tar_corrected,tar_old,total_latency_ns,-37320695.71666666,"[-54055624.63083333,-19853760.71854166]",0.9375442615233727,"[0.9105793841864211,0.9665068662247429]"
ur5e,tar_corrected,tar_old,frame_success,-0.005777777777777779,"[-0.02127777777777778,0.0045555555555555575]",0.9941622228459164,"[0.9782608695652174,1.004576403616475]"
ur5e,tar_corrected,tar_old,acceleration_rms,0.12642229889266135,"[-0.6883795484700431,1.0724034481083509]",1.0103679269572103,"[0.9419922995519387,1.0888598408061465]"
ur5e,tar_corrected,tar_old,successful_prefix,-0.5916666666666661,"[-3.012291666666664,1.2583333333333342]",0.9960071982904058,"[0.9793367663944408,1.0085990888382688]"
ur5e,tar_corrected,trac_task_5ms,completion,-0.008333333333333335,"[-0.05,0.025]",0.9914529914529916,"[0.95,1.027027027027027]"
ur5e,tar_corrected,trac_task_5ms,deadline_completion,-0.025000000000000005,"[-0.08333333333333334,0.025]",0.973913043478261,"[0.9159663865546218,1.027027027027027]"
ur5e,tar_corrected,trac_task_5ms,total_latency_ns,531478075.7,"[514976356.39270836,551729617.7537501]",19.482633266128513,"[15.780610090806912,22.710055531010806]"
ur5e,tar_corrected,trac_task_5ms,frame_success,-0.011833333333333338,"[-0.03966666666666667,0.0041666666666666605]",0.9881164918544967,"[0.9603333333333332,1.0042201215395001]"
ur5e,tar_corrected,trac_task_5ms,acceleration_rms,1.865597439346844,"[0.8393447069159625,2.903817705749276]",1.1784506001439872,"[1.06931548950685,1.3345916489774785]"
