robot,uid,site_id,family,method,known_zero,zero_all_repeats,exact_changed_any,meaningful_changed_any,objective_max,tau_max,max_change_rad,numerical_mean_ms,reconstructed_outer_mean_ms
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trajectory_06,smooth,tar_old,True,False,True,False,3.38807403624222e-20,0,9.383382959526898e-12,5.290491333333333,5.491465333333333
panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,trajectory_24,joint_limit_return,tar_old,True,False,True,False,1.038466794444677e-18,0,4.848632606524461e-11,5.153861666666667,5.422237666666667
panda,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,trajectory_22,joint_limit_return,tar_old,True,False,True,False,2.7202058979940297e-19,0,2.102917839863494e-11,5.247184666666667,5.445470666666667
panda,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,trajectory_29,joint_limit_return,tar_old,True,False,True,False,3.0729560634601693e-20,0,1.1109335673609166e-11,5.237564333333333,5.411904333333333
panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,trajectory_15,near_singular,tar_old,True,False,True,False,7.316782019836394e-20,0,1.1886269746241851e-11,5.148728,5.328757
panda,380513eac133b886f7e375e39250059ba16f3133d3a5d3b8ff244470af2eb5ae,trajectory_39,high_curvature,tar_old,True,False,True,False,1.961402476228509e-19,0,1.612820987872965e-11,5.208714333333333,5.395525333333333
panda,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,trajectory_16,near_singular,tar_old,True,False,True,False,3.7590520814810154e-20,0,8.477218926827845e-12,5.151943666666667,5.336709666666667
panda,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,trajectory_28,joint_limit_return,tar_old,True,False,True,False,2.1347766359383534e-19,0,2.3634150192464176e-11,5.248083666666667,5.418984666666667
panda,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,trajectory_13,near_singular,tar_old,True,False,True,False,1.4713326106311812e-19,0,1.8563373060942467e-11,5.214569666666667,5.395016666666667
panda,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,trajectory_21,joint_limit_return,tar_old,True,False,True,False,4.3520280211897314e-20,0,1.3211876037644288e-11,5.995767333333333,6.195645333333333
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,tar_old,True,False,True,False,6.925576130387265e-20,0,1.1306955371992444e-11,5.223892,5.475035
panda,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,trajectory_10,near_singular,tar_old,True,False,True,False,1.1940923514267207e-19,0,1.5485945858983996e-11,5.226715,5.986046
panda,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,trajectory_20,joint_limit_return,tar_old,True,False,True,False,3.5565837884350117e-19,0,2.6939506181378192e-11,5.221795,5.403137
panda,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,trajectory_27,joint_limit_return,tar_old,True,False,True,False,3.9920333803091546e-19,0,2.756039840789981e-11,5.174822,5.353998
panda,6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,trajectory_09,smooth,tar_old,True,False,True,False,4.563633842080985e-19,0,2.446423619240079e-11,5.184533666666667,5.398900666666667
panda,6f61a4f090c2631561aee85944d25bbb3ec9ae75f330ddc67dd8f755fa60ea51,trajectory_25,joint_limit_return,tar_old,True,False,True,False,1.7079775361451411e-19,0,1.8736567852783992e-11,5.175635333333333,5.429046333333333
panda,703e80ee1a10cacc408a225bf4b9b1d1a8b7cd7c18ef82408fe61c8b6b1a1fa4,trajectory_23,joint_limit_return,tar_old,True,False,True,False,1.6215530809335136e-19,0,1.8395507339619144e-11,5.133557333333333,5.339264333333333
panda,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,trajectory_38,high_curvature,tar_old,True,False,True,False,1.8484655262503947e-19,0,2.3645141400407965e-11,5.193289333333333,5.373735333333333
panda,8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,trajectory_33,high_curvature,tar_old,True,False,True,False,3.7007087964242605e-20,0,8.537809348396763e-12,5.250424333333333,5.544105333333333
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trajectory_05,smooth,tar_old,True,False,True,False,7.350631913116086e-19,0,3.7283898191020626e-11,5.312604666666667,5.500625666666667
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_old,True,False,True,False,7.991785590029336e-19,0,4.3606673827412124e-11,5.135405333333333,5.311479333333333
panda,9a94337fb5b3319c8ba9dcce20e827630b16d9a348f1f3aa8709c5d0df3406af,trajectory_19,near_singular,tar_old,True,False,True,False,1.2679441943309623e-19,0,1.9259316363928747e-11,5.184809666666667,5.373718666666667
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,tar_old,True,False,True,False,3.364536423240048e-20,0,7.815970093361102e-12,5.236227,5.439
panda,a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,trajectory_08,smooth,tar_old,True,False,True,False,1.0637270165186476e-19,0,1.3758105765759865e-11,5.156247666666667,5.431580666666667
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,trajectory_26,joint_limit_return,tar_old,False,False,False,False,,,0,2.6727093333333336,7.945750333333333
panda,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,trajectory_31,high_curvature,tar_old,True,False,True,False,3.486982134315521e-20,0,7.405243085401025e-12,5.318588333333333,5.618142333333333
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,smooth,tar_old,True,False,True,False,3.358673532073521e-20,0,6.093014981445322e-12,5.519005,5.712922
panda,bb2d7133de7083285ff7ede00b959e62fc3bf5dc626bfa521b77361d0f3f759e,trajectory_34,high_curvature,tar_old,True,False,True,False,2.0417197525481402e-20,0,5.318634421769275e-12,5.383604333333333,5.662328333333333
panda,c27c85dfc1ac902402f2c27d5ecd007325d528654413acef4dab0af30af48583,trajectory_37,high_curvature,tar_old,True,False,True,False,1.1167189944996333e-20,0,5.657918578094723e-12,5.332793666666667,5.517558666666667
panda,c99e2c9b46eb1858a0dd2f525833e49b6f0b7c25001781f1b00044934372d935,trajectory_18,near_singular,tar_old,True,False,True,False,1.8903746306182046e-19,0,1.5584422641268247e-11,5.181231333333333,5.367178333333333
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,trajectory_17,near_singular,tar_old,True,False,True,False,7.074772014913302e-20,0,1.2676582006321269e-11,5.164431,5.342088
panda,cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,trajectory_07,smooth,tar_old,True,False,True,False,2.23590881262485e-20,0,6.61415366920437e-12,5.249617,5.525797
panda,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,trajectory_11,near_singular,tar_old,True,False,True,False,4.7787101951366765e-20,0,1.070743493869486e-11,5.185581,5.400648
panda,e7257c22abc9d850802582540365f4bc972868280e40708e45700776b6ad2aca,trajectory_35,high_curvature,tar_old,True,False,True,False,4.340500318506965e-20,0,8.520073535578376e-12,5.427833,5.614444
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_old,True,False,True,False,2.6474231096295263e-20,0,8.5087492607272e-12,5.278589666666667,5.470802666666667
panda,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,trajectory_12,near_singular,tar_old,True,False,True,False,3.0026471380671117e-16,0,8.153139274824639e-10,5.171181333333333,5.888390333333333
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_old,True,False,True,False,1.1553825686866392e-19,0,1.2572609620065123e-11,5.129503,5.447335
