robot,method,uid,site_id,family,repeats,completion,deadline_completion,total_latency_ns,frame_success,acceleration_rms,successful_prefix
panda,tar_old,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trajectory_06,smooth,3,1.0,1.0,706289701.3333334,1.0,2.483156859172766,150.0
panda,tar_old,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,trajectory_24,joint_limit_return,3,1.0,1.0,589112871.6666666,1.0,2.07897090300022,150.0
panda,tar_old,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,trajectory_22,joint_limit_return,3,1.0,1.0,530775425.0,1.0,2.322523496985885,150.0
panda,tar_old,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,trajectory_29,joint_limit_return,3,1.0,1.0,638740930.6666666,1.0,2.893279459163768,150.0
panda,tar_old,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,trajectory_15,near_singular,3,1.0,1.0,731593137.0,1.0,4.601613543127811,150.0
panda,tar_old,380513eac133b886f7e375e39250059ba16f3133d3a5d3b8ff244470af2eb5ae,trajectory_39,high_curvature,3,1.0,1.0,556849403.3333334,1.0,5.9854789706794564,150.0
panda,tar_old,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,trajectory_16,near_singular,3,1.0,1.0,561752759.3333334,1.0,16.815189115847872,150.0
panda,tar_old,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,trajectory_28,joint_limit_return,3,1.0,1.0,644759046.6666666,1.0,2.3455376807794726,150.0
panda,tar_old,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,trajectory_13,near_singular,3,1.0,0.6666666666666666,682658682.6666666,1.0,5.021539690973699,150.0
panda,tar_old,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,trajectory_21,joint_limit_return,3,1.0,1.0,742952815.3333334,1.0,1.948192472474905,150.0
panda,tar_old,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,3,0.0,0.0,732551362.3333334,0.7533333333333334,6.375644321686575,113.0
panda,tar_old,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,trajectory_10,near_singular,3,1.0,1.0,674615722.3333334,1.0,10.571204161761491,150.0
panda,tar_old,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,trajectory_20,joint_limit_return,3,1.0,1.0,561434912.3333334,1.0,1.276438322217632,150.0
panda,tar_old,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,trajectory_27,joint_limit_return,3,1.0,1.0,605884657.6666666,1.0,1.9407500294102622,150.0
panda,tar_old,6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,trajectory_09,smooth,3,1.0,1.0,700978130.3333334,1.0,1.2711338362548263,150.0
panda,tar_old,6f61a4f090c2631561aee85944d25bbb3ec9ae75f330ddc67dd8f755fa60ea51,trajectory_25,joint_limit_return,3,1.0,1.0,696400221.6666666,1.0,1.7223710348183807,150.0
