robot,uid,site_id,family,method,fixed_updates,repeat,known_zero,zero_found,objective,tau,accepted,changed_exact,max_change_rad,numerical_ns,saved_backup_ns,reconstructed_outer_ns,fixed_actual_updates,joint_actual_updates,zero_found_stage,numerical_phase_times_ns
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,smooth,tar_corrected,2,0,True,True,0.0,0.0,True,False,0.0,3757775,193917,3951692,0,0,initialization,"{""initialization_ns"":373537,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":3048738}"
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,smooth,tar_old,0,2,True,False,3.3586734712466497e-20,0.0,True,True,6.093014981445322e-12,5738413,193917,5932330,0,2,,
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,smooth,tar_corrected,2,1,True,True,0.0,0.0,True,False,0.0,3403020,193917,3596937,0,0,initialization,"{""initialization_ns"":213330,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":3019687}"
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,smooth,tar_corrected,6,1,True,True,0.0,0.0,True,False,0.0,8296435,193917,8490352,0,0,initialization,"{""initialization_ns"":218643,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":7883185}"
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,smooth,tar_corrected,6,2,True,True,0.0,0.0,True,False,0.0,6676515,193917,6870432,0,0,initialization,"{""initialization_ns"":499245,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":5763412}"
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,smooth,tar_corrected,4,2,True,True,0.0,0.0,True,False,0.0,3868062,193917,4061979,0,0,initialization,"{""initialization_ns"":300837,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":3298480}"
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,smooth,tar_corrected,6,0,True,True,0.0,0.0,True,False,0.0,3310657,193917,3504574,0,0,initialization,"{""initialization_ns"":198740,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2935387}"
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,smooth,tar_corrected,4,1,True,True,0.0,0.0,True,False,0.0,3340445,193917,3534362,0,0,initialization,"{""initialization_ns"":203017,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2972194}"
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,smooth,tar_old,0,1,True,False,3.358673532073521e-20,0.0,True,True,6.093014981445322e-12,5471824,193917,5665741,0,2,,
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,smooth,tar_corrected,2,2,True,True,0.0,0.0,True,False,0.0,3407457,193917,3601374,0,0,initialization,"{""initialization_ns"":211067,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":3022018}"
