robot,uid,site_id,family,anchor_accepted,known_zero,status,nodes_available,online_objective,online_tau,changed_exact,max_change_rad,normalized_intervention,zero_gap,gap_above_old_comparison_tolerance,source_input_hash,source_witness_hash
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,smooth,True,True,witness_confirmed_zero,13,3.3586734712466497e-20,0.0,True,6.093014981445322e-12,2.5917845092702633e-10,3.3586734712466497e-20,False,01177a57e66391e98d6630f9c97c0213868732705ec4c319a9862f19e718ef7f,6857a18a6529a3a97a28bdb99e9d697d5f99dc9688a290d264ab9eda3f2256f0
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,True,True,witness_confirmed_zero,13,3.364536423240048e-20,0.0,True,7.815970093361102e-12,2.5940456523508015e-10,3.364536423240048e-20,False,767fea293d4c07842fb039e3334a38b4b8d2feb917bd1d3cc7d3a73e2c46925c,efef1b3be19639e4f462e899d7369588ba41a94553cc19dafdff6b821bdad69f
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,True,True,witness_confirmed_zero,13,7.991785590029336e-19,0.0,True,4.3606673827412124e-11,1.2642614911504136e-09,7.991785590029336e-19,False,5a714a21cb95a9e1e89c392205fe03447a8c0e169c5e0aff20b89e36c220d8e7,f4a77ccc54ecef1f74457b7078aaacf18a1ff00fbec79a1e7f56062f5d93e2ef
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,True,True,witness_confirmed_zero,13,2.6474231096295263e-20,0.0,True,8.5087492607272e-12,2.3010532847500626e-10,2.6474231096295263e-20,False,91604440f0a82649f67d7a36131fc3bf4fa95b60d7d618a83f1fb22d226e5352,8ab7ab0b9053711e58995b8cb20e98a6cd20beb9f793b6f46e7aaa93cdeda1a4
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,True,True,witness_confirmed_zero,13,1.1553825686866392e-19,0.0,True,1.2572609620065123e-11,4.807041852712828e-10,1.1553825686866392e-19,False,0f69c5c5e56514b0bfe7f8bb2b3d5e66f7081bf93b3616ebd703af14c19737ea,2600d4b5c8b2157d7173845446335fc761c2abda18a0562dbe553a82b253e189
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trajectory_05,smooth,True,True,witness_confirmed_zero,13,7.350631913116086e-19,0.0,True,3.7283898191020626e-11,1.2124876834934106e-09,7.350631913116086e-19,False,37d74aabe7d0c45e7f2a2a49d73147888012c5a534f39a22186fba4759c7de68,6749aff50447cafcd2dbf2d193217313e8ae44a111793a96b8c291af76c0fe50
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trajectory_06,smooth,True,True,witness_confirmed_zero,13,3.38807403624222e-20,0.0,True,9.383382959526898e-12,2.603103546247141e-10,3.38807403624222e-20,False,b6223aa9d8ccb1b79af43afcf4494ac32b016c8528d7a371e3fdbc30ce87b6cd,308500ac6a5dc00fd54744e72ad16b06f63092a96760436dfb175c869349dc04
panda,cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,trajectory_07,smooth,True,True,witness_confirmed_zero,13,2.23590881262485e-20,0.0,True,6.61415366920437e-12,2.114667261119276e-10,2.23590881262485e-20,False,6b70159e65a85e1425f772180046a7ac5a3664547894c3b2bf68cf1de9c86a6e,4924a0b4fa8a984982eaa012ec2b3e2efa4cb6aeeaccee42ef24a8566c373c95
panda,a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,trajectory_08,smooth,True,True,witness_confirmed_zero,13,1.0637270165186476e-19,0.0,True,1.3758105765759865e-11,4.612433233161533e-10,1.0637270165186476e-19,False,8eddbd41189ffc8fe2106f65ec600bb753c78430b65a5711fbae0df5c5716b70,bb6a8af8ac73d9edc660c4fad801829daedaeabb329c329a0e345c619de010ec
panda,6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,trajectory_09,smooth,True,True,witness_confirmed_zero,13,4.563633842080985e-19,0.0,True,2.446423619240079e-11,9.55367347367596e-10,4.563633842080985e-19,False,7c614256aa3bedbedf6b1a2a05ec515319545ce9a3649112c1a9befdce8c5c1b,2c5a09c4e54c73a1b4fc543f65c71873b783d1cd353f18391f2d22daa03b60cf
