robot,method,subset,trials,mean_affine_tau,mean_actual_tau,mean_absolute_discrepancy,p95_absolute_discrepancy,maximum_absolute_discrepancy,affine_zero_actual_positive
panda,tar_free,all_trials,76912,4.7256696353960255,4.704279415612307,0.04918475356022183,0.03757870753276051,16.256255065495125,12
panda,tar_free,adopted,14307,2.335554857556995,2.3357782251460506,0.00043269206241419326,0.0009990699036651826,0.23829557753958897,4
panda,tar_fixed,all_trials,66220,1.9345389677078098,3.6749264473823056,1.7413827609792725,2.060377985068518,1457.9055195413102,2116
panda,tar_fixed,adopted,14432,0.1588573918957811,0.16217188927320142,0.003326804099366143,0.0,1.3051345255412716,122
panda,tar_nominal,all_trials,70492,2.4974259062103226,2.5550694372213774,0.08681305935073169,0.015451816404889483,36.2733348793518,337
panda,tar_nominal,adopted,19622,1.9298601175513448,1.9314055035181983,0.0025096311484137856,0.006802939513010612,1.071673527328922,74
ur5e,tar_free,all_trials,78882,2.235769805217946,2.2374437109692016,0.005763278349471672,0.02695639722207626,0.9810431803986273,40
ur5e,tar_free,adopted,19165,2.0094301554450467,2.0095595626072065,0.000569086459741612,0.0014867456137176633,0.3816218299220142,13
ur5e,tar_fixed,all_trials,71165,3.827120747617137,13.000655806569762,9.177686638484094,8.517472891280057,1754.87192202028,3673
ur5e,tar_fixed,adopted,12364,2.1124282456293857,2.122548435893876,0.010133500171101732,0.05262735602430419,1.0951008426448592,93
ur5e,tar_nominal,all_trials,72163,2.83913024868713,2.90457088851673,0.07430484976768396,0.011537674118637426,44.932692609813394,194
ur5e,tar_nominal,adopted,20280,2.044002143155315,2.0441080696751355,0.0009687149703421802,0.005357777731373625,0.08840279307478482,8
