robot,uid,method,repeat,family,frame,previous_q,target_position,target_rotation,q,position_error,orientation_error,failure_kind,total_latency_ns
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trac_task_20ms,1,near_singular,115,"[-2.1777360290118764,0.04922465356973456,2.4754174080915905,-0.556371663199874,-2.892652192295247,2.0616980002371594,-1.7478728430536608]","[0.20861375575358249,0.026903607247617728,1.1614330491751486]","[[0.34229102437705455,0.8425791812818971,-0.41580906423650105],[-0.9074290555980031,0.18164137962248073,-0.3789180891239665],[-0.24374036121952192,0.507017487350456,0.8267550446374108]]","[-2.1777360290118764,0.04922465356973456,2.4754174080915905,-0.556371663199874,-2.892652192295247,2.0616980002371594,-1.7478728430536608]",0.0028194141051995623,0.0037137856103122246,internal_nonconvergence+position_tolerance,20275908
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trac_task_5ms,0,near_singular,115,"[-2.1582761149063154,0.05122880454847949,2.461895642760048,-0.5582552116720377,-2.8972818628941726,2.060192687041877,-1.7559175684665664]","[0.20861375575358249,0.026903607247617728,1.1614330491751486]","[[0.34229102437705455,0.8425791812818971,-0.41580906423650105],[-0.9074290555980031,0.18164137962248073,-0.3789180891239665],[-0.24374036121952192,0.507017487350456,0.8267550446374108]]","[-2.1582761149063154,0.05122880454847949,2.461895642760048,-0.5582552116720377,-2.8972818628941726,2.060192687041877,-1.7559175684665664]",0.0028516565518284217,0.0053347909235294194,internal_nonconvergence+position_tolerance,5203252
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,trac_task_5ms,0,joint_limit_return,74,"[-1.2276935238994304,0.5469913959315978,0.29130643850930327,-0.9645707950288221,2.896442866349009,2.7805231895803066,0.4743551554602824]","[0.3569148782906584,-0.6533742062748258,0.6344994544290563]","[[0.5203477485650665,0.6856813383513327,0.5089983524531209],[-0.12868594654447588,0.6522038563142368,-0.7470408670017928],[-0.8442026698164478,0.32322009845546956,0.4276103602921915]]","[-1.2276935238994304,0.5469913959315978,0.29130643850930327,-0.9645707950288221,2.896442866349009,2.7805231895803066,0.4743551554602824]",0.01332451384978237,0.023708013989819445,internal_nonconvergence+position_tolerance+orientation_tolerance,5226407
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trac_task_5ms,2,near_singular,114,"[-2.1650076601793993,0.05509869220395743,2.4622712231626616,-0.5631434499789119,-2.8951132312559675,2.061251462415889,-1.7436954835049938]","[0.2093997000375418,0.023992813196638395,1.161449008205382]","[[0.34203163240143825,0.8440123545533905,-0.41310713840122565],[-0.9070865282734593,0.18175357540054604,-0.3796836420678684],[-0.24537398529919738,0.5045877358699475,0.8277577086007893]]","[-2.1650076601793993,0.05509869220395743,2.4622712231626616,-0.5631434499789119,-2.8951132312559675,2.061251462415889,-1.7436954835049938]",0.0031515316692470392,0.004862638596958742,internal_nonconvergence+position_tolerance,5224849
panda,9a94337fb5b3319c8ba9dcce20e827630b16d9a348f1f3aa8709c5d0df3406af,tar_free,0,near_singular,103,"[0.6997256973829027,-0.031003369949977596,-1.4680797462002872,-0.4020317670468863,1.1332170761962415,1.9598217599763554,-0.24117137673575137]","[0.19139148111699547,-0.13262753691101692,1.13732850773617]","[[-0.17695378338125634,0.2872988901746642,0.9413536563117315],[-0.18875344529491678,-0.9485997388356097,0.2540288809767745],[0.9659500481061939,-0.13273237429285922,0.22208696805130665]]",,,,non_finite_or_wrong_shape,13014761
panda,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,tar_free,2,near_singular,97,"[0.806434767260549,-0.16848865279030523,1.2055942674257127,-0.2383072452615358,1.5971370248887795,2.8315503512487097,1.8785265569170946]","[-0.10767653332355281,0.028146647630154564,1.169001223425841]","[[-0.6255444615242494,-0.6130684140090116,-0.4825362643375235],[0.718319265299722,-0.6939478146464421,-0.049536488033520266],[-0.3044857299703957,-0.37760237061213314,0.8744740647683571]]",,,,non_finite_or_wrong_shape,7981879
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,pink_qp,2,near_singular,122,"[-2.580960908165891,0.045225535505242616,2.8972999999999995,-0.5738462902928353,-2.8972999999999995,2.0299278701804253,-1.7646994928786397]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.578042024040462,0.036008619969428904,2.8972999999999995,-0.5589157909530367,-2.8972999999999995,2.0324139277175353,-1.7685271154541125]",0.0012992839328331773,0.004631253155571994,position_tolerance,821880
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,tar_free,0,near_singular,98,"[2.241162246536177,0.02349809610804964,1.8109601347706512,-0.5481657823710333,1.1543258487876251,0.24972454638122046,-0.1090336639551179]","[-0.055278162469728824,-0.2186246989155838,0.929278974894687]","[[0.5001065560376069,-0.7404641137967126,0.4490059340225393],[-0.8631322033089802,-0.46812737217694433,0.18936621406600915],[0.0699730821043997,-0.48225476627811315,-0.8732319898989347]]",,,,non_finite_or_wrong_shape,7146380
panda,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,pink_qp,1,high_curvature,105,"[-0.29890812302948927,0.6501893171993048,0.15842787091403504,-0.06980000000000001,0.37630819867383475,1.0383314852110515,0.27493358057509076]","[0.5386324067017476,-0.0890863944736938,0.8244160345204308]","[[0.91949543392027,-0.13962573615186571,0.36746809494679145],[-0.27315610011680863,-0.8991820107761838,0.34184419911046454],[0.28269045256030595,-0.4147003319272225,-0.86493337473513]]","[-0.29677849720720634,0.6322722729599511,0.11482787091403505,-0.06980000000000001,0.4139754548757427,1.03909267198161,0.2798914939718913]",0.001411975557762603,0.014032338823747612,position_tolerance+orientation_tolerance,880053
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,tar_free,0,joint_limit_return,72,"[-1.1388369850553188,0.5316919198964162,0.20714633997190846,-0.9595224519226077,2.8962108121099392,2.7918991248794067,0.5300653601452568]","[0.37719423030748733,-0.6378831642217682,0.6422111927532251]","[[0.5275670504201451,0.6604035474662989,0.534359580998522],[-0.10416908689423132,0.6745619459455053,-0.7308317059472961],[-0.8431024900014291,0.3298989778343376,0.424670290669419]]",,,,non_finite_or_wrong_shape,7047672
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,tar_free,0,near_singular,113,"[-2.107512308427661,0.05799773694963933,2.407142232925625,-0.5607790938940126,-2.895139151170139,2.0705713746366023,-1.7458913238459548]","[0.2101951828709031,0.021021791875536586,1.1614518861885486]","[[0.34178788900162776,0.8454662657569564,-0.4103264948779187],[-0.9067247437488449,0.1818961380037802,-0.3804786906686123],[-0.24704509306076639,0.5020961944152706,0.8287750801926298]]",,,,non_finite_or_wrong_shape,7142388
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,tar_fixed,0,near_singular,116,"[-2.2293194921785178,0.050247888764729035,2.53344814270344,-0.562389979201974,-2.8967913354311157,2.0539758240852697,-1.749017035887157]","[0.2078383010560931,0.029752205632880856,1.161404853321239]","[[0.34256448017927554,0.841168384015161,-0.418431985695197],[-0.9077529242242963,0.18155765964538945,-0.378181761572829],[-0.2421450092026304,0.5093844971702727,0.8257682656537767]]",,,,non_finite_or_wrong_shape,7581966
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,pink_qp,1,near_singular,122,"[-2.580960908165891,0.045225535505242616,2.8972999999999995,-0.5738462902928353,-2.8972999999999995,2.0299278701804253,-1.7646994928786397]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.578042024040462,0.036008619969428904,2.8972999999999995,-0.5589157909530367,-2.8972999999999995,2.0324139277175353,-1.7685271154541125]",0.0012992839328331773,0.004631253155571994,position_tolerance,813825
