robot,method,baseline,metric,difference,difference_ci,ratio,ratio_ci
panda,tar_free,trac_task_5ms,completion,-0.04166666666666667,"[-0.1,0.008333333333333331]",0.9545454545454545,"[0.8962120590648073,1.009259259259259]"
panda,tar_free,trac_task_5ms,deadline_completion,-0.058333333333333334,"[-0.125,0.008333333333333331]",0.9351851851851851,"[0.8623853211009175,1.0093457943925235]"
panda,tar_free,trac_task_5ms,total_latency_ns,617788676.6583334,"[598349146.8520832,636893540.1014583]",13.578948597659974,"[9.368489163139621,21.033250540789076]"
panda,tar_free,trac_task_5ms,frame_success,-0.015777777777777786,"[-0.03266666666666668,-0.0008888888888888932]",0.983788103664802,"[0.966185506038741,0.9990829552768233]"
panda,tar_free,trac_task_5ms,acceleration_rms,1.369728368750104,"[0.6396640596439971,2.128469353452649]",1.3299625360007288,"[1.1347630503811132,1.591603894212507]"
panda,tar_free,trac_task_20ms,completion,-0.058333333333333334,"[-0.11666666666666667,-2.7755575615628915e-18]",0.9374999999999999,"[0.8728813559322034,1.0]"
panda,tar_free,trac_task_20ms,deadline_completion,-0.08333333333333334,"[-0.15833333333333335,-0.01666666666666667]",0.9099099099099098,"[0.8318584070796461,0.9819819819819818]"
panda,tar_free,trac_task_20ms,total_latency_ns,578699098.1,"[516878399.1572916,630122760.3004167]",7.5610296992578006,"[4.290709014804105,23.22191004827762]"
panda,tar_free,trac_task_20ms,frame_success,-0.022944444444444448,"[-0.044444444444444446,-0.004941666666666653]",0.9765965886552956,"[0.9546125002382353,0.994984608453811]"
panda,tar_free,trac_task_20ms,acceleration_rms,1.3225887991692615,"[0.6061498140719032,2.0711156309223937]",1.3150293919418647,"[1.1287044284879153,1.5664789172807558]"
panda,tar_free,pink_qp,completion,-0.05,"[-0.14166666666666666,0.03333333333333333]",0.9459459459459459,"[0.8558269808269807,1.0404040404040402]"
panda,tar_free,pink_qp,deadline_completion,-0.08333333333333334,"[-0.18333333333333335,0.008333333333333328]",0.9099099099099098,"[0.8119658119658119,1.0095238095238095]"
panda,tar_free,pink_qp,total_latency_ns,527237329.9166667,"[509628053.2991667,545809606.0477084]",4.775034288235174,"[4.62024293398568,4.942977773067615]"
panda,tar_free,pink_qp,frame_success,-0.025722222222222223,"[-0.060390277777777786,0.004669444444444457]",0.9738373735661412,"[0.9391589836439818,1.004772043377051]"
panda,tar_free,pink_qp,acceleration_rms,1.3164429220625329,"[0.06835268197419593,2.607606696269116]",1.313107140172898,"[1.0126742583522945,1.796019351132675]"
