robot,method,group,states,current_available,correction_success
panda,trac_task_5ms,actual_next,40,39,0.975
panda,trac_task_5ms,actual_next_inside,30,29,0.9666666666666667
panda,trac_task_5ms,actual_next_outside,10,10,1.0
panda,trac_task_5ms,mixed_inside,40,39,0.975
panda,trac_task_5ms,mixed_outside,40,39,0.975
panda,trac_task_5ms,nominal,40,39,0.975
panda,trac_task_5ms,optimized_axis,40,39,0.96875
panda,trac_task_20ms,actual_next,40,39,0.975
panda,trac_task_20ms,actual_next_inside,30,29,0.9666666666666667
panda,trac_task_20ms,actual_next_outside,10,10,1.0
panda,trac_task_20ms,mixed_inside,40,39,0.975
panda,trac_task_20ms,mixed_outside,40,39,0.975
panda,trac_task_20ms,nominal,40,39,0.975
panda,trac_task_20ms,optimized_axis,40,39,0.96875
panda,pink_qp,actual_next,40,39,0.975
panda,pink_qp,actual_next_inside,30,29,0.9666666666666667
panda,pink_qp,actual_next_outside,10,10,1.0
panda,pink_qp,mixed_inside,40,39,0.975
panda,pink_qp,mixed_outside,40,39,0.975
panda,pink_qp,nominal,40,39,0.975
panda,pink_qp,optimized_axis,40,39,0.96875
panda,tar_nominal,actual_next,40,39,0.975
panda,tar_nominal,actual_next_inside,30,29,0.9666666666666667
panda,tar_nominal,actual_next_outside,10,10,1.0
panda,tar_nominal,mixed_inside,40,39,0.975
panda,tar_nominal,mixed_outside,40,39,0.975
panda,tar_nominal,nominal,40,39,0.975
panda,tar_nominal,optimized_axis,40,39,0.96875
panda,tar_fixed,actual_next,40,39,0.975
panda,tar_fixed,actual_next_inside,30,29,0.9666666666666667
panda,tar_fixed,actual_next_outside,10,10,1.0
panda,tar_fixed,mixed_inside,40,39,0.975
panda,tar_fixed,mixed_outside,40,39,0.975
panda,tar_fixed,nominal,40,39,0.975
panda,tar_fixed,optimized_axis,40,39,0.96875
panda,tar_free,actual_next,40,39,0.975
panda,tar_free,actual_next_inside,30,29,0.9666666666666667
panda,tar_free,actual_next_outside,10,10,1.0
panda,tar_free,mixed_inside,40,39,0.975
panda,tar_free,mixed_outside,40,39,0.975
panda,tar_free,nominal,40,39,0.975
panda,tar_free,optimized_axis,40,39,0.96875
ur5e,trac_task_5ms,actual_next,40,40,1.0
ur5e,trac_task_5ms,actual_next_inside,28,28,1.0
ur5e,trac_task_5ms,actual_next_outside,12,12,1.0
ur5e,trac_task_5ms,mixed_inside,40,40,1.0
ur5e,trac_task_5ms,mixed_outside,40,40,1.0
ur5e,trac_task_5ms,nominal,40,40,1.0
ur5e,trac_task_5ms,optimized_axis,40,40,0.982638888888889
ur5e,trac_task_20ms,actual_next,40,40,1.0
ur5e,trac_task_20ms,actual_next_inside,28,28,1.0
ur5e,trac_task_20ms,actual_next_outside,12,12,1.0
ur5e,trac_task_20ms,mixed_inside,40,40,1.0
ur5e,trac_task_20ms,mixed_outside,40,40,0.9986111111111111
ur5e,trac_task_20ms,nominal,40,40,1.0
ur5e,trac_task_20ms,optimized_axis,40,40,0.9833333333333334
ur5e,pink_qp,actual_next,40,40,1.0
ur5e,pink_qp,actual_next_inside,28,28,1.0
ur5e,pink_qp,actual_next_outside,12,12,1.0
ur5e,pink_qp,mixed_inside,40,40,1.0
ur5e,pink_qp,mixed_outside,40,40,1.0
ur5e,pink_qp,nominal,40,40,1.0
ur5e,pink_qp,optimized_axis,40,40,0.9854166666666666
ur5e,tar_nominal,actual_next,40,40,1.0
ur5e,tar_nominal,actual_next_inside,28,28,1.0
ur5e,tar_nominal,actual_next_outside,12,12,1.0
ur5e,tar_nominal,mixed_inside,40,40,1.0
ur5e,tar_nominal,mixed_outside,40,40,1.0
ur5e,tar_nominal,nominal,40,40,1.0
ur5e,tar_nominal,optimized_axis,40,40,0.982638888888889
ur5e,tar_fixed,actual_next,40,40,1.0
ur5e,tar_fixed,actual_next_inside,28,28,1.0
ur5e,tar_fixed,actual_next_outside,12,12,1.0
ur5e,tar_fixed,mixed_inside,40,40,1.0
ur5e,tar_fixed,mixed_outside,40,40,0.9986111111111111
ur5e,tar_fixed,nominal,40,40,1.0
ur5e,tar_fixed,optimized_axis,40,40,0.9833333333333334
ur5e,tar_free,actual_next,40,40,1.0
ur5e,tar_free,actual_next_inside,28,28,1.0
ur5e,tar_free,actual_next_outside,12,12,1.0
ur5e,tar_free,mixed_inside,40,40,1.0
ur5e,tar_free,mixed_outside,40,40,1.0
ur5e,tar_free,nominal,40,40,1.0
ur5e,tar_free,optimized_axis,40,40,0.98125
