robot,group,baseline,states,difference,difference_ci,ratio,ratio_ci
panda,actual_next,trac_task_5ms,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,actual_next,trac_task_20ms,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,actual_next,pink_qp,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,actual_next,tar_nominal,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,actual_next,tar_fixed,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,actual_next_inside,trac_task_5ms,30,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,actual_next_inside,trac_task_20ms,30,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,actual_next_inside,pink_qp,30,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,actual_next_inside,tar_nominal,30,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,actual_next_inside,tar_fixed,30,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,actual_next_outside,trac_task_5ms,10,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,actual_next_outside,trac_task_20ms,10,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,actual_next_outside,pink_qp,10,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,actual_next_outside,tar_nominal,10,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,actual_next_outside,tar_fixed,10,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,mixed_inside,trac_task_5ms,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,mixed_inside,trac_task_20ms,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,mixed_inside,pink_qp,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,mixed_inside,tar_nominal,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,mixed_inside,tar_fixed,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,mixed_outside,trac_task_5ms,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,mixed_outside,trac_task_20ms,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,mixed_outside,pink_qp,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,mixed_outside,tar_nominal,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,mixed_outside,tar_fixed,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,nominal,trac_task_5ms,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,nominal,trac_task_20ms,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,nominal,pink_qp,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,nominal,tar_nominal,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
