robot,uid,method,family,group,correction_success,current_accepted,calls,total_reference_ns
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trac_task_5ms,smooth,actual_next,1.0,True,3,497750
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trac_task_5ms,smooth,mixed_inside,1.0,True,18,3045519
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trac_task_5ms,smooth,mixed_outside,1.0,True,18,3081268
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trac_task_5ms,smooth,nominal,1.0,True,3,641524
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trac_task_5ms,smooth,optimized_axis,1.0,True,36,6384491
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trac_task_20ms,smooth,actual_next,1.0,True,3,598795
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trac_task_20ms,smooth,mixed_inside,1.0,True,18,3202189
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trac_task_20ms,smooth,mixed_outside,1.0,True,18,4108030
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trac_task_20ms,smooth,nominal,1.0,True,3,503446
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trac_task_20ms,smooth,optimized_axis,1.0,True,36,6563357
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,pink_qp,smooth,actual_next,1.0,True,3,516303
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,pink_qp,smooth,mixed_inside,1.0,True,18,3036076
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,pink_qp,smooth,mixed_outside,1.0,True,18,3234913
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,pink_qp,smooth,nominal,1.0,True,3,586138
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,pink_qp,smooth,optimized_axis,1.0,True,36,6259670
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,tar_nominal,smooth,actual_next,1.0,True,3,510122
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,tar_nominal,smooth,mixed_inside,1.0,True,18,3458389
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,tar_nominal,smooth,mixed_outside,1.0,True,18,3229573
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,tar_nominal,smooth,nominal,1.0,True,3,603357
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,tar_nominal,smooth,optimized_axis,1.0,True,36,8092067
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,tar_fixed,smooth,actual_next,1.0,True,3,528754
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,tar_fixed,smooth,mixed_inside,1.0,True,18,3234614
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,tar_fixed,smooth,mixed_outside,1.0,True,18,4035021
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,tar_fixed,smooth,nominal,1.0,True,3,691465
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,tar_fixed,smooth,optimized_axis,1.0,True,36,6554501
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,tar_free,smooth,actual_next,1.0,True,3,555972
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,tar_free,smooth,mixed_inside,1.0,True,18,3362694
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,tar_free,smooth,mixed_outside,1.0,True,18,3568078
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,tar_free,smooth,nominal,1.0,True,3,899014
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,tar_free,smooth,optimized_axis,1.0,True,36,6584129
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trac_task_5ms,smooth,actual_next,1.0,True,3,523888
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trac_task_5ms,smooth,mixed_inside,1.0,True,18,3227656
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trac_task_5ms,smooth,mixed_outside,1.0,True,18,3339483
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trac_task_5ms,smooth,nominal,1.0,True,3,660385
