robot,training_seed,method,feasible_success,feasible_mean_fev,rejectable_rejection,rejectable_mean_fev,trajectory_completion,trajectory_command_spike
panda,17,fixed_robust_cascade,0.9999,5.2823,1.0,393.62,1.0,0.0
panda,17,proposed_v2,0.9999,3.7766,1.0,0.0,1.0,0.0
panda,17,threshold_guard_cascade,0.9907,5.1629,1.0,0.0,1.0,0.0
panda,17,ablation_no_history,0.9998,3.7892,1.0,0.0,1.0,0.0
panda,17,ablation_single_member,0.9999,3.7686,1.0,0.0,1.0,0.0
panda,17,ablation_no_uncertainty,0.9999,3.7765,1.0,0.0,1.0,0.0
panda,17,ablation_uncalibrated,0.9999,3.7694,1.0,0.0,1.0,0.0
panda,17,ablation_no_reject,0.9999,3.7766,1.0,388.4235,1.0,0.0
panda,17,ablation_no_fallback,0.9969,3.5593,1.0,0.0,1.0,0.0
panda,17,ablation_fixed_damping,0.9909,7.1358,1.0,0.0,1.0,0.0
ur5e,17,fixed_robust_cascade,1.0,5.9424,1.0,218.3845,0.95,0.0
ur5e,17,proposed_v2,1.0,3.9495,1.0,0.0,0.975,0.0
ur5e,17,threshold_guard_cascade,0.9913,5.8277,1.0,0.0,0.95,0.0
ur5e,17,ablation_no_history,1.0,3.9415,1.0,0.0,0.95,0.0
ur5e,17,ablation_single_member,1.0,3.897,1.0,0.0,0.975,0.0
ur5e,17,ablation_no_uncertainty,1.0,3.9319,1.0,0.0,0.95,0.0
ur5e,17,ablation_uncalibrated,1.0,3.9467,1.0,0.0,0.975,0.0
ur5e,17,ablation_no_reject,1.0,3.9495,1.0,213.661,0.975,0.0
ur5e,17,ablation_no_fallback,0.9989,3.9435,1.0,0.0,0.975,0.0
ur5e,17,ablation_fixed_damping,1.0,3.7037,1.0,0.0,1.0,0.0
panda,29,fixed_robust_cascade,0.9999,5.2792,1.0,394.1325,1.0,0.0
panda,29,proposed_v2,0.9999,3.7988,1.0,0.0,1.0,0.0
panda,29,threshold_guard_cascade,0.9907,5.16,1.0,0.0,1.0,0.0
panda,29,ablation_no_history,0.9998,3.8455,1.0,0.0,1.0,0.0
panda,29,ablation_single_member,0.9999,3.8339,1.0,0.0,1.0,0.0
panda,29,ablation_no_uncertainty,0.9999,3.798,1.0,0.0,1.0,0.0
panda,29,ablation_uncalibrated,0.9999,3.7898,1.0,0.0,1.0,0.0
panda,29,ablation_no_reject,0.9999,3.7988,1.0,388.9195,1.0,0.0
panda,29,ablation_no_fallback,0.9968,3.5939,1.0,0.0,1.0,0.0
panda,29,ablation_fixed_damping,0.9908,7.1952,1.0,0.0,1.0,0.0
ur5e,29,fixed_robust_cascade,1.0,5.9449,1.0,218.1325,0.975,0.0
ur5e,29,proposed_v2,1.0,3.9372,1.0,0.0,0.975,0.0
ur5e,29,threshold_guard_cascade,0.9912,5.8288,1.0,0.0,0.975,0.0
ur5e,29,ablation_no_history,1.0,3.8884,1.0,0.032,0.95,0.0
ur5e,29,ablation_single_member,1.0,3.9021,1.0,0.06,0.975,0.0
ur5e,29,ablation_no_uncertainty,1.0,3.9282,1.0,0.06,0.975,0.0
ur5e,29,ablation_uncalibrated,1.0,3.9298,1.0,0.0,0.975,0.0
ur5e,29,ablation_no_reject,1.0,3.9372,1.0,213.4075,0.975,0.0
ur5e,29,ablation_no_fallback,0.9988,3.9307,1.0,0.0,0.975,0.0
ur5e,29,ablation_fixed_damping,1.0,3.6965,1.0,0.0,1.0,0.0
panda,43,fixed_robust_cascade,0.9999,5.2324,1.0,393.2865,1.0,0.0
panda,43,proposed_v2,0.9999,3.7634,1.0,0.158,1.0,0.0
panda,43,threshold_guard_cascade,0.9908,5.1145,1.0,0.0,1.0,0.0
panda,43,ablation_no_history,0.9998,3.7801,1.0,0.3745,1.0,0.0
panda,43,ablation_single_member,0.9998,3.7348,1.0,0.473,1.0,0.0
panda,43,ablation_no_uncertainty,0.9999,3.7556,1.0,0.0,1.0,0.0
panda,43,ablation_uncalibrated,0.9999,3.7588,1.0,0.158,1.0,0.0
panda,43,ablation_no_reject,0.9999,3.7634,1.0,388.1045,1.0,0.0
panda,43,ablation_no_fallback,0.9976,3.6006,1.0,0.025,1.0,0.0
panda,43,ablation_fixed_damping,0.9922,6.7664,1.0,0.158,1.0,0.0
ur5e,43,fixed_robust_cascade,1.0,5.9397,1.0,218.032,0.975,0.0
ur5e,43,proposed_v2,1.0,3.9248,1.0,0.0,0.975,0.0
ur5e,43,threshold_guard_cascade,0.9913,5.825,1.0,0.0,0.975,0.0
ur5e,43,ablation_no_history,1.0,3.8863,1.0,0.0,0.95,0.0
ur5e,43,ablation_single_member,1.0,3.9126,1.0,0.0,0.975,0.0
ur5e,43,ablation_no_uncertainty,1.0,3.9391,1.0,0.0,0.975,0.0
ur5e,43,ablation_uncalibrated,1.0,3.9284,1.0,0.0,0.975,0.0
ur5e,43,ablation_no_reject,1.0,3.9248,1.0,213.3125,0.975,0.0
ur5e,43,ablation_no_fallback,0.9988,3.9183,1.0,0.0,0.975,0.0
ur5e,43,ablation_fixed_damping,1.0,3.6957,1.0,0.0,1.0,0.0
