robot,method,reference,family,group,trajectory_count,method_total_ns,reference_total_ns,saved_ns,saved_fraction_of_total,method_total_fev,reference_total_fev,latency_ratio,latency_ratio_ci_low,latency_ratio_ci_high
panda,full_cghik,always_hard,all,both_complete,34,9727175921,8227435579,-1499740342,-0.09176857428502716,15108,16607,1.1822852731691988,0.9736278997662354,1.3278305209072745
panda,full_cghik,always_hard,all,only_cghik_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,always_hard,all,only_hard_complete,3,10476996509,678341358,-9798655151,-0.5995761985829862,17444,1310,15.445020984552736,8.667500487090788,23.716573389043415
panda,full_cghik,always_hard,all,neither_complete,3,18799057108,46440087906,27641030798,1.6913447728680133,37760,78288,0.40480235838595785,0.29232116005122555,0.4814412753590441
panda,full_cghik,always_hard,smooth,both_complete,9,2591114309,1967156439,-623957870,-0.02327945247150063,4050,4048,1.3171877221504498,1.307435205531251,1.3268682008608448
panda,full_cghik,always_hard,smooth,only_cghik_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,always_hard,smooth,only_hard_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,always_hard,smooth,neither_complete,1,2603493435,30030395694,27426902259,1.0232794524715005,4117,45089,0.08669527573092124,0.08669527573092124,0.08669527573092124
panda,full_cghik,always_hard,near_singular,both_complete,5,1397540789,1035583999,-361956790,0.03639042819165808,1994,1928,1.3495194888579964,1.3241070682772098,1.3768488161262495
panda,full_cghik,always_hard,near_singular,only_cghik_complete,0,0,0,0,-0.0,0,0,,,
panda,full_cghik,always_hard,near_singular,only_hard_complete,3,10476996509,678341358,-9798655151,0.9851376365871907,17444,1310,15.445020984552736,8.667500487090788,23.716573389043415
panda,full_cghik,always_hard,near_singular,neither_complete,2,16195563673,16409692212,214128539,-0.02152806477884876,33643,33199,0.9869510935224359,0.9516464588409964,1.1039373883287926
panda,full_cghik,always_hard,joint_limit_return,both_complete,10,2869227859,3038903327,169675468,1.0,4570,6137,0.9441655591698261,0.5973734995233139,1.3377836667060723
panda,full_cghik,always_hard,joint_limit_return,only_cghik_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,always_hard,joint_limit_return,only_hard_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,always_hard,joint_limit_return,neither_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,always_hard,high_curvature,both_complete,10,2869292964,2185791814,-683501150,1.0,4494,4494,1.3127018527666605,1.3033665624772124,1.322049654695894
panda,full_cghik,always_hard,high_curvature,only_cghik_complete,0,0,0,0,-0.0,0,0,,,
panda,full_cghik,always_hard,high_curvature,only_hard_complete,0,0,0,0,-0.0,0,0,,,
panda,full_cghik,always_hard,high_curvature,neither_complete,0,0,0,0,-0.0,0,0,,,
panda,routing_only,always_hard,all,both_complete,34,9745004677,8227435579,-1517569098,0.09062656210386201,15108,16607,1.1844522613915687,0.9762744117647031,1.3287520530306325
panda,routing_only,always_hard,all,only_cghik_complete,0,0,0,0,-0.0,0,0,,,
panda,routing_only,always_hard,all,only_hard_complete,3,16641581149,678341358,-15963239791,0.9532966533151578,26575,1310,24.53275324103119,8.680883763826664,50.000567754867824
panda,routing_only,always_hard,all,neither_complete,3,45704580425,46440087906,735507481,-0.04392321541901983,76271,78288,0.9841622289240979,0.9688962046711471,1.0065678261010778
panda,routing_only,always_hard,smooth,both_complete,9,2597039736,1967156439,-629883297,8.453623465518952,4050,4048,1.3201999009901826,1.3141457908573018,1.3265417781649156
panda,routing_only,always_hard,smooth,only_cghik_complete,0,0,0,0,-0.0,0,0,,,
panda,routing_only,always_hard,smooth,only_hard_complete,0,0,0,0,-0.0,0,0,,,
panda,routing_only,always_hard,smooth,neither_complete,1,29475022848,30030395694,555372846,-7.453623465518951,42628,45089,0.9815063094186613,0.9815063094186613,0.9815063094186613
panda,routing_only,always_hard,near_singular,both_complete,5,1389764775,1035583999,-354180776,0.02194797672250851,1994,1928,1.3420106687067497,1.314022583045956,1.369078052377201
panda,routing_only,always_hard,near_singular,only_cghik_complete,0,0,0,0,-0.0,0,0,,,
panda,routing_only,always_hard,near_singular,only_hard_complete,3,16641581149,678341358,-15963239791,0.989214658416948,26575,1310,24.53275324103119,8.680883763826664,50.000567754867824
panda,routing_only,always_hard,near_singular,neither_complete,2,16229557577,16409692212,180134635,-0.011162635139456485,33643,33199,0.9890226682698977,0.9538755670405761,1.1054869564038268
panda,routing_only,always_hard,joint_limit_return,both_complete,10,2879690896,3038903327,159212431,1.0,4570,6137,0.9476085897220119,0.6018884628835076,1.3365152445072028
panda,routing_only,always_hard,joint_limit_return,only_cghik_complete,0,0,0,0,0.0,0,0,,,
panda,routing_only,always_hard,joint_limit_return,only_hard_complete,0,0,0,0,0.0,0,0,,,
panda,routing_only,always_hard,joint_limit_return,neither_complete,0,0,0,0,0.0,0,0,,,
panda,routing_only,always_hard,high_curvature,both_complete,10,2878509270,2185791814,-692717456,1.0,4494,4494,1.3169183137950942,1.3106637679408555,1.3234029886141168
panda,routing_only,always_hard,high_curvature,only_cghik_complete,0,0,0,0,-0.0,0,0,,,
panda,routing_only,always_hard,high_curvature,only_hard_complete,0,0,0,0,-0.0,0,0,,,
panda,routing_only,always_hard,high_curvature,neither_complete,0,0,0,0,-0.0,0,0,,,
panda,full_cghik,routing_only,all,both_complete,34,9727175921,9745004677,17828756,0.0005388294880591698,15108,15108,0.9981704722993023,0.9954513599521879,1.0010540196561661
panda,full_cghik,routing_only,all,only_cghik_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,routing_only,all,only_hard_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,routing_only,all,neither_complete,6,29276053617,62346161574,33070107957,0.9994611705119408,55204,102846,0.469572671001592,0.34412660182077076,0.6238151021032607
panda,full_cghik,routing_only,smooth,both_complete,9,2591114309,2597039736,5925427,0.00022046086711981246,4050,4050,0.9977183918606011,0.9926812028279476,1.0017357759792458
panda,full_cghik,routing_only,smooth,only_cghik_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,routing_only,smooth,only_hard_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,routing_only,smooth,neither_complete,1,2603493435,29475022848,26871529413,0.9997795391328802,4117,42628,0.08832880125067172,0.08832880125067172,0.08832880125067172
panda,full_cghik,routing_only,near_singular,both_complete,5,1397540789,1389764775,-7776014,-0.0012560591235656808,1994,1994,1.0055952015332954,1.0004346576002467,1.0090148827147645
panda,full_cghik,routing_only,near_singular,only_cghik_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,routing_only,near_singular,only_hard_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,routing_only,near_singular,neither_complete,5,26672560182,32871138726,6198578544,1.0012560591235657,51087,60218,0.8114279339189084,0.5634302098686403,1.0007370562652578
panda,full_cghik,routing_only,joint_limit_return,both_complete,10,2869227859,2879690896,10463037,1.0,4570,4570,0.9963666110781079,0.9917778819030921,1.0012664372498667
panda,full_cghik,routing_only,joint_limit_return,only_cghik_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,routing_only,joint_limit_return,only_hard_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,routing_only,joint_limit_return,neither_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,routing_only,high_curvature,both_complete,10,2869292964,2878509270,9216306,1.0,4494,4494,0.9967982364705047,0.9906628682834347,1.0038194556055922
panda,full_cghik,routing_only,high_curvature,only_cghik_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,routing_only,high_curvature,only_hard_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,routing_only,high_curvature,neither_complete,0,0,0,0,0.0,0,0,,,
panda,full_cghik,trac_ik_5ms,all,both_complete,32,9161073931,1162967424,-7998106507,0.22239418016263915,14316,,7.877326348050829,7.769648331443722,7.987109930791936
panda,full_cghik,trac_ik_5ms,all,only_cghik_complete,2,566101990,685225453,119123463,-0.003312329595615309,792,,0.8261543518582635,0.8177633141398685,0.8345732821211657
panda,full_cghik,trac_ik_5ms,all,only_hard_complete,4,14676544632,167829022,-14508715610,0.4034272249906706,29050,,87.44938424297081,63.35367731138666,110.67153622593774
panda,full_cghik,trac_ik_5ms,all,neither_complete,2,14599508985,1023557416,-13575951569,0.3774909244423056,26154,,14.263497832934464,14.263497832934464,14.263497832934464
panda,full_cghik,trac_ik_5ms,smooth,both_complete,9,2591114309,330881168,-2260233141,0.5310031683311817,4050,,7.830951288832491,7.668005030183033,8.040959096800616
panda,full_cghik,trac_ik_5ms,smooth,only_cghik_complete,0,0,0,0,-0.0,0,,,,
panda,full_cghik,trac_ik_5ms,smooth,only_hard_complete,0,0,0,0,-0.0,0,,,,
