robot,method,family,trajectory_count,completed,completion_rate,deadline_complete,completion_uids,trajectory_cumulative_mean_ms,trajectory_cumulative_median_ms,trajectory_cumulative_p95_ms,calls,verified_success_rate,accepted_within_20ms_rate,accepted_contract_violations,total_latency_ns,p50_ms,p95_ms,p99_ms,mean_fev,reject_count,defer_count,fallback_count,fallback_rate,route_counts,accepted_position_error_median,accepted_position_error_max,accepted_orientation_error_median,accepted_orientation_error_max,accepted_max_joint_step_median,accepted_max_joint_step_max,accepted_max_velocity_utilization_median,accepted_max_velocity_utilization_max
panda,always_hard,all,40,37,0.925,36,"[""015b2a9550b915f50de67866affc641a8c02febdba83c4bc0843b14065dd6cdb"", ""05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365"", ""100ac373815a5ca7879f62db521685ee32699dd030cce5388785892a86b10ebd"", ""22d36ab68a9556613bd7f83e220ecafe8f866f42964bdb6c698c8b6c6ee1c2e8"", ""2b4005a003f984e31a88a51f38e3182f7cc5ad0c0c12ae73238b7987db34f02a"", ""33af396c797e0f73ded6c7a1d8836ecc02fe9c03d9ebbc521b27e893dff23586"", ""33fe895dca1ff18c28fe3903c5949649e04329bda2d1ccf9fbdb01f725439e6f"", ""34d461249b6c84388a8a925d2ced5254dc7a9ea2526b13b9a7a34604308cc719"", ""34dceb225dc425cd8437298db9402b61ecfee4a64b4d95c8abe2cd9f03549567"", ""4574c066e06c0edcd0ced47d2c72f11652bc38487f435c7844644de20af5357a"", ""490609e08d34ab896f75bad178df12cb0838272a895847d67a6578c1d1ca0a97"", ""4cc5ef5c4c9aa6bf49a51ea1b0c183d22a3ad3076219f3fdaaa33a4c97b7085d"", ""4de9c1b60ea7786ec5c9f2cd585bc318cc916fca235633471174ff7402518a14"", ""514dce4d6858ec3460d0adabe07c14a84559f25c0de5bf6fbbfd94e7838f8255"", ""56b49ec9a094550fea046a9379e8714df458c147018de0b02dbbedf7a2a15417"", ""5ab75c01e8edca50f485b25d6fa459e537ef25723ff4a262fea0d7c4a9aefd6b"", ""5f5ae7c5470ed9544d3dc186ec24aa84f42c39a9830f65aba1e0391747cac121"", ""6022bca06e4788aea6d009d55187a72a09f6936022859d0bda40fe33a8afb09e"", ""69d9b47f6ae99215e87ead9845fe384e3178b92272c8c1037dade1d22ea68de4"", ""6cdfe650762b413f2b081dd90fc72e47f0bd3a139d1bd7b7ed85d9380bc7c13d"", ""707e67723856c45e39ac74273e9c04ccc7ba5f4fe572603e960462328fa2f05b"", ""80e7aa2ca2a47e31ad934f80a765edcd871fde93a2b572ab28157278652bb2f6"", ""847e0a931fea7c921a5cb15fa9fde0181357a567fd5718f74d1142e64e727293"", ""96ead6e14eb36d6086223509347fdca58c3b3b34586f803f5fee8e38cafcbb30"", ""a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28"", ""b4b5e43a9af4b0c4c739f8bf5adcc311880c6c658e97516ab2146ee24f3616c0"", ""b771b273c4b23a3811efc586c0958fb8fd60b35a6db9c65a9d075fefd7851bbc"", ""b82acfb0f8aeca32d455788ace0eae3c1ac31cfac5269c5a38c8b080b1192218"", ""c27ce734147fac572ca1ddd088565aeb5f022220251ef6f10a5d3db6670559b0"", ""c2ddfda8124fc711e570aa28a6b3ac159bd8a408d37a9dfcbe3f24c1a80f8542"", ""c50c3e73ff3e0bec923f545d6ab6d945ef34100b0a7ba38b407d13591a375469"", ""c51c286db69af8721b92774e452fe66e10df2f97953852e5ec293cb469a7563b"", ""da20b2b25ac9a389be9295f63dcfa8c444c94113e0558be150872f4c43627277"", ""db1a5c4a0d98ad7288728c34f5d39dc948e7bd7bad6b2da639465670b982818f"", ""e9de7aaa53eb993d3857d6e821968329e56139b031824d10b5eaa66f039f36da"", ""f69a8f1f6eef07cefc66000053424135c5ec7250cc78d7cb2319c6615f8a8060"", ""ff235ebe880a8fd2a8a604c2dd4d00beac26fbe8177e4a1e1072cf77a2dd823e""]",1383.646621075,217.448623,4244.223448199975,6000,0.961,0.9595,0,55345864843,1.412754,2.0706082500000003,253.67859013,16.034166666666668,0,0,243,0.0405,"{""hard"": 6000}",5.572431752885191e-05,0.0009984723868518555,7.328640364434461e-05,0.008672147762780105,0.010446632206712103,0.041104152665645044,0.22515462071590278,0.9449230497849436
panda,always_hard,smooth,10,9,0.9,9,"[""34d461249b6c84388a8a925d2ced5254dc7a9ea2526b13b9a7a34604308cc719"", ""490609e08d34ab896f75bad178df12cb0838272a895847d67a6578c1d1ca0a97"", ""4de9c1b60ea7786ec5c9f2cd585bc318cc916fca235633471174ff7402518a14"", ""56b49ec9a094550fea046a9379e8714df458c147018de0b02dbbedf7a2a15417"", ""5ab75c01e8edca50f485b25d6fa459e537ef25723ff4a262fea0d7c4a9aefd6b"", ""6022bca06e4788aea6d009d55187a72a09f6936022859d0bda40fe33a8afb09e"", ""6cdfe650762b413f2b081dd90fc72e47f0bd3a139d1bd7b7ed85d9380bc7c13d"", ""b4b5e43a9af4b0c4c739f8bf5adcc311880c6c658e97516ab2146ee24f3616c0"", ""db1a5c4a0d98ad7288728c34f5d39dc948e7bd7bad6b2da639465670b982818f""]",3199.7552133000004,219.4757685,16617.05200904997,1500,0.924,0.924,0,31997552133,1.4130085000000001,239.95582259999995,349.88432792000003,32.758,0,0,114,0.076,"{""hard"": 1500}",5.0449177898766896e-05,0.000994851083370193,7.219606993881098e-05,0.0028059496714919812,0.011307825311334119,0.041104152665645044,0.23945520133427448,0.9449230497849436
panda,always_hard,near_singular,10,8,0.8,8,"[""05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365"", ""4cc5ef5c4c9aa6bf49a51ea1b0c183d22a3ad3076219f3fdaaa33a4c97b7085d"", ""80e7aa2ca2a47e31ad934f80a765edcd871fde93a2b572ab28157278652bb2f6"", ""a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28"", ""b82acfb0f8aeca32d455788ace0eae3c1ac31cfac5269c5a38c8b080b1192218"", ""c27ce734147fac572ca1ddd088565aeb5f022220251ef6f10a5d3db6670559b0"", ""da20b2b25ac9a389be9295f63dcfa8c444c94113e0558be150872f4c43627277"", ""f69a8f1f6eef07cefc66000053424135c5ec7250cc78d7cb2319c6615f8a8060""]",1812.3617569,217.9281335,8644.915290199991,1500,0.92,0.92,0,18123617569,1.4165774999999998,77.03764379999993,219.5157352,24.291333333333334,0,0,120,0.08,"{""hard"": 1500}",0.00010693023062127195,0.0009984723868518555,0.0002131575091993826,0.008672147762780105,0.004367282126164725,0.03985601231887004,0.09243470004957058,0.916230168249886
panda,always_hard,joint_limit_return,10,10,1.0,9,"[""100ac373815a5ca7879f62db521685ee32699dd030cce5388785892a86b10ebd"", ""33fe895dca1ff18c28fe3903c5949649e04329bda2d1ccf9fbdb01f725439e6f"", ""34dceb225dc425cd8437298db9402b61ecfee4a64b4d95c8abe2cd9f03549567"", ""514dce4d6858ec3460d0adabe07c14a84559f25c0de5bf6fbbfd94e7838f8255"", ""69d9b47f6ae99215e87ead9845fe384e3178b92272c8c1037dade1d22ea68de4"", ""707e67723856c45e39ac74273e9c04ccc7ba5f4fe572603e960462328fa2f05b"", ""847e0a931fea7c921a5cb15fa9fde0181357a567fd5718f74d1142e64e727293"", ""b771b273c4b23a3811efc586c0958fb8fd60b35a6db9c65a9d075fefd7851bbc"", ""c50c3e73ff3e0bec923f545d6ab6d945ef34100b0a7ba38b407d13591a375469"", ""e9de7aaa53eb993d3857d6e821968329e56139b031824d10b5eaa66f039f36da""]",303.8903327,215.921503,699.3895818999991,1500,1.0,0.994,0,3038903327,1.4110580000000001,1.6339937999999998,2.1318532500000003,4.091333333333333,0,0,9,0.006,"{""hard"": 1500}",3.639336635671092e-05,0.00099407753448056,5.133979822525883e-05,0.008326584423155555,0.010214678773652675,0.015953832079649954,0.22109038217655647,0.3319845915543455
panda,always_hard,high_curvature,10,10,1.0,10,"[""015b2a9550b915f50de67866affc641a8c02febdba83c4bc0843b14065dd6cdb"", ""22d36ab68a9556613bd7f83e220ecafe8f866f42964bdb6c698c8b6c6ee1c2e8"", ""2b4005a003f984e31a88a51f38e3182f7cc5ad0c0c12ae73238b7987db34f02a"", ""33af396c797e0f73ded6c7a1d8836ecc02fe9c03d9ebbc521b27e893dff23586"", ""4574c066e06c0edcd0ced47d2c72f11652bc38487f435c7844644de20af5357a"", ""5f5ae7c5470ed9544d3dc186ec24aa84f42c39a9830f65aba1e0391747cac121"", ""96ead6e14eb36d6086223509347fdca58c3b3b34586f803f5fee8e38cafcbb30"", ""c2ddfda8124fc711e570aa28a6b3ac159bd8a408d37a9dfcbe3f24c1a80f8542"", ""c51c286db69af8721b92774e452fe66e10df2f97953852e5ec293cb469a7563b"", ""ff235ebe880a8fd2a8a604c2dd4d00beac26fbe8177e4a1e1072cf77a2dd823e""]",218.5791814,218.0784865,223.40308190000002,1500,1.0,1.0,0,2185791814,1.412248,1.7397881499999999,2.07174014,2.996,0,0,0,0.0,"{""hard"": 1500}",8.550354625213021e-05,0.0008682065399602925,0.00011635828482454714,0.006437613588508714,0.015560810974854067,0.0384359735359201,0.33482047271029114,0.8835855985268989
panda,full_cghik,all,40,34,0.85,34,"[""015b2a9550b915f50de67866affc641a8c02febdba83c4bc0843b14065dd6cdb"", ""100ac373815a5ca7879f62db521685ee32699dd030cce5388785892a86b10ebd"", ""22d36ab68a9556613bd7f83e220ecafe8f866f42964bdb6c698c8b6c6ee1c2e8"", ""2b4005a003f984e31a88a51f38e3182f7cc5ad0c0c12ae73238b7987db34f02a"", ""33af396c797e0f73ded6c7a1d8836ecc02fe9c03d9ebbc521b27e893dff23586"", ""33fe895dca1ff18c28fe3903c5949649e04329bda2d1ccf9fbdb01f725439e6f"", ""34d461249b6c84388a8a925d2ced5254dc7a9ea2526b13b9a7a34604308cc719"", ""34dceb225dc425cd8437298db9402b61ecfee4a64b4d95c8abe2cd9f03549567"", ""4574c066e06c0edcd0ced47d2c72f11652bc38487f435c7844644de20af5357a"", ""490609e08d34ab896f75bad178df12cb0838272a895847d67a6578c1d1ca0a97"", ""4cc5ef5c4c9aa6bf49a51ea1b0c183d22a3ad3076219f3fdaaa33a4c97b7085d"", ""4de9c1b60ea7786ec5c9f2cd585bc318cc916fca235633471174ff7402518a14"", ""514dce4d6858ec3460d0adabe07c14a84559f25c0de5bf6fbbfd94e7838f8255"", ""56b49ec9a094550fea046a9379e8714df458c147018de0b02dbbedf7a2a15417"", ""5ab75c01e8edca50f485b25d6fa459e537ef25723ff4a262fea0d7c4a9aefd6b"", ""5f5ae7c5470ed9544d3dc186ec24aa84f42c39a9830f65aba1e0391747cac121"", ""6022bca06e4788aea6d009d55187a72a09f6936022859d0bda40fe33a8afb09e"", ""69d9b47f6ae99215e87ead9845fe384e3178b92272c8c1037dade1d22ea68de4"", ""6cdfe650762b413f2b081dd90fc72e47f0bd3a139d1bd7b7ed85d9380bc7c13d"", ""707e67723856c45e39ac74273e9c04ccc7ba5f4fe572603e960462328fa2f05b"", ""80e7aa2ca2a47e31ad934f80a765edcd871fde93a2b572ab28157278652bb2f6"", ""847e0a931fea7c921a5cb15fa9fde0181357a567fd5718f74d1142e64e727293"", ""96ead6e14eb36d6086223509347fdca58c3b3b34586f803f5fee8e38cafcbb30"", ""a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28"", ""b4b5e43a9af4b0c4c739f8bf5adcc311880c6c658e97516ab2146ee24f3616c0"", ""b771b273c4b23a3811efc586c0958fb8fd60b35a6db9c65a9d075fefd7851bbc"", ""b82acfb0f8aeca32d455788ace0eae3c1ac31cfac5269c5a38c8b080b1192218"", ""c2ddfda8124fc711e570aa28a6b3ac159bd8a408d37a9dfcbe3f24c1a80f8542"", ""c50c3e73ff3e0bec923f545d6ab6d945ef34100b0a7ba38b407d13591a375469"", ""c51c286db69af8721b92774e452fe66e10df2f97953852e5ec293cb469a7563b"", ""da20b2b25ac9a389be9295f63dcfa8c444c94113e0558be150872f4c43627277"", ""db1a5c4a0d98ad7288728c34f5d39dc948e7bd7bad6b2da639465670b982818f"", ""e9de7aaa53eb993d3857d6e821968329e56139b031824d10b5eaa66f039f36da"", ""ff235ebe880a8fd2a8a604c2dd4d00beac26fbe8177e4a1e1072cf77a2dd823e""]",975.08073845,285.933244,4268.057920749996,6000,0.947,0.9461666666666667,0,39003229538,1.8766880000000001,2.3768442500000004,177.75522807000013,11.718666666666667,133,81,190,0.03166666666666667,"{""easy"": 4557, ""hard"": 1184, ""defer"": 81, ""medium"": 45, ""reject"": 133}",5.8898355537761556e-05,0.0009994597961573335,7.610788248933398e-05,0.008676025839539631,0.01049080587350093,0.043211664666475746,0.2262234007835537,0.9933716015281782
panda,full_cghik,smooth,10,9,0.9,9,"[""34d461249b6c84388a8a925d2ced5254dc7a9ea2526b13b9a7a34604308cc719"", ""490609e08d34ab896f75bad178df12cb0838272a895847d67a6578c1d1ca0a97"", ""4de9c1b60ea7786ec5c9f2cd585bc318cc916fca235633471174ff7402518a14"", ""56b49ec9a094550fea046a9379e8714df458c147018de0b02dbbedf7a2a15417"", ""5ab75c01e8edca50f485b25d6fa459e537ef25723ff4a262fea0d7c4a9aefd6b"", ""6022bca06e4788aea6d009d55187a72a09f6936022859d0bda40fe33a8afb09e"", ""6cdfe650762b413f2b081dd90fc72e47f0bd3a139d1bd7b7ed85d9380bc7c13d"", ""b4b5e43a9af4b0c4c739f8bf5adcc311880c6c658e97516ab2146ee24f3616c0"", ""db1a5c4a0d98ad7288728c34f5d39dc948e7bd7bad6b2da639465670b982818f""]",519.4607744,288.5773685,1563.6858073499975,1500,0.924,0.924,0,5194607744,1.8758515,2.2164994499999997,2.68229687,5.4446666666666665,102,4,12,0.008,"{""hard"": 379, ""medium"": 8, ""easy"": 1007, ""defer"": 4, ""reject"": 102}",5.4119771065954685e-05,0.000993831589337761,7.313048255604327e-05,0.000992215728082472,0.011320858661399313,0.04092996825061679,0.23901350550641637,0.9409188103590067
panda,full_cghik,near_singular,10,5,0.5,5,"[""4cc5ef5c4c9aa6bf49a51ea1b0c183d22a3ad3076219f3fdaaa33a4c97b7085d"", ""80e7aa2ca2a47e31ad934f80a765edcd871fde93a2b572ab28157278652bb2f6"", ""a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28"", ""b82acfb0f8aeca32d455788ace0eae3c1ac31cfac5269c5a38c8b080b1192218"", ""da20b2b25ac9a389be9295f63dcfa8c444c94113e0558be150872f4c43627277""]",2807.0100970999997,1104.519161,9104.193387599993,1500,0.864,0.8606666666666667,0,28070100971,1.880496,141.0883774999999,228.61322529999998,35.38733333333333,31,77,178,0.11866666666666667,"{""easy"": 1315, ""hard"": 77, ""defer"": 77, ""reject"": 31}",0.00012139945396848933,0.0009994597961573335,0.00022465338899940024,0.008676025839539631,0.0043334631682729885,0.043211664666475746,0.09104120377986727,0.9933716015281782
panda,full_cghik,joint_limit_return,10,10,1.0,10,"[""100ac373815a5ca7879f62db521685ee32699dd030cce5388785892a86b10ebd"", ""33fe895dca1ff18c28fe3903c5949649e04329bda2d1ccf9fbdb01f725439e6f"", ""34dceb225dc425cd8437298db9402b61ecfee4a64b4d95c8abe2cd9f03549567"", ""514dce4d6858ec3460d0adabe07c14a84559f25c0de5bf6fbbfd94e7838f8255"", ""69d9b47f6ae99215e87ead9845fe384e3178b92272c8c1037dade1d22ea68de4"", ""707e67723856c45e39ac74273e9c04ccc7ba5f4fe572603e960462328fa2f05b"", ""847e0a931fea7c921a5cb15fa9fde0181357a567fd5718f74d1142e64e727293"", ""b771b273c4b23a3811efc586c0958fb8fd60b35a6db9c65a9d075fefd7851bbc"", ""c50c3e73ff3e0bec923f545d6ab6d945ef34100b0a7ba38b407d13591a375469"", ""e9de7aaa53eb993d3857d6e821968329e56139b031824d10b5eaa66f039f36da""]",286.92278589999995,284.0735285,298.1156966,1500,1.0,1.0,0,2869227859,1.874438,2.0737291499999997,2.51127689,3.046666666666667,0,0,0,0.0,"{""easy"": 1500}",3.727532605392905e-05,0.0009992636486707523,5.2273213844064634e-05,0.008386168777480895,0.010171110952664153,0.017950058285542525,0.22052518798684945,0.4126450180584489
panda,full_cghik,high_curvature,10,10,1.0,10,"[""015b2a9550b915f50de67866affc641a8c02febdba83c4bc0843b14065dd6cdb"", ""22d36ab68a9556613bd7f83e220ecafe8f866f42964bdb6c698c8b6c6ee1c2e8"", ""2b4005a003f984e31a88a51f38e3182f7cc5ad0c0c12ae73238b7987db34f02a"", ""33af396c797e0f73ded6c7a1d8836ecc02fe9c03d9ebbc521b27e893dff23586"", ""4574c066e06c0edcd0ced47d2c72f11652bc38487f435c7844644de20af5357a"", ""5f5ae7c5470ed9544d3dc186ec24aa84f42c39a9830f65aba1e0391747cac121"", ""96ead6e14eb36d6086223509347fdca58c3b3b34586f803f5fee8e38cafcbb30"", ""c2ddfda8124fc711e570aa28a6b3ac159bd8a408d37a9dfcbe3f24c1a80f8542"", ""c51c286db69af8721b92774e452fe66e10df2f97953852e5ec293cb469a7563b"", ""ff235ebe880a8fd2a8a604c2dd4d00beac26fbe8177e4a1e1072cf77a2dd823e""]",286.9292964,285.247367,293.71146795,1500,1.0,1.0,0,2869292964,1.8776704999999998,2.1112578,2.48867548,2.996,0,0,0,0.0,"{""hard"": 728, ""easy"": 735, ""medium"": 37}",8.687583900539477e-05,0.0008682065399602925,0.00011667777506162968,0.006437613588508714,0.015564897900316343,0.0384359735359201,0.3351010927985025,0.8835855985268989
