robot,family,entry,count,rate,family_success_count
panda,hard_valid,easy,6,0.001850709438618137,3242
panda,hard_valid,medium,166,0.05120296113510179,3242
panda,hard_valid,hard,3070,0.9469463294262801,3242
panda,id,easy,1730,0.3206078576723499,5396
panda,id,medium,1698,0.3146775389177168,5396
panda,id,hard,1968,0.3647146034099333,5396
panda,near_limit,easy,972,0.32672268907563023,2975
panda,near_limit,medium,1071,0.36,2975
panda,near_limit,hard,932,0.3132773109243697,2975
panda,near_singular,easy,1014,0.3447806868412105,2941
panda,near_singular,medium,970,0.3298197891873512,2941
panda,near_singular,hard,957,0.3253995239714383,2941
panda,workspace_boundary,easy,951,0.3220453775821199,2953
panda,workspace_boundary,medium,956,0.3237385709448019,2953
panda,workspace_boundary,hard,1046,0.3542160514730782,2953
ur5e,hard_valid,easy,9,0.0027472527472527475,3276
ur5e,hard_valid,medium,186,0.056776556776556776,3276
ur5e,hard_valid,hard,3081,0.9404761904761905,3276
ur5e,id,easy,1363,0.2533928239449712,5379
ur5e,id,medium,1429,0.26566276259527793,5379
ur5e,id,hard,2587,0.48094441345975086,5379
ur5e,near_limit,easy,965,0.32491582491582494,2970
ur5e,near_limit,medium,991,0.33367003367003367,2970
ur5e,near_limit,hard,1014,0.3414141414141414,2970
ur5e,near_singular,easy,925,0.312711291413117,2958
ur5e,near_singular,medium,934,0.31575388776200136,2958
ur5e,near_singular,hard,1099,0.37153482082488165,2958
ur5e,workspace_boundary,easy,855,0.28490503165611464,3001
ur5e,workspace_boundary,medium,920,0.3065644785071643,3001
ur5e,workspace_boundary,hard,1226,0.4085304898367211,3001
