robot,training_seed,method,method_label,feasible_success,feasible_mean_fev,rejectable_rejection,rejectable_mean_fev,trajectory_completion,trajectory_command_spike,hard_valid_success,feasible_p95_ms,rejectable_p95_ms
panda,17,dls_previous_1x50,Previous-state DLS,0.9966,3.4277,1.0,50.7595,1.0,0.0,1.0,1.1875134994625114,11.998143598611932
panda,17,trf_previous,Previous-state TRF,0.8465,77.3941,1.0,70.3535,0.85,0.0,0.571,86.87968058948172,85.86101927940035
panda,17,learned_1x25,Learned seed + fixed DLS,0.9928,3.3919,1.0,48.358,1.0,0.0,0.98,2.1683884609956294,10.69055848493008
panda,17,threshold_guard_cascade,Cartesian-step guard,0.9907,5.1629,1.0,0.0,1.0,0.0,0.954,3.373311484756414,1.3185908246668987
panda,17,fixed_robust_cascade,Fixed robust cascade,0.9999,5.2823,1.0,393.62,1.0,0.0,1.0,3.371844040520955,353.0108732113149
panda,17,proposed_v2,CG-HIK,0.9999,3.7766,1.0,0.0,1.0,0.0,1.0,4.444067868462287,3.3670231016003527
ur5e,17,dls_previous_1x50,Previous-state DLS,0.9986,3.617,1.0,57.0635,0.95,0.0,1.0,1.0866230106330477,11.849371054267976
ur5e,17,trf_previous,Previous-state TRF,0.9981,5.1908,1.0,29.4235,1.0,0.0,0.992,4.7050261113327,53.00748145382384
ur5e,17,learned_1x25,Learned seed + fixed DLS,0.9984,3.592,1.0,52.7815,0.975,0.0,0.9975,2.0299165436881594,10.143009024614003
ur5e,17,threshold_guard_cascade,Cartesian-step guard,0.9913,5.8277,1.0,0.0,0.95,0.0,0.959,3.1419560269569047,1.2510521031799726
ur5e,17,fixed_robust_cascade,Fixed robust cascade,1.0,5.9424,1.0,218.3845,0.95,0.0,1.0,3.1358028383692726,157.9558639554307
ur5e,17,proposed_v2,CG-HIK,1.0,3.9495,1.0,0.0,0.975,0.0,1.0,4.715586992097086,3.354649069660809
panda,29,dls_previous_1x50,Previous-state DLS,0.9964,3.4291,1.0,50.739,1.0,0.0,1.0,1.2004067481029779,12.139897655288221
panda,29,trf_previous,Previous-state TRF,0.8471,77.3484,1.0,70.3535,0.85,0.0,0.574,86.77266384329414,86.22194344497984
panda,29,learned_1x25,Learned seed + fixed DLS,0.9917,3.3919,1.0,48.3275,1.0,0.0,0.975,2.186649836949073,10.758148791501299
panda,29,threshold_guard_cascade,Cartesian-step guard,0.9907,5.16,1.0,0.0,1.0,0.0,0.954,3.400324791437015,1.3273395583382808
panda,29,fixed_robust_cascade,Fixed robust cascade,0.9999,5.2792,1.0,394.1325,1.0,0.0,1.0,3.3986465496127494,354.0245319440146
panda,29,proposed_v2,CG-HIK,0.9999,3.7988,1.0,0.0,1.0,0.0,1.0,4.6937953200540505,3.3282410295214504
ur5e,29,dls_previous_1x50,Previous-state DLS,0.9985,3.617,1.0,57.039,0.95,0.0,1.0,1.1011104244971648,12.009425708674824
ur5e,29,trf_previous,Previous-state TRF,0.9981,5.1906,1.0,29.4235,1.0,0.0,0.992,4.72839843132533,54.11404360056619
ur5e,29,learned_1x25,Learned seed + fixed DLS,0.998,3.5917,1.0,52.689,0.975,0.0,0.996,2.0520242513157427,10.281400606618263
ur5e,29,threshold_guard_cascade,Cartesian-step guard,0.9912,5.8288,1.0,0.0,0.975,0.0,0.9585,3.1726983725093305,1.2614948791451752
ur5e,29,fixed_robust_cascade,Fixed robust cascade,1.0,5.9449,1.0,218.1325,0.975,0.0,1.0,3.169181254634168,159.7101526742335
ur5e,29,proposed_v2,CG-HIK,1.0,3.9372,1.0,0.0,0.975,0.0,1.0,5.250551406061265,3.601442293438595
panda,43,dls_previous_1x50,Previous-state DLS,0.997,3.4275,1.0,50.848,1.0,0.0,1.0,1.2149180111009628,12.252014441764913
panda,43,trf_previous,Previous-state TRF,0.8459,77.3689,1.0,70.3535,0.85,0.0,0.568,87.3371648034663,86.50096201163251
panda,43,learned_1x25,Learned seed + fixed DLS,0.9931,3.3953,1.0,48.3895,1.0,0.0,0.979,2.302263893943745,10.836977833241688
panda,43,threshold_guard_cascade,Cartesian-step guard,0.9908,5.1145,1.0,0.0,1.0,0.0,0.9545,3.561790556705091,1.430663515930064
panda,43,fixed_robust_cascade,Fixed robust cascade,0.9999,5.2324,1.0,393.2865,1.0,0.0,1.0,3.571321116760373,355.90885879064444
panda,43,proposed_v2,CG-HIK,0.9999,3.7634,1.0,0.158,1.0,0.0,1.0,4.899177845800295,3.9213924988871436
ur5e,43,dls_previous_1x50,Previous-state DLS,0.9985,3.6174,1.0,57.091,0.95,0.0,1.0,1.0897393120103516,11.950278999574948
ur5e,43,trf_previous,Previous-state TRF,0.9981,5.1908,1.0,29.4235,1.0,0.0,0.992,4.718938621226696,53.93588038714368
ur5e,43,learned_1x25,Learned seed + fixed DLS,0.9982,3.5891,1.0,52.7625,0.975,0.0,0.9975,2.037398012180347,10.25053345510969
ur5e,43,threshold_guard_cascade,Cartesian-step guard,0.9913,5.825,1.0,0.0,0.975,0.0,0.959,3.153169245342724,1.2557666428619996
ur5e,43,fixed_robust_cascade,Fixed robust cascade,1.0,5.9397,1.0,218.032,0.975,0.0,1.0,3.15469526394736,157.24950106086908
ur5e,43,proposed_v2,CG-HIK,1.0,3.9248,1.0,0.0,0.975,0.0,1.0,5.1986433390993625,3.5930639103753492
