robot,training_seed,method,feasible_count,feasible_success,feasible_mean_fev,feasible_p95_ms,rejectable_count,rejectable_rejection,rejectable_mean_fev,rejectable_p95_ms,trajectory_count,trajectory_completion,trajectory_command_spike,verification_interceptions
panda,17,Fixed robust cascade,10000,0.9999,5.2823,3.371844040520955,2000,1.0,393.62,353.0108732113149,40,1.0,0.0,937
panda,17,Proposed,10000,0.9999,3.7766,4.444067868462287,2000,1.0,0.0,3.3670231016003527,40,1.0,0.0,1
ur5e,17,Fixed robust cascade,10000,1.0,5.9424,3.1358028383692726,2000,1.0,218.3845,157.9558639554307,40,0.95,0.0,956
ur5e,17,Proposed,10000,1.0,3.9495,4.715586992097086,2000,1.0,0.0,3.354649069660809,40,0.975,0.0,0
panda,29,Fixed robust cascade,10000,0.9999,5.2792,3.3986465496127494,2000,1.0,394.1325,354.0245319440146,40,1.0,0.0,944
panda,29,Proposed,10000,0.9999,3.7988,4.6937953200540505,2000,1.0,0.0,3.3282410295214504,40,1.0,0.0,1
ur5e,29,Fixed robust cascade,10000,1.0,5.9449,3.169181254634168,2000,1.0,218.1325,159.71015267423348,40,0.975,0.0,954
ur5e,29,Proposed,10000,1.0,3.9372,5.250551406061265,2000,1.0,0.0,3.601442293438595,40,0.975,0.0,0
panda,43,Fixed robust cascade,10000,0.9999,5.2324,3.571321116760373,2000,1.0,393.2865,355.90885879064444,40,1.0,0.0,933
panda,43,Proposed,10000,0.9999,3.7634,4.899177845800295,2000,1.0,0.158,3.9213924988871436,40,1.0,0.0,2
ur5e,43,Fixed robust cascade,10000,1.0,5.9397,3.15469526394736,2000,1.0,218.032,157.24950106086908,40,0.975,0.0,961
ur5e,43,Proposed,10000,1.0,3.9248,5.1986433390993625,2000,1.0,0.0,3.5930639103753492,40,0.975,0.0,0
