robot,method,method_label,query_count,verified_success_rate,mean_fev,p50_ms,p95_ms,p99_ms,fallback_rate,accepted_contract_violation_count
panda,fixed_robust_cascade,Fixed robust cascade,14000,0.9902857142857143,8.432428571428572,1.6746225,3.435732599999999,98.44738319000001,0.019142857142857142,0
panda,proposed_v2,Categorical routing baseline,14000,0.9902857142857143,7.239571428571429,1.9424644999999998,2.80148055,98.60148669000004,0.019142857142857142,0
panda,threshold_guard_cascade,Cartesian-step threshold baseline,14000,0.9822857142857143,8.145857142857142,1.819556,3.5418590999999995,97.98869602,0.01842857142857143,0
panda,learned_1x25,Learned seed + fixed refinement,14000,0.9757857142857143,3.3185714285714285,1.8607385,2.33212435,2.5250001500000003,0.0,0
panda,dls_previous_1x50,Previous-state DLS,14000,0.9802142857142857,3.3474285714285714,0.8894415,1.29806695,1.41514493,0.0,0
panda,trf_previous,Previous-state trust-region reflective,14000,0.8552142857142857,77.6515,86.7436505,94.15824185,95.82751972999999,1.0,0
panda,proposed_v4,CG-HIK,14000,0.9902857142857143,7.071142857142857,1.9504579999999998,2.5898872999999987,97.76823805000002,0.019142857142857142,0
ur5e,fixed_robust_cascade,Fixed robust cascade,14000,1.0,5.6655,1.5444295000000001,3.1584669499999998,5.982077790000002,0.011428571428571429,0
ur5e,proposed_v2,Categorical routing baseline,14000,0.9998571428571429,3.9934285714285713,1.802637,2.936682549999998,6.184018880000007,0.011357142857142857,0
ur5e,threshold_guard_cascade,Cartesian-step threshold baseline,14000,0.9905,5.5365,1.6777410000000001,3.2893094499999997,5.965134620000001,0.010714285714285714,0
ur5e,learned_1x25,Learned seed + fixed refinement,14000,0.9874285714285714,3.5082142857142857,1.7129875,2.17732575,2.33390157,0.0,0
ur5e,dls_previous_1x50,Previous-state DLS,14000,0.9881428571428571,3.528642857142857,0.8141065000000001,1.2024215,1.3244490800000002,0.0,0
ur5e,trf_previous,Previous-state trust-region reflective,14000,0.9977857142857143,5.4,3.554731,5.633375099999998,8.701891650000004,1.0,0
ur5e,proposed_v4,CG-HIK,14000,1.0,3.6105,1.798547,2.345823899999999,5.2689798100000065,0.011428571428571429,0
