robot,method,query_count,population,query_population_sha256,numerical_verifier_mean_ms,measured_label_pipeline_mean_ms,measured_label_pipeline_p50_ms,measured_label_pipeline_p95_ms,mean_noisy_query_empirical_p95_ms,mean_gap_to_noisy_oracle_ms,measured_deployment_e2e_ms,e2e_status,oracle_status
panda,fixed_easy,2031,same policy-validation successful non-abstained queries,ce6eb03b72692d98fadfa77157594516bd665e2875a8c6cafa64a6231f369614,1.0599372194977843,2.2369540943377646,1.67289,3.3534897,2.437236568193008,0.2896511587395372,,"not measured on this population; labels include candidate and constant-risk shell, not deployed router overhead","five-repeat in-sample noisy diagnostic, not true optimum"
panda,fixed_medium,2031,same policy-validation successful non-abstained queries,ce6eb03b72692d98fadfa77157594516bd665e2875a8c6cafa64a6231f369614,0.9324916655834564,2.110528447858198,1.669087,2.7831167000000003,2.3122250608567207,0.16322551225997045,,"not measured on this population; labels include candidate and constant-risk shell, not deployed router overhead","five-repeat in-sample noisy diagnostic, not true optimum"
panda,fixed_hard,2031,same policy-validation successful non-abstained queries,ce6eb03b72692d98fadfa77157594516bd665e2875a8c6cafa64a6231f369614,0.8114344266863615,1.9927647013293945,1.676246,2.2726252,2.1974528588872473,0.04546176573116691,,"not measured on this population; labels include candidate and constant-risk shell, not deployed router overhead","five-repeat in-sample noisy diagnostic, not true optimum"
panda,frozen_cghik,2031,same policy-validation successful non-abstained queries,ce6eb03b72692d98fadfa77157594516bd665e2875a8c6cafa64a6231f369614,0.8106365353028065,1.9897448406696208,1.671611,2.2638620999999994,2.18958184766125,0.04244190507139341,,"not measured on this population; labels include candidate and constant-risk shell, not deployed router overhead","five-repeat in-sample noisy diagnostic, not true optimum"
panda,empirical_oracle,2031,same policy-validation successful non-abstained queries,ce6eb03b72692d98fadfa77157594516bd665e2875a8c6cafa64a6231f369614,0.8096458645987199,1.9473029355982274,1.650586,2.1802409,2.0547572421467257,0.0,,"not measured on this population; labels include candidate and constant-risk shell, not deployed router overhead","five-repeat in-sample noisy diagnostic, not true optimum"
ur5e,fixed_easy,2049,same policy-validation successful non-abstained queries,d103cea9f38c5ac28075f2bf5482cd74ca4c10898d2b06933a1053a36c204f3f,1.0008081031722793,2.130338148853099,1.657607,3.2208525999999997,2.3618410115178134,0.4046236795510005,,"not measured on this population; labels include candidate and constant-risk shell, not deployed router overhead","five-repeat in-sample noisy diagnostic, not true optimum"
ur5e,fixed_medium,2049,same policy-validation successful non-abstained queries,d103cea9f38c5ac28075f2bf5482cd74ca4c10898d2b06933a1053a36c204f3f,0.8099998979990239,1.9394926039043436,1.645352,2.7108632,2.158272742410932,0.213778134602245,,"not measured on this population; labels include candidate and constant-risk shell, not deployed router overhead","five-repeat in-sample noisy diagnostic, not true optimum"
ur5e,fixed_hard,2049,same policy-validation successful non-abstained queries,d103cea9f38c5ac28075f2bf5482cd74ca4c10898d2b06933a1053a36c204f3f,0.6299078497803807,1.7651445245485604,1.650011,2.3362651999999993,1.9866239453391898,0.03943005524646169,,"not measured on this population; labels include candidate and constant-risk shell, not deployed router overhead","five-repeat in-sample noisy diagnostic, not true optimum"
ur5e,frozen_cghik,2049,same policy-validation successful non-abstained queries,d103cea9f38c5ac28075f2bf5482cd74ca4c10898d2b06933a1053a36c204f3f,0.629701748853099,1.7642594598340653,1.648152,2.3324485999999998,1.9844682438262564,0.03854499053196681,,"not measured on this population; labels include candidate and constant-risk shell, not deployed router overhead","five-repeat in-sample noisy diagnostic, not true optimum"
ur5e,empirical_oracle,2049,same policy-validation successful non-abstained queries,d103cea9f38c5ac28075f2bf5482cd74ca4c10898d2b06933a1053a36c204f3f,0.6369712655929721,1.7257144693020985,1.566753,2.329927399999999,1.8518496244997562,0.0,,"not measured on this population; labels include candidate and constant-risk shell, not deployed router overhead","five-repeat in-sample noisy diagnostic, not true optimum"
