robot,scale,method,witness_feasible,baseline,units,gained_uids,lost_uids,stable_gained_uids,stable_lost_uids,success_difference,latency_ratio,latency_difference_ns
panda,1.0,trac_position_5ms,True,trac_strict_5ms,2500,[],[],[],[],"[0.0, 0.0, 0.0]","[1.0215915274430296, 1.0109000292481587, 1.0323697283313917]","[5103.027066666667, 2572.9899666666656, 7663.011403333336]"
panda,1.0,dls_strict,True,trac_strict_5ms,2500,[],"['442c9654a4996f9c2031b17adf53aed90878c311564154b3b75ba3a5c48f9ec2', '501e797138cbff576c95081d149c8fa864926c282a908ef22a0595c425afc584', '75d58e7668be043b8a72fc48f08b882d95761e2e4efb117a68f79762e576c0c5', '7af42acd74fda1438e1776e4037a592a726a017acf230358cc2285ccc89ac51b', '7b3920ad1ed653cd4434590e15dac4a8815f24db931be138f079134f6941b0ab', '7cd0a34ae6e4b1357e04bfee66b17f340a93e155554e88f25b3b0dcdd7eecbab', '853c2b1670670cd28e2b68435efcc620547254cac1ea6468ebd8a4a1557b4688', 'ad6681eaeb3f9291e5f73807dfd758984e408e5506a412726b900132014da0dd', 'c1120a576f6e3653898f0732f45f24db9b9d087a8241b4197c76e3efed33ac53', 'd223f08fb9baae5f7d37c7567d1a8377d566621bc93aadb45db621e57f5aa6bf', 'e3de875a2e4a460191a8b496ca59cd2a231ff80df8748dd5f9cfd710600dda2c', 'ea85918faa3ee051b6128de6ed604da0c50efd89cabe5b92cb5871139960cd6b', 'f0479d01b2f337846595c198fcc1ee9679f342ef60468ee9b43cd5a873dce023']",[],"['442c9654a4996f9c2031b17adf53aed90878c311564154b3b75ba3a5c48f9ec2', '501e797138cbff576c95081d149c8fa864926c282a908ef22a0595c425afc584', '75d58e7668be043b8a72fc48f08b882d95761e2e4efb117a68f79762e576c0c5', '7af42acd74fda1438e1776e4037a592a726a017acf230358cc2285ccc89ac51b', '7b3920ad1ed653cd4434590e15dac4a8815f24db931be138f079134f6941b0ab', '7cd0a34ae6e4b1357e04bfee66b17f340a93e155554e88f25b3b0dcdd7eecbab', '853c2b1670670cd28e2b68435efcc620547254cac1ea6468ebd8a4a1557b4688', 'ad6681eaeb3f9291e5f73807dfd758984e408e5506a412726b900132014da0dd', 'c1120a576f6e3653898f0732f45f24db9b9d087a8241b4197c76e3efed33ac53', 'd223f08fb9baae5f7d37c7567d1a8377d566621bc93aadb45db621e57f5aa6bf', 'e3de875a2e4a460191a8b496ca59cd2a231ff80df8748dd5f9cfd710600dda2c', 'ea85918faa3ee051b6128de6ed604da0c50efd89cabe5b92cb5871139960cd6b', 'f0479d01b2f337846595c198fcc1ee9679f342ef60468ee9b43cd5a873dce023']","[-0.0052, -0.0084, -0.0028]","[12.755841941163077, 12.313413392968682, 13.187082997664083]","[2778422.2202666667, 2667659.1753200004, 2886644.6404833333]"
panda,1.0,trac_task_5ms,True,trac_strict_5ms,2500,[],[],[],[],"[0.0, 0.0, 0.0]","[0.9359483312910736, 0.9276326166770529, 0.9454409259276072]","[-15138.224933333331, -17156.40768333333, -12842.83719]"
panda,1.0,trac_task_20ms,True,trac_strict_20ms,2500,[],[],[],[],"[0.0, 0.0, 0.0]","[0.9354152001549305, 0.928107158082389, 0.943108523522365]","[-15223.0956, -17021.554913333333, -13356.224753333334]"
panda,1.0,trac_strict_20ms,True,trac_strict_5ms,2500,[],[],[],[],"[0.0, 0.0, 0.0]","[0.9973053561260794, 0.992956532691256, 1.0017713722245587]","[-636.8628, -1668.1556566666661, 417.75073333333364]"
panda,1.0,trac_orientation_5ms,True,trac_strict_5ms,2500,[],[],[],[],"[0.0, 0.0, 0.0]","[1.0430252758018599, 1.0245044115134883, 1.0636949486506506]","[10168.764, 5779.9895166666665, 15061.232110000004]"
panda,1.0,dls_task,True,dls_strict,2500,[],[],[],[],"[0.0, 0.0, 0.0]","[0.2528233722932994, 0.24279051282009864, 0.26378438220760136]","[-2252562.8268, -2360822.14036, -2142304.68252]"
panda,1.0,dls_task,False,dls_strict,500,[],[],[],[],"[0.0, 0.0, 0.0]","[1.0070019140068671, 0.9981787152116879, 1.0178600259959172]","[38252.614, -9947.5189, 97518.70355000002]"
panda,1.0,trac_task_20ms,False,trac_strict_20ms,500,[],[],[],[],"[0.0, 0.0, 0.0]","[0.9999367153522054, 0.9997009837267817, 1.0001673213409417]","[-1286.677333333373, -6079.98788333343, 3401.8750999999975]"
panda,1.0,trac_strict_20ms,False,trac_strict_5ms,500,[],[],[],[],"[0.0, 0.0, 0.0]","[3.848654979235603, 3.8461931614578724, 3.851059998333818]","[15048809.869333332, 15044423.514616668, 15053316.241366668]"
