robot,scale,method,witness_feasible,calls,units,verified_success,internal_success,accepted_within_20ms,returned_within_5ms,returned_within_20ms,total_latency_ns,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,latency_max_ms,internal_failure__task_reject,internal_failure__task_accept,internal_success__task_reject,internal_success__task_accept,accepted_position,accepted_orientation,all_returned_position,all_returned_orientation,joint_rejections,velocity_rejections,native_failure_task_accept,missed_calls,misses_per_sweep,any_repeat_missed_uids,all_repeats_missed_uids,false_acceptances
panda,0.5,trac_strict_5ms,True,1500,500,1.0,1.0,1.0,1.0,1.0,333283331,0.2066555,0.33418159999999997,0.4338816,0.2221888873333333,0.732814,0,0,0,1500,"{'p50': 6.862521792058685e-08, 'p95': 7.0024376237810125e-06, 'p99': 1.0902517938871767e-05, 'mean': 1.2821985480376248e-06, 'max': 1.4076374855948437e-05}","{'p50': 1.1756460787740014e-07, 'p95': 9.119542988295213e-06, 'p99': 1.2434595846009192e-05, 'mean': 1.6036640919451239e-06, 'max': 1.5342909732308917e-05}","{'p50': 6.862521792058685e-08, 'p95': 7.0024376237810125e-06, 'p99': 1.0902517938871767e-05, 'mean': 1.2821985480376248e-06, 'max': 1.4076374855948437e-05}","{'p50': 1.1756460787740014e-07, 'p95': 9.119542988295213e-06, 'p99': 1.2434595846009192e-05, 'mean': 1.6036640919451239e-06, 'max': 1.5342909732308917e-05}",0,0,0,0,0.0,0,0,0
panda,0.5,dls_task,True,500,500,0.996,0.996,0.996,0.984,1.0,409635023,0.5886195000000001,1.0981181999999923,7.121985749999995,0.819270046,8.524973,2,0,0,498,"{'p50': 8.022129064150943e-05, 'p95': 0.0004463242396573756, 'p99': 0.0004899627313196156, 'mean': 0.0001367605345647446, 'max': 0.0004993316706941428}","{'p50': 0.0001748747288326174, 'p95': 0.0016593606286990188, 'p99': 0.002802674261682513, 'mean': 0.00043988660235084353, 'max': 0.004267247511203729}","{'p50': 8.097154569997874e-05, 'p95': 0.00044883278528145887, 'p99': 0.0004946829974308613, 'mean': 0.00013865561638961131, 'max': 0.0006515418337899896}","{'p50': 0.00017615913954971817, 'p95': 0.0016578849363732032, 'p99': 0.002788814280318617, 'mean': 0.00044252166177013427, 'max': 0.004267247511203729}",0,0,0,2,2.0,2,2,0
panda,0.5,trac_task_5ms,True,1500,500,1.0,1.0,1.0,1.0,1.0,316428260,0.19595,0.28920195,0.48562123999999995,0.21095217333333335,0.892869,0,0,0,1500,"{'p50': 4.663220148090329e-05, 'p95': 0.00030675205042061206, 'p99': 0.00036518328330262527, 'mean': 8.47419410955765e-05, 'max': 0.00046317746061842383}","{'p50': 7.574773358780228e-05, 'p95': 0.0008871191331050826, 'p99': 0.002641445797438019, 'mean': 0.0002204165362516165, 'max': 0.003773736659169134}","{'p50': 4.663220148090329e-05, 'p95': 0.00030675205042061206, 'p99': 0.00036518328330262527, 'mean': 8.47419410955765e-05, 'max': 0.00046317746061842383}","{'p50': 7.574773358780228e-05, 'p95': 0.0008871191331050826, 'p99': 0.002641445797438019, 'mean': 0.0002204165362516165, 'max': 0.003773736659169134}",0,0,0,0,0.0,0,0,0
panda,1.0,dls_task,True,500,500,1.0,1.0,1.0,0.992,1.0,355704339,0.588915,0.9407958,4.167252009999997,0.711408678,6.92115,0,0,0,500,"{'p50': 9.362713179719683e-05, 'p95': 0.0008382867878595714, 'p99': 0.0009667918829441991, 'mean': 0.00019248591209491676, 'max': 0.0009957991298363664}","{'p50': 0.00022465841913460493, 'p95': 0.00231376870619602, 'p99': 0.0045401795344984395, 'mean': 0.0005889206001177832, 'max': 0.00635275379027364}","{'p50': 9.362713179719683e-05, 'p95': 0.0008382867878595714, 'p99': 0.0009667918829441991, 'mean': 0.00019248591209491676, 'max': 0.0009957991298363664}","{'p50': 0.00022465841913460493, 'p95': 0.00231376870619602, 'p99': 0.0045401795344984395, 'mean': 0.0005889206001177832, 'max': 0.00635275379027364}",0,0,0,0,0.0,0,0,0
panda,1.0,trac_task_5ms,True,1500,500,1.0,1.0,1.0,1.0,1.0,304609959,0.19351000000000002,0.261739,0.38865744999999985,0.203073306,0.60244,0,0,0,1500,"{'p50': 5.703763032968978e-05, 'p95': 0.0005072226694129263, 'p99': 0.0006987551107883117, 'mean': 0.00012513122613614652, 'max': 0.0008031769513649369}","{'p50': 9.32872822755928e-05, 'p95': 0.0017673054671512587, 'p99': 0.004850551971927249, 'mean': 0.0003613109652437658, 'max': 0.006260738909048768}","{'p50': 5.703763032968978e-05, 'p95': 0.0005072226694129263, 'p99': 0.0006987551107883117, 'mean': 0.00012513122613614652, 'max': 0.0008031769513649369}","{'p50': 9.32872822755928e-05, 'p95': 0.0017673054671512587, 'p99': 0.004850551971927249, 'mean': 0.0003613109652437658, 'max': 0.006260738909048768}",0,0,0,0,0.0,0,0,0
panda,1.0,trac_strict_5ms,True,1500,500,1.0,1.0,1.0,1.0,1.0,329228406,0.20583649999999998,0.32140009999999997,0.40730867,0.21948560399999997,0.504488,0,0,0,1500,"{'p50': 6.862521792058685e-08, 'p95': 7.3245806890624635e-06, 'p99': 1.0902517938871767e-05, 'mean': 1.2918945821037638e-06, 'max': 1.4076374855948437e-05}","{'p50': 1.1756460787740014e-07, 'p95': 9.119542988295213e-06, 'p99': 1.2434595846009192e-05, 'mean': 1.601929250874451e-06, 'max': 1.5342909732308917e-05}","{'p50': 6.862521792058685e-08, 'p95': 7.3245806890624635e-06, 'p99': 1.0902517938871767e-05, 'mean': 1.2918945821037638e-06, 'max': 1.4076374855948437e-05}","{'p50': 1.1756460787740014e-07, 'p95': 9.119542988295213e-06, 'p99': 1.2434595846009192e-05, 'mean': 1.601929250874451e-06, 'max': 1.5342909732308917e-05}",0,0,0,0,0.0,0,0,0
panda,2.0,dls_task,True,500,500,1.0,1.0,1.0,0.998,1.0,315170033,0.5860345,0.92708245,1.9407309699999966,0.630340066,5.216042,0,0,0,500,"{'p50': 0.0001442478181020212, 'p95': 0.0016051833680569487, 'p99': 0.0019231895437484138, 'mean': 0.00036116103632902484, 'max': 0.001959634713682713}","{'p50': 0.0003545511937145095, 'p95': 0.006044952634824564, 'p99': 0.009366060504953082, 'mean': 0.001170751042782082, 'max': 0.015872013569814717}","{'p50': 0.0001442478181020212, 'p95': 0.0016051833680569487, 'p99': 0.0019231895437484138, 'mean': 0.00036116103632902484, 'max': 0.001959634713682713}","{'p50': 0.0003545511937145095, 'p95': 0.006044952634824564, 'p99': 0.009366060504953082, 'mean': 0.001170751042782082, 'max': 0.015872013569814717}",0,0,0,0,0.0,0,0,0
panda,2.0,trac_strict_5ms,True,1500,500,1.0,1.0,1.0,1.0,1.0,331373050,0.206566,0.31969244999999996,0.39540458999999994,0.2209153666666667,0.601895,0,0,0,1500,"{'p50': 6.912926188283953e-08, 'p95': 7.0024376237810125e-06, 'p99': 1.0902517938871767e-05, 'mean': 1.2827509391744621e-06, 'max': 1.4076374855948437e-05}","{'p50': 1.204232795583848e-07, 'p95': 9.127509985063696e-06, 'p99': 1.254021999493987e-05, 'mean': 1.6250105589737295e-06, 'max': 1.5342909732308917e-05}","{'p50': 6.912926188283953e-08, 'p95': 7.0024376237810125e-06, 'p99': 1.0902517938871767e-05, 'mean': 1.2827509391744621e-06, 'max': 1.4076374855948437e-05}","{'p50': 1.204232795583848e-07, 'p95': 9.127509985063696e-06, 'p99': 1.254021999493987e-05, 'mean': 1.6250105589737295e-06, 'max': 1.5342909732308917e-05}",0,0,0,0,0.0,0,0,0
panda,2.0,trac_task_5ms,True,1500,500,1.0,1.0,1.0,1.0,1.0,305162156,0.194099,0.2526225499999999,0.35101432999999993,0.2034414373333333,1.18618,0,0,0,1500,"{'p50': 7.778839375880662e-05, 'p95': 0.0011605060988485532, 'p99': 0.0014663240597676645, 'mean': 0.0002489459776214846, 'max': 0.0018806394279469974}","{'p50': 0.00013102352216392112, 'p95': 0.004952999146565559, 'p99': 0.00910227809354523, 'mean': 0.0007868758003940555, 'max': 0.012659070715007775}","{'p50': 7.778839375880662e-05, 'p95': 0.0011605060988485532, 'p99': 0.0014663240597676645, 'mean': 0.0002489459776214846, 'max': 0.0018806394279469974}","{'p50': 0.00013102352216392112, 'p95': 0.004952999146565559, 'p99': 0.00910227809354523, 'mean': 0.0007868758003940555, 'max': 0.012659070715007775}",0,0,0,0,0.0,0,0,0
ur5e,0.5,trac_strict_5ms,True,1500,500,1.0,1.0,1.0,1.0,1.0,305134871,0.1948435,0.2539044,0.3262304,0.2034232473333333,0.974097,0,0,0,1500,"{'p50': 1.0080695745524671e-07, 'p95': 7.395602587103675e-06, 'p99': 1.1982708550345802e-05, 'mean': 1.3654235998760777e-06, 'max': 1.4021452643795733e-05}","{'p50': 3.9963124138226974e-08, 'p95': 5.987276167730831e-06, 'p99': 9.941348380458525e-06, 'mean': 8.507232934282406e-07, 'max': 1.2658810238970426e-05}","{'p50': 1.0080695745524671e-07, 'p95': 7.395602587103675e-06, 'p99': 1.1982708550345802e-05, 'mean': 1.3654235998760777e-06, 'max': 1.4021452643795733e-05}","{'p50': 3.9963124138226974e-08, 'p95': 5.987276167730831e-06, 'p99': 9.941348380458525e-06, 'mean': 8.507232934282406e-07, 'max': 1.2658810238970426e-05}",0,0,0,0,0.0,0,0,0
ur5e,0.5,dls_task,True,500,500,1.0,1.0,1.0,0.998,1.0,347370844,0.546748,0.9894674999999925,2.0327812499999998,0.694741688,5.058233,0,0,0,500,"{'p50': 0.00011041477014994984, 'p95': 0.00045125962603944297, 'p99': 0.0004941477141312737, 'mean': 0.0001620951884655525, 'max': 0.0004981600189753822}","{'p50': 0.00019644398951773856, 'p95': 0.0016902347041514222, 'p99': 0.0024225133956732154, 'mean': 0.0003996550552192914, 'max': 0.0033183254608264703}","{'p50': 0.00011041477014994984, 'p95': 0.00045125962603944297, 'p99': 0.0004941477141312737, 'mean': 0.0001620951884655525, 'max': 0.0004981600189753822}","{'p50': 0.00019644398951773856, 'p95': 0.0016902347041514222, 'p99': 0.0024225133956732154, 'mean': 0.0003996550552192914, 'max': 0.0033183254608264703}",0,0,0,0,0.0,0,0,0
ur5e,0.5,trac_task_5ms,True,1500,500,1.0,1.0,1.0,1.0,1.0,292736556,0.1871225,0.23717465,0.31603692999999994,0.19515770399999996,1.11468,0,0,0,1500,"{'p50': 5.213069132090917e-05, 'p95': 0.00027746932572775333, 'p99': 0.0003491726247886375, 'mean': 8.494312849326543e-05, 'max': 0.0004707863040397805}","{'p50': 5.0166736085630844e-05, 'p95': 0.0005711374730715518, 'p99': 0.0016943055684246874, 'mean': 0.00016784298645198045, 'max': 0.0032761481010449346}","{'p50': 5.213069132090917e-05, 'p95': 0.00027746932572775333, 'p99': 0.0003491726247886375, 'mean': 8.494312849326543e-05, 'max': 0.0004707863040397805}","{'p50': 5.0166736085630844e-05, 'p95': 0.0005711374730715518, 'p99': 0.0016943055684246874, 'mean': 0.00016784298645198045, 'max': 0.0032761481010449346}",0,0,0,0,0.0,0,0,0
ur5e,1.0,dls_task,True,500,500,1.0,1.0,1.0,1.0,1.0,307187196,0.543388,0.86409545,1.1497571999999998,0.614374392,2.616795,0,0,0,500,"{'p50': 0.00015636959989215636, 'p95': 0.0008202706218312653, 'p99': 0.0009667985393556121, 'mean': 0.0002583105370088789, 'max': 0.0009963551977341465}","{'p50': 0.0003083568892573161, 'p95': 0.0024028744800159733, 'p99': 0.005444465660425194, 'mean': 0.0006861278016150578, 'max': 0.007297124335995173}","{'p50': 0.00015636959989215636, 'p95': 0.0008202706218312653, 'p99': 0.0009667985393556121, 'mean': 0.0002583105370088789, 'max': 0.0009963551977341465}","{'p50': 0.0003083568892573161, 'p95': 0.0024028744800159733, 'p99': 0.005444465660425194, 'mean': 0.0006861278016150578, 'max': 0.007297124335995173}",0,0,0,0,0.0,0,0,0
ur5e,1.0,trac_task_5ms,True,1500,500,1.0,1.0,1.0,1.0,1.0,289652650,0.184875,0.23800724999999998,0.30978291999999996,0.19310176666666667,1.167273,0,0,0,1500,"{'p50': 7.076013730062994e-05, 'p95': 0.0004525791600269268, 'p99': 0.0006802161220281922, 'mean': 0.00012876662442711168, 'max': 0.000814812883377727}","{'p50': 8.340015005891074e-05, 'p95': 0.0010457919997749789, 'p99': 0.0036945637119176053, 'mean': 0.00027907189047095634, 'max': 0.006041552289591975}","{'p50': 7.076013730062994e-05, 'p95': 0.0004525791600269268, 'p99': 0.0006802161220281922, 'mean': 0.00012876662442711168, 'max': 0.000814812883377727}","{'p50': 8.340015005891074e-05, 'p95': 0.0010457919997749789, 'p99': 0.0036945637119176053, 'mean': 0.00027907189047095634, 'max': 0.006041552289591975}",0,0,0,0,0.0,0,0,0
