robot,trajectory_uid,selection_rule,family,frame,time_seconds,method,method_label,route,latency_ms,function_evaluations,accepted,fallback_used
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,0,0.0,fixed_robust_cascade,Fixed robust cascade,easy,1.315066,1,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,1,0.02,fixed_robust_cascade,Fixed robust cascade,easy,1.271242,1,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,2,0.04,fixed_robust_cascade,Fixed robust cascade,easy,1.616202,3,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,3,0.06,fixed_robust_cascade,Fixed robust cascade,easy,1.292647,1,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,4,0.08,fixed_robust_cascade,Fixed robust cascade,easy,1.254715,1,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,5,0.1,fixed_robust_cascade,Fixed robust cascade,easy,1.287838,1,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,6,0.12,fixed_robust_cascade,Fixed robust cascade,easy,1.282887,1,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,7,0.14,fixed_robust_cascade,Fixed robust cascade,easy,1.266311,1,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,8,0.16,fixed_robust_cascade,Fixed robust cascade,easy,1.28288,1,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,9,0.18,fixed_robust_cascade,Fixed robust cascade,easy,1.281189,1,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,10,0.2,fixed_robust_cascade,Fixed robust cascade,easy,1.622097,3,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,11,0.22,fixed_robust_cascade,Fixed robust cascade,easy,1.410112,1,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,12,0.24,fixed_robust_cascade,Fixed robust cascade,easy,1.648992,3,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,13,0.26,fixed_robust_cascade,Fixed robust cascade,easy,1.273225,1,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,14,0.28,fixed_robust_cascade,Fixed robust cascade,easy,1.301238,1,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,15,0.3,fixed_robust_cascade,Fixed robust cascade,easy,1.430758,1,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,16,0.32,fixed_robust_cascade,Fixed robust cascade,easy,1.354008,1,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,17,0.34,fixed_robust_cascade,Fixed robust cascade,easy,1.295732,1,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,18,0.36,fixed_robust_cascade,Fixed robust cascade,easy,1.293643,1,True,False
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,first frozen-order trajectory gained by CG-HIK versus hard entry,regular_near_singular_regular,19,0.38,fixed_robust_cascade,Fixed robust cascade,easy,1.611057,3,True,False
