robot,method,feasible_success,feasible_mean_fev,rejectable_rejection,rejectable_mean_fev,trajectory_completion,trajectory_command_spike
panda,fixed_robust_cascade,0.9999,5.264633333333333,1.0,393.67966666666666,1.0,0.0
panda,proposed_v2,0.9999,3.7796,1.0,0.05266666666666667,1.0,0.0
panda,threshold_guard_cascade,0.9907333333333334,5.1457999999999995,1.0,0.0,1.0,0.0
panda,ablation_no_history,0.9998,3.8049333333333335,1.0,0.12483333333333334,1.0,0.0
panda,ablation_single_member,0.9998666666666667,3.7791,1.0,0.15766666666666665,1.0,0.0
panda,ablation_no_uncertainty,0.9999,3.7767,1.0,0.0,1.0,0.0
panda,ablation_uncalibrated,0.9999,3.772666666666667,1.0,0.05266666666666667,1.0,0.0
panda,ablation_no_reject,0.9999,3.7796,1.0,388.4825,1.0,0.0
panda,ablation_no_fallback,0.9971,3.5846,1.0,0.008333333333333333,1.0,0.0
panda,ablation_fixed_damping,0.9913,7.032466666666666,1.0,0.05266666666666667,1.0,0.0
ur5e,fixed_robust_cascade,1.0,5.942333333333333,1.0,218.183,0.9666666666666667,0.0
ur5e,proposed_v2,1.0,3.9371666666666667,1.0,0.0,0.975,0.0
ur5e,threshold_guard_cascade,0.9912666666666666,5.827166666666667,1.0,0.0,0.9666666666666667,0.0
ur5e,ablation_no_history,1.0,3.9053999999999998,1.0,0.010666666666666666,0.95,0.0
ur5e,ablation_single_member,1.0,3.9038999999999997,1.0,0.02,0.975,0.0
ur5e,ablation_no_uncertainty,1.0,3.9330666666666665,1.0,0.02,0.9666666666666667,0.0
ur5e,ablation_uncalibrated,1.0,3.9349666666666665,1.0,0.0,0.975,0.0
ur5e,ablation_no_reject,1.0,3.9371666666666667,1.0,213.46033333333332,0.975,0.0
ur5e,ablation_no_fallback,0.9988333333333334,3.930833333333333,1.0,0.0,0.975,0.0
ur5e,ablation_fixed_damping,1.0,3.6986333333333334,1.0,0.0,1.0,0.0
